,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
2004-06-10,-0.0155570954346446,0.018193638595077874,0.0001723613183090803,0.00022559043706433014,59.20688480351474,304.40675026440806,304.5533473367807,300.38232304940374,306.63522172400997,302.6565459202856,34.18008124491585,80.55386147614237,59.20688480351474,16.65092186692244,2.4888055585834037,26.688131515205676,6.0440435470231195,30.865370762828434,22.580688653165694,42.220106124337285,0.2148188277201918,0.16301722050946704,0.19236003871384816,0.1902405960601333,88.4234084179438,303.9721970041988,304.9728513290844,303.0528110033471,312.0260799032061,299.55599491988,45.216245779479415,97.75711884237269,88.4234084179438,18.22299071691175,7.420227134328633,22.931910516488013,7.5800171049834875,34.372445375929395,22.0767069880256,130.03116060716346
2004-06-17,0.006349471906264489,0.0024899143667986567,0.00015745973900048793,0.0002142093874559046,62.28935235870954,296.3378965026961,296.4715010590329,292.4526097078077,298.4743598619814,294.73912656472646,45.7319968520587,78.5972494552861,62.28935235870954,16.159343326877593,2.4018799230634134,25.995724974835145,5.708577546050908,30.010568284874065,22.24609847434924,44.61783341979183,0.2147466019228552,0.16871118160914284,0.19156366207920608,0.19416895929792105,77.9420772718399,296.0104544018369,297.00386071241047,294.7523135243004,303.78078741693736,291.35921820928195,32.88232628686753,93.36589729333836,77.9420772718399,17.37334063309759,7.439834133205066,25.1039865411736,8.290932499184269,33.33230225102,21.365051771794487,136.3201216461245
2004-06-24,-0.009997077022306941,-0.010326234951383158,0.0001648674832515935,0.00021124456549017178,53.93513157948877,296.36406286250076,296.50372408746773,292.38168131267145,298.496960737702,294.8279824280546,33.72037347543532,78.1387411966465,53.93513157948877,16.092626656008054,2.3440686786884886,25.986095957092374,5.79275371941655,30.22615288921011,22.186166589998326,37.701274978233386,0.22399501934369337,0.16549988758920728,0.20483588108208084,0.2016610987486709,83.92925259651523,296.1351849380316,297.1715212121164,295.046619685178,303.8105124655298,291.60779224259335,35.60626965487793,94.15408040173457,83.92925259651523,17.669523513856696,7.458576179606114,22.577590711035533,7.572700729592101,32.43181253394677,21.73765076060438,131.95973208118943
2004-07-01,-0.16063713327451923,0.0083,0.15157139999999997,0.14474289999999998,28.37,300.6442857140001,300.67857142900004,296.55714285700003,302.5,298.40000000000003,32.2,78.48142857140002,28.37,17.9514285714,2.61428571429,28.3428571429,6.18571428571,32.2,23.3,67.6,0.2572143,0.3249286,0.1978,0.1967571,46.39,296.15142857100005,297.585714286,295.041428571,304.4,291.80000000000007,50.699999999999996,94.66857142860002,46.39,16.5142857143,8.457142857139997,25.899999999999995,8.15,30.9,21.099999999999998,170.1
2004-07-08,-0.026700000000000005,-0.01173333,0.1683286,0.17511429999999992,39.05,300.2585714290001,300.257142857,296.33,301.8999999999999,298.6000000000001,43.83,79.18142857140002,39.05,17.728571428600002,2.5714285714300003,27.828571428599997,6.428571428569999,31.1,23.3,76.5,0.3175571,0.3013857,0.27937140000000005,0.33554290000000003,83.94,296.617142857,298.08571428600004,294.81428571399994,305.1,291.8,18.67,90.90571428569999,83.94,16.252857142899998,9.48571428571,26.55,8.849999999999998,32.0,21.8,43.2
2004-07-15,-0.0529,-0.101,0.18531429999999996,0.14984289999999995,59.15,300.575714286,300.671428571,296.7971428569999,302.3999999999999,299.0,15.8,79.99571428569999,59.15,18.252857142899995,2.2,28.242857142900004,5.24285714286,31.700000000000003,25.0,16.0,0.2328286,0.2737666999999999,0.23379999999999998,0.1532429,48.09,297.50142857099996,298.935714286,294.358571429,306.9,291.3999999999999,24.760000000000005,85.1585714286,48.09,15.86,11.2142857143,26.8,11.7,33.1,20.5,31.0
2004-07-22,0.0674,0.08983333,0.1748286,0.14874289999999998,23.74,300.401428571,300.3999999999999,296.095714286,302.3,298.40000000000003,31.21,77.4985714286,23.74,17.51,2.6857142857099996,28.014285714299998,6.528571428570001,31.7,23.9,26.2,0.2679429,0.29950000000000004,0.21769999999999998,0.2849857,53.78,296.812857143,298.114285714,294.997142857,304.4,291.8,25.419999999999998,90.92857142860002,53.78,16.48,10.2,26.3,8.8,32.1,21.9,103.1
2004-07-29,-0.0117,-0.05443333000000001,0.1905286,0.1573,40.86,300.234285714,300.28571428600003,296.82285714299996,302.1,298.5,31.51,81.8071428571,40.86,18.307142857100004,2.5714285714300003,28.042857142899997,6.37142857143,31.7,23.9,44.0,0.20889999999999997,0.1555,0.2203,0.2542571,85.96,296.017142857,297.292857143,294.47142857099993,306.1,291.70000000000005,27.62,92.52714285709997,85.96,15.975714285699999,8.84285714286,19.085293969442766,6.039539417631443,32.9,19.4,6.0
2004-08-05,0.0058,0.0327,0.17410000000000003,0.18381430000000004,35.99,300.588571429,300.642857143,296.6,302.69999999999993,298.4,24.6,79.02571428569999,35.99,18.0528571429,2.97142857143,28.528571428600006,6.585714285710001,32.2,24.4,12.8,0.2489,0.2659571,0.2185286,0.23755709999999997,29.82,297.51714285700007,298.9642857140001,293.144285714,307.3999999999999,291.0,3.9,79.7185714286,29.82,14.694285714300001,12.157142857100002,29.390479612610573,7.280360153575519,34.0,18.299999999999997,55.1
2004-08-12,0.0374,0.1084,0.1253,0.1774142999999999,20.92,300.99571428599995,301.19999999999993,296.4,302.9,299.19999999999993,14.1,76.1714285714,20.92,17.8185714286,2.65714285714,28.9428571429,7.22857142857,33.9,24.399999999999995,10.5,0.19107139999999997,0.227,0.1685286,0.29569999999999996,18.440000000000005,296.53,297.635714286,292.222857143,307.19999999999993,288.1000000000001,4.1,79.2357142857,18.440000000000005,13.824285714300002,12.1857142857,49.712192327741995,9.75821040036849,31.300000000000004,20.0,0.5
