,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.11564250515954921,0.1715296712663113,0.2016941932716491,0.19267283453766834,14.811958791208792,299.7631213018923,299.8973971123838,295.89526815953263,302.12994923472104,298.0117020427705,24.22534559147629,79.78170863270326,14.811958791208792,16.43486008881286,2.4133282741772044,27.34317423587799,7.100109515559167,32.70741112276382,22.871462389615917,19.089667213837338,520867.8347749124,1041367.5526430551,573819.9047919213,1324705.385863614,-82057971.21424496,-89076190.63145451,-90963952.94097689,-91902074.85051595,-82376185.48626055,-94200057.12854952,-730142788.5390517,-41176835.10331455,-82057971.21424496,-5315011.370335766,9694871.902503664,-61254904.70037257,-17123274.801135376,5535116.289344015,-77840.15858991905,-163755439.27704972
1990-05-07,0.11747286168564812,0.16026202233224537,0.19892984798318758,0.18223165618602,16.909225274725276,302.6449521496093,302.7932173636393,298.7180625080519,304.94835582812766,300.92749874606716,24.819452734333435,80.43918116017606,16.909225274725276,16.58418701189404,2.3857380073006107,27.61299370212483,7.095105590912408,33.03021332056602,23.09179205994559,21.13101336768349,517939.1748423421,1035508.5221955907,570592.5062609233,1317252.1939872657,-81596547.77675644,-88575306.1655281,-90452449.50215085,-91385279.4271953,-81913041.8808207,-93670326.84261139,-726033920.6857541,-40945208.37628335,-81596547.77675644,-5285120.555140277,9640267.222447865,-60910129.56006466,-17026893.120420277,5503909.525821841,-77470.22535273102,-162835058.46273914
1990-05-14,0.12589880948784593,0.18579143689268493,0.21028122435681396,0.20138513536184416,13.769596153846155,302.65479516375495,302.8152738784937,298.6888670606741,305.01593824571006,300.91005369112213,24.43222745960816,80.25094921354928,13.769596153846155,16.55622194125105,2.4511226226850753,27.6075776895681,7.239336360143232,33.04518584803855,22.984649202802732,19.338980400650524,515021.51339882275,1029671.5094131917,567377.2319220258,1309827.0105484182,-81136857.34913693,-88076302.904458,-89942867.16517614,-90870425.04464121,-81451637.48509441,-93142586.22713573,-721940496.8507519,-40714451.90600786,-81136857.34913693,-5255342.017769442,9585867.96222595,-60566650.56875329,-16930873.788013864,5472820.277689901,-77101.42572671031,-161918132.75763094
1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,512114.8297533072,1023856.4728478845,564174.0589592599,1302429.78282144,-80678896.67085925,-87579177.30891584,-89435202.31563422,-90357508.05080205,-80991969.02737585,-92616831.53848505,-717862487.9546741,-40484564.05456869,-80678896.67085925,-5225675.546953927,9531673.734720992,-60224465.28547807,-16835216.121506713,5441848.323268402,-76733.7580621773,-161004655.66430074
1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.800000000000001,509219.1032147481,1018063.3710516944,560982.9645566569,1295060.4580806983,-80222662.48139605,-87083925.83957328,-88929451.33910652,-89846524.79362611,-80534033.23595916,-92093059.03302178,-713799864.9181492,-40255543.18404645,-80222662.48139605,-5196120.931424402,9477684.152816067,-59883571.269278646,-16739919.438489385,5410993.44087755,-76367.22070945911,-160094620.68532413
1990-06-04,0.11594959543333327,0.17485,0.2543143,0.1817429,9.579999999999998,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.579999999999998,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,506334.3130920979,1012292.1625766471,557803.9258982474,1287718.9836005608,-79768151.5202201,-86590544.95710193,-88425610.62117445,-89337471.62106168,-80077826.83913848,-91571264.96710841,-709752598.6618065,-40027387.65652175,-79768151.5202201,-5166677.9599115355,9423898.829394242,-59543966.07919459,-16644983.056552438,5380255.408837558,-76001.81201888034,-159188021.32327676
1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.4800000000000004,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.4800000000000004,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,503460.43869430956,1006542.8059747681,554636.9201680628,1280405.306655395,-79315360.52680413,-86099031.12217341,-87923676.54741943,-88830344.88105708,-79623346.565208,-91051445.59710738,-705720660.1062738,-39800095.834075175,-79315360.52680413,-5137346.4211459905,9370317.377338592,-59205647.27426551,-16550406.293286433,5349634.005468632,-75637.53034076067,-158284851.0807341
1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,500597.4593303355,1000815.2597980825,551481.9245501339,1273119.374519569,-78864286.24062087,-85609380.79545933,-87423645.50342284,-88325140.92156057,-79170589.14246182,-90533597.17938119,-701704020.1721804,-39573666.07878735,-78864286.24062087,-5108126.103858438,9316939.40953219,-58868612.41353105,-16456188.466281934,5319129.009090982,-75274.37402542443,-157385103.46027175
1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,497745.35430912836,995109.4825986167,548338.916228492,1265861.1344674502,-78414925.40114307,-85121590.43763138,-86925513.8747662,-87821856.09052052,-78719551.29919414,-90017715.9702923,-697702649.780155,-39348096.75273888,-78414925.40114307,-5079016.796779549,9263764.538858106,-58532859.05603079,-16362328.89312951,5288740.198024819,-74912.34142319947,-156488771.96446532
1990-07-02,0.12082291179192134,0.12155,0.16068329999999995,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1000000000000014,494904.1029396412,989425.4329283959,545207.8723871681,1258630.5337734064,-77967274.74784346,-84635656.50936118,-86429278.04703088,-87320486.73588519,-78270229.76369911,-89503798.2262032,-693716519.8508265,-39123386.21801038,-77967274.74784346,-5050018.288639988,9210792.378199419,-58198384.76080438,-16268826.891419716,5258467.35059035,-74551.43088440406,-155595850.0958904
1990-07-09,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,492073.68453082617,983763.0693394457,542088.7702101932,1251427.519711805,-77521331.02019477,-84151575.4713203,-85934934.40579829,-86821029.20560291,-77822621.26427086,-88991840.20347632,-689745601.3048232,-38899532.83668245,-77521331.02019477,-5021130.368170421,9158022.54043919,-57865187.086891375,-16175681.778743116,5228310.245107784,-74191.64075936699,-154706331.35712254
1990-07-16,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.33428571400003,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,489254.07839163614,978122.3503837911,538981.5868815981,1244252.0395570134,-77077090.95766969,-83669343.78418037,-85442479.33664979,-86323479.84762193,-77376722.52920353,-88481838.15847413,-685789865.0627738,-38676534.97083567,-77077090.95766969,-4992352.824101516,9105454.638460498,-57533263.59333141,-16082892.872690264,5198268.659897327,-73832.96939840699,-153820209.25073725
1990-07-23,0.15056670000000005,0.1717,0.2269,0.2145571,16.48,299.55857142900004,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.35714285714,31.7,22.8,32.6,486445.2638310236,972503.2346134583,535886.299585414,1237104.0405833994,-76634551.29974099,-83188957.90861306,-84951909.22516692,-85827835.00989057,-76932530.2867913,-87973788.34755911,-681849282.0453069,-38454390.98255068,-76634551.29974099,-4963685.445163944,9053088.285146413,-57202611.839164086,-15990459.490851734,5168342.373279192,-73475.41515185121,-152937477.2793102
1990-07-30,0.09843402775312575,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.58428571430001,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,483647.2201579416,966905.6805804728,532802.8855056721,1229983.4700653313,-76193708.78588144,-82710414.30529,-84463220.45693102,-85334091.04035719,-76490041.26532829,-87467687.02709372,-677923823.173052,-38233099.23390808,-76193708.78588144,-4935128.02008837,9000923.09338001,-56873229.38342904,-15898380.950818084,5138531.163573587,-73118.97637002305,-152058128.945417
1990-08-06,0.10094342749712004,0.06433333,0.16444289999999998,0.1388571,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.399999999999999,480859.92668134236,961329.6468368601,529731.3218264035,1222890.275277176,-75754560.15556371,-82233709.43488279,-83976409.41752356,-84842244.28697,-76049252.19310866,-86963530.45344046,-674013459.3666372,-38012658.08698848,-75754560.15556371,-4906680.337605463,8948958.676044362,-56545113.78516587,-15806656.570179876,5108834.809100722,-72763.65140324314,-151182157.7516331
