,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.1226,0.103725,0.1984833,0.17761670000000002,12.420000000000002,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.420000000000002,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,0.2335757,0.17417334,0.18925142,0.24208002,62.396,296.583142857,297.5985714286,295.1174285714,303.9,292.86,44.342,92.40685714286,62.396,16.67057142854,6.762857142855999,27.01,10.636666666666,33.36,20.76,63.74
1990-05-07,0.1699,0.142175,0.1623571,0.15548570000000006,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.599999999999998,0.16934622000000002,0.147106674,0.1592143,0.18281809999999998,79.87,297.7748571432,298.8557142858,296.3320000002,305.91999999999996,293.26,75.27600000000001,92.74657142856,79.87,17.962,7.728571428574,27.24966666666,9.621666666666,33.98,21.82,71.22
1990-05-14,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.4857142857099985,32.2,22.8,41.4,0.20375906,0.18892094,0.20580952,0.22249142,43.594,296.78171428580004,297.8485714284,295.2622857142,305.04,292.74,75.364,92.39942857142,43.594,16.861714285719998,7.520000000006,26.865,9.81,32.8,20.5,38.78
1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.899999999999999,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,0.21139142,0.2229943,0.19521714,0.21712858000000002,45.257999999999996,296.5300000002,297.7728571428,294.381142857,306.06,291.64,31.303999999999995,89.52742857142,45.257999999999996,15.92742857144,9.242857142862,26.865,11.35433333334,33.18,19.98,11.96
1990-05-28,0.19619999999999999,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.200000000000003,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.800000000000001,0.27316,0.25868478,0.22453141999999998,0.30258288,48.826,297.1634285714,298.24857142860003,294.7242857142,306.62,291.46,39.896,88.44485714286,48.826,16.28142857144,9.788571428577999,26.885,11.41233333332,33.36,19.1,51.8
1990-06-04,0.12964,0.17485,0.2543143,0.1817429,9.579999999999998,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.579999999999998,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,0.25928666,0.26240515999999997,0.23741600000000002,0.25708144,33.828,296.3282857144,297.5000000002,293.70342857139997,305.66,290.66,30.306,87.18028571428,33.828,15.26628571428,10.08571428572,26.38,10.919333333340001,32.68,18.72,25.86
1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.480000000000004,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.480000000000004,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,0.1913297,0.19979619999999998,0.20873998,0.22685714,25.418000000000006,296.6077142858,297.9457142856,294.5154285712,306.36,291.88,31.262,89.7702857143,25.418000000000006,16.078571428580002,8.920000000004,26.54166666666,10.826666666660001,32.699999999999996,20.240000000000002,38.44
1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,0.26153094,0.23077906,0.25396858,0.27840284,68.884,297.2751428572,298.5985714284,295.0600000002,306.72,291.82,46.724000000000004,89.0837142857,68.884,16.63371428572,9.579999999998,27.6,10.84066666666,34.44,21.18,73.9
1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,0.21474856,0.195936646,0.23372286,0.24835427999999998,42.696,297.0725714286,298.32285714299996,293.502,306.98,290.62,16.002000000000002,83.02457142858,42.696,15.10314285714,11.422857142866,26.468,11.26466666666,33.08,19.5,21.5
1990-07-02,0.08617,0.12155,0.16068329999999995,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1000000000000014,0.34375236,0.28851656,0.3439303,0.34444191999999996,60.084,297.5622857146,298.7471428572,293.5585714286,308.8,291.04,16.757999999999996,80.72742857141999,60.084,15.06657142856,11.59142857144,27.145,10.97833333334,34.36,20.86,73.3
1990-07-09,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,0.22840855999999998,0.23717998,0.28185428,0.28443428,30.97,297.258,298.7771428572,293.519142857,307.52,291.44,19.894,82.29514285714,30.97,15.099714285700001,11.382857142854,26.39133333334,11.148,33.06,19.44,22.70000000000001
1990-07-16,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.33428571400003,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,0.27663086,0.24952288,0.27415428000000003,0.26633858,51.894000000000005,296.77971428579997,298.1471428574,294.1725714284,306.74,291.5,32.762,87.37828571428,51.894000000000005,15.691142857140001,9.88857142856,26.57666666668,11.361,33.16,18.88,41.6
1990-07-23,0.15056670000000005,0.1717,0.2269,0.2145571,16.48,299.55857142900004,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.35714285714,31.7,22.8,32.6,0.2497895,0.25931084,0.26999886,0.27832142,42.724000000000004,296.88771428580003,298.3957142858,293.8599999998,307.32,291.44,22.884,85.40142857142,42.724000000000004,15.38342857142,10.985714285714,26.645,10.88333333334,33.06,20.08,26.92
1990-07-30,0.23186,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.58428571430001,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,0.27137236,0.23388,0.3341538,0.28914618,39.378,297.9351428572,299.3971428572,293.79485714279997,308.76,291.16,19.247999999999998,80.53,39.378,15.33999999998,12.342857142838,27.0480952381,11.55666666666,33.84,19.24,33.34
1990-08-06,0.04562000000000001,0.06433333,0.16444289999999998,0.1388571,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,0.33502856000000003,0.27926238,0.29401714,0.32853146,35.082,297.7982857142,299.02,294.3114285712,308.09999999999997,291.64,31.794000000000004,83.57971428572,35.082,15.91685714286,10.554285714276,27.22333333332,10.623333333326,33.78,20.18,47.04
1990-08-13,0.12074,0.12803330000000002,0.2069571,0.16824289999999995,90.75,299.958571429,299.957142857,297.035714286,302.6,298.5,101.9,84.1785714286,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7,0.28334334,0.25059192,0.26102000000000003,0.26789714,39.97,297.6062857142,299.1242857144,293.8757142856,307.72,291.2,24.503999999999994,82.49971428572,39.97,15.4974285714,11.305714285694,27.29733333334,11.436,34.14,20.22,43.260000000000005
1990-08-20,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.342857142899998,7.014285714289999,33.3,23.3,5.400000000000002,0.30516094,0.29599418,0.30352458,0.27932714,41.653999999999996,297.2602857144,298.5228571428,292.6954285714,307.94,289.74,8.158000000000001,78.32257142856,41.653999999999996,14.308,12.657142857140002,26.501333333319998,11.60466666668,33.52,19.12,52.42
1990-08-27,0.2529,0.33075,0.2641714000000001,0.2843143,40.94,300.11857142900004,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.657142857100002,6.52857142857,32.2,24.4,13.7,0.28230094,0.26735658,0.232916,0.25977858,44.556,296.96,298.222857143,293.7394285714,307.24,291.04,32.104,84.81685714286,44.556,15.319142857140001,10.691428571422,26.74166666666,11.20766666668,33.28,19.9,18.9
1990-09-03,0.2354,0.200025,0.2838167,0.2304429,28.86,300.53,300.635714286,296.11714285700003,303.8,298.0,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.614285714289999,32.8,23.3,14.2,0.32440522000000005,0.28529048,0.28157427999999995,0.29690858000000003,38.370000000000005,297.4665714286,298.77,293.8214285714,307.54,291.06,35.822,82.73742857142,38.370000000000005,15.37857142858,11.665714285724,27.01933333334,11.97566666666,33.56,18.88,36.739999999999995
1990-09-10,0.1279667,0.43710000000000004,0.1234,0.14828329999999998,64.56,300.674285714,300.792857143,297.19285714299997,302.9,299.0,24.18,81.55142857140001,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,0.29777712,0.26866286,0.2838343,0.28395142,36.706,298.64342857139997,300.1728571428,292.6402857142,310.48,291.36,21.078000000000003,72.2902857143,36.706,14.33485714286,13.374285714280001,27.09666666666,12.495000000000001,34.660000000000004,19.06,57.42
1990-09-17,0.19635,0.18243330000000002,0.2548286,0.3056857,143.73,299.857142857,299.9,296.43142857099997,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.114285714289997,32.8,23.9,3.3000000000000007,0.3051337,0.28822002,0.28236,0.29115856,38.574000000000005,298.0157142856,299.7085714286,293.8674285714,309.46,291.54,27.876000000000005,80.588,38.574000000000005,15.49742857142,12.18285714284,27.12333333334,11.756666666660001,33.9,20.14,30.880000000000003
1990-09-24,0.1161,0.2609,0.1994429,0.2442167,51.39,300.42714285700004,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.2571428571400003,28.342857142899998,7.72857142857,32.8,24.4,15.8,0.29895094,0.29780523999999997,0.32766238,0.28801142,64.26,298.1100000002,299.4328571426,293.963142857,309.72,291.46,31.81,80.46285714284,64.26,15.54428571428,11.659999999988,27.305,12.43766666668,34.56,20.02,61.08
1990-10-01,0.22854999999999998,0.18974999999999997,0.2124857,0.2011857,31.18,300.775714286,300.85,296.664285714,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.771428571399998,8.02857142857,33.3,23.9,11.7,0.30267712,0.26008048,0.29777144,0.28385142,49.87,298.1131428572,299.2885714284,293.1277142856,309.28,290.16,12.908000000000001,76.5917142857,49.87,14.73914285716,12.9142857143,27.21333333332,12.043000000006,34.4,19.3,57.74
1990-10-08,0.17115,0.06755,0.1794667,0.15771670000000002,51.42,299.857142857,299.94285714299997,296.928571429,301.8,298.1,132.4,84.11,51.42,18.5128571429,2.5714285714300003,28.6285714286,7.314285714289999,33.3,24.4,57.7,0.29266906,0.27063382,0.29745144,0.26648856,63.696,297.444,298.93,294.3808571428,307.86,291.22,27.584,85.41114285712,63.696,15.94428571428,10.437142857132,26.882,11.627333333340001,34.18,19.439999999999998,56.74
1990-10-15,0.08409,0.0702,0.1816167,0.16575,143.55000000000004,299.195714286,299.30714285700003,296.544285714,301.5,297.5,279.6,85.6214285714,143.55000000000004,18.1157142857,1.87142857143,27.6285714286,7.4,32.8,23.3,61.8,0.27775144,0.26047192,0.26191142,0.27999998000000004,60.102,297.9988571428,299.4771428572,295.7714285714,307.78000000000003,293.1,71.836,89.23942857141999,60.102,17.36828571428,9.194285714286,28.05133333334,11.086,34.18,21.2,46.36
1990-10-22,0.1462,0.08975,0.12882860000000002,0.1239286,127.03000000000003,298.902857143,299.042857143,296.257142857,300.9,297.2,94.52,85.5028571429,127.03000000000003,17.75,1.8,26.771428571399998,7.62857142857,32.2,21.7,91.5,0.28267716,0.25441,0.27223428,0.2910714,86.284,298.60342857160003,300.0657142856,295.4922857142,308.7,293.03999999999996,58.56,85.36085714286,86.284,17.09171428574,10.08000000001,27.84666666666,10.93566666666,34.6,21.259999999999998,88.58
1990-10-29,0.25225,0.1834333,0.318,0.2959,101.35,299.727142857,299.778571429,296.534285714,301.4,298.5,22.26,82.7871428571,101.35,18.0342857143,1.78571428571,27.971428571399997,8.64285714286,33.3,22.8,6.300000000000001,0.28922226,0.29568572,0.30709666,0.28365284,50.442,298.134857143,299.83,294.4088571428,308.84,292.28000000000003,26.809999999999995,82.50428571428,50.442,15.94028571428,11.745714285702,27.03833333334,11.89833333334,33.78,20.28,41.22
1990-11-05,0.1526,0.181775,0.1783286,0.1866286,20.46,299.972857143,300.035714286,296.564285714,302.2,298.5,14.399999999999999,81.7157142857,20.46,18.0742857143,2.38571428571,28.471428571399997,8.42857142857,33.3,23.9,6.599999999999998,0.24440282,0.21419999999999997,0.22635428,0.23744858,40.67,297.00057142860004,298.0928571426,294.264285714,306.32,291.26,28.272000000000002,86.80999999998,40.67,15.84057142858,9.677142857146,26.56166666666,10.171666666666,33.06,19.92,69.22
1990-11-12,0.29080000000000006,0.2246,0.1803857,0.2348857,20.0,300.35,300.5,295.687142857,302.3,298.8,7.100000000000001,75.72857142859999,20.0,17.0857142857,2.2,27.5428571429,8.6,32.8,22.2,38.9,0.2818352,0.27050799999999997,0.25941316,0.26210142,32.946,297.3605714286,298.7414285714,293.31171428560003,307.18,291.42,15.498000000000005,80.7357142857,32.946,14.918,11.671428571438,26.78666666666,10.96833333334,33.3,19.66,64.54
1990-11-19,0.2722,0.33035,0.13163329999999998,0.1253833,20.04,299.511428571,299.635714286,295.375714286,301.6,297.0,36.7,78.1514285714,20.04,16.752857142899998,2.52857142857,26.8,7.414285714289999,31.7,22.2,9.6,0.21543903999999997,0.20028427999999998,0.25468458,0.2139838,43.07,297.3662857144,298.7785714286,294.606,307.2,291.9,30.132,86.6597142857,43.07,16.16942857142,10.385714285712,26.97166666666,10.970000000006,33.24,20.4,33.3
1990-11-26,0.13676670000000002,0.216525,0.17678570000000002,0.1415857,33.61,298.238571429,298.26428571400004,294.81142857099996,300.2,296.5,44.3,81.38571428569999,33.61,16.2085714286,1.98571428571,26.2,7.12857142857,31.1,20.6,26.7,0.19815696000000002,0.18913811400000002,0.189407628,0.20460094,82.974,298.2165714288,299.2242857142,295.935714286,306.5,293.34,117.35199999999999,88.97542857144,82.974,17.55200000002,8.460000000002,27.74633333334,10.27166666666,34.74,21.46,45.2
1990-12-03,0.1098,0.0886,0.2667833,0.2517,9.96,298.542857143,298.685714286,294.782857143,300.8,296.7,71.8,79.9085714286,9.96,16.161428571400002,2.05714285714,25.985714285700002,5.54285714286,29.4,22.2,69.0,0.23587428,0.21371332,0.26085428,0.23981715999999997,78.126,297.8560000002,298.8457142858,296.6479999998,306.14,294.06,65.18,94.10828571428,78.126,18.30857142858,7.102857142856,27.52133333334,10.20866666666,33.86,21.34,166.3
1990-12-10,0.12135,0.26166,0.1913857,0.2099857,0.0,298.202857143,298.278571429,292.004285714,300.6,296.1,4.100000000000001,68.7228571429,0.0,13.6157142857,2.98571428571,24.6857142857,7.77142857143,29.4,19.4,2.8000000000000007,0.20417808,0.18529334,0.21850094,0.21692288,82.996,297.6105714286,298.912857143,295.4814285714,306.9,293.2,51.674,89.52485714286,82.996,17.04171428572,8.72857142857,27.02666666666,10.81,33.2,20.56,62.78
1990-12-17,0.2931333,0.2668667,0.2608571,0.3027286,52.45,298.297142857,298.37857142900003,294.55857142900004,300.9,296.0,32.31,80.0828571429,52.45,15.954285714300001,2.87142857143,25.714285714299997,6.58571428571,30.6,21.1,19.8,0.26241836,0.28411762000000007,0.255541908,0.27276664,81.898,297.4614285716,298.457142857,295.8734285716,305.26,293.54,118.22799999999998,92.37085714286,81.898,17.44342857144,6.800000000000001,26.97533333334,10.90866666666,33.68,20.4,75.28
