,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.1226,0.103725,0.1984833,0.17761670000000002,12.420000000000002,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.420000000000002,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,0.22318080180995542,0.2030909766768107,0.22076790290738074,0.2268112763557697,61.26147180799977,297.91077220274707,299.1601643502226,295.19926541004287,306.77998968007455,293.4101521714729,67.78633835636462,87.37322633847441,61.261471898259266,16.76689523043458,8.578353469428947,27.32639152907455,10.773203131951938,33.8302702809036,21.016765719161526,51.77361650220042
1990-05-07,0.1699,0.142175,0.1623571,0.15548570000000006,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.599999999999998,0.22199429373955684,0.20812644909818567,0.2180985458495856,0.23018676585647596,61.26147185494322,297.71373948435075,298.8658537656,295.0913424270519,306.76289264219116,292.60840447158114,64.74489231343648,87.7301931660161,61.261471934175944,16.668117520612153,9.119201354370187,27.18142819576732,10.960923847112982,33.80305033995624,20.571016415299404,54.58192908225114
1990-05-14,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.4857142857099985,32.2,22.8,41.4,0.2562090278410493,0.23963874437813407,0.22744808031985475,0.26987378296649017,61.26147183718482,297.74809599526196,298.89847657869126,295.1252919262837,306.8320038212119,292.72955058920445,57.59853006180316,87.49720795450864,61.26147190316801,16.719693126380594,9.101655837417239,27.250212436271404,10.71291560358741,34.06643123441437,20.687390801522184,60.77456737888837
1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.899999999999999,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,0.2543732508059414,0.2485228605017104,0.23325561040055764,0.2733586024357111,61.26147213984666,297.6067445997293,298.75862272182184,295.0702755608174,307.02844390167576,292.42288751224316,64.67957983216996,87.91196599398351,61.261472242880366,16.63164553897722,9.225650048718851,27.179953875656956,11.229603239132166,34.04626570851758,20.272319288842155,53.5085334523384
1990-05-28,0.19619999999999999,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.200000000000003,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.800000000000001,0.25255159026026003,0.26211297488330043,0.23169690615623198,0.27430345609430434,61.26147352297102,297.5550961050487,298.7873405926467,295.1262354970964,307.21573724301544,292.15217693366907,70.46746623647445,88.33817714065219,61.26147370862161,16.596526052674488,9.85483068754048,26.8552372602843,11.575782338744592,34.101040799952756,20.08829639706287,46.581226881151665
1990-06-04,0.17366660230793368,0.17485,0.2543143,0.1817429,9.579999999999998,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.579999999999998,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,0.256436659948499,0.24900198109900754,0.25775909391130236,0.2604665525089494,61.261471755678095,297.6506018615759,298.82805620647815,295.05861468217853,307.4266378326678,292.32687147818837,58.79530733945309,87.61304534566753,61.261471846520735,16.602998184874817,9.786041277034679,27.071959299522973,10.788038782612988,33.88941889374587,20.490010079212077,59.30897029672297
1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.480000000000004,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.480000000000004,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,0.24984526168053192,0.24203692943678623,0.2321614014480662,0.25299113579038873,61.261471398563586,297.6832636190358,298.83224611406234,295.07188619724985,306.9412734617645,292.1991484786403,51.657673468217126,87.48171255949204,61.26147147978901,16.65973522591056,9.507510334488268,27.29650756863077,10.52762259907881,33.907567583446294,20.925090212902365,63.847687382349356
1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,0.23058398400208974,0.210565166145152,0.22346630760408764,0.23649431689173894,61.26147299964572,297.6579036743197,299.07217195337495,295.13506080006033,306.82842182901896,291.7971118001394,51.2532159605946,87.83727838422351,61.26147298982006,16.67096862304098,10.87922374383757,26.978499544654213,10.705073945108593,33.56719001430986,20.88296163473118,73.05212914903058
1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,0.2568884619121797,0.2492375694964657,0.2415570714192941,0.26449800108674965,61.261472245548575,297.74561105978717,298.9616084881051,295.0456697127408,307.5382916448265,291.67000423302056,54.16440574818361,87.31174619218628,61.26147235177387,16.620453754233058,10.307862314761184,27.26388256565993,10.587980990999487,33.91387576589444,20.506553500755413,63.717812463775665
1990-07-02,0.07245596239827141,0.12155,0.16068329999999995,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1000000000000014,0.25620962328829094,0.24694193791774957,0.2343190532749497,0.2645827740478893,61.261471276048695,297.59995165566517,298.7870892562683,295.04819546924966,307.5840145629006,291.68202068373006,50.18926259066312,87.46365175113083,61.26147133868169,16.62632961213763,9.97054637141122,27.470724798866318,10.810474153213812,34.122627486667255,20.87580176892219,65.76830861331277
