,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
2004-06-10,-0.24310625,-0.03978561,0.10713063,0.11118332,45.206173,296.28265,300.49823,294.2521,309.53616,294.49304,35.84421,76.95868,50.361916,16.169645,2.361165,26.040741,6.596233,29.546583,22.198597,24.179373,0.27293387,0.21432921,0.24714822,0.19449775,67.64845,283.129,294.74774,306.03836,308.649,311.9307,67.14899,87.067665,68.49894,16.652302,8.018024,25.61942,9.572362,33.443684,21.222033,68.98182
2004-06-17,-0.22031148,-0.046676524,0.10391311,0.10952139,46.92975,296.35693,300.57248,294.3076,309.58588,294.59897,36.236835,76.892975,52.618587,16.276636,2.3586469,26.108019,6.586286,29.602818,22.284275,24.33745,0.27120268,0.21292976,0.24686621,0.19241682,68.0215,283.1219,294.74332,306.03503,308.6494,311.9277,63.476128,87.04537,68.70215,16.6281,8.051437,25.606237,9.516393,33.44084,21.195984,71.70738
2004-06-24,-0.23887321,-0.054836288,0.092618436,0.10364403,44.292923,296.40353,300.60858,294.37286,309.593,294.66306,35.594894,77.01922,50.122673,16.401361,2.3315303,26.15543,6.535089,29.585737,22.378708,25.770607,0.27102223,0.21352744,0.24722283,0.19208886,68.26288,283.1175,294.7434,306.0327,308.64703,311.92557,60.87932,87.034134,69.01253,16.596426,7.9440465,25.58922,9.45203,33.43249,21.172483,71.29481
2004-07-01,-0.2388886,-0.05329479,0.089548886,0.101515315,39.952774,296.41785,300.61804,294.41205,309.59506,294.69354,33.89846,77.14114,45.47902,16.480186,2.3107953,26.190655,6.535346,29.649624,22.37297,26.373903,0.27045,0.21347845,0.24710129,0.19164479,67.94464,283.11716,294.74963,306.02853,308.65366,311.92267,55.613033,87.03101,68.790886,16.561348,7.949825,25.569828,9.379566,33.424614,21.152481,69.720276
2004-07-08,-0.20860165,-0.046278384,0.08695265,0.09662207,35.708267,296.44122,300.63513,294.50293,309.62338,294.7046,32.249596,77.50148,40.716766,16.646168,2.3106585,26.24469,6.537416,29.727446,22.427794,27.40358,0.27144122,0.21532808,0.24730021,0.19195856,67.33577,283.11423,294.74866,306.02502,308.65143,311.9195,54.122986,87.01301,68.13821,16.520918,7.800575,25.549574,9.311241,33.41884,21.119223,67.97815
2004-07-15,-0.18185246,-0.03616288,0.091570176,0.09661211,33.46987,296.4555,300.64032,294.5345,309.6243,294.70782,31.687933,77.58767,37.98695,16.711557,2.3148901,26.297087,6.559699,29.791616,22.435484,28.055117,0.27259046,0.21637647,0.24737906,0.19371669,66.53687,283.10696,294.7438,306.0226,308.64587,311.91708,54.134396,86.98499,67.52431,16.481525,7.7490625,25.532537,9.297013,33.40412,21.087027,67.98836
2004-07-22,-0.15845916,0.011660662,0.09516052,0.09799631,31.988287,296.47656,300.6568,294.59705,309.6458,294.72476,31.141178,77.81164,36.24666,16.831377,2.3268268,26.35525,6.5629897,29.838472,22.48062,28.436905,0.27297476,0.21713212,0.2476163,0.19454446,65.603615,283.1079,294.75116,306.02255,308.6439,311.9155,51.572803,86.959465,66.742714,16.443241,8.215047,25.523695,9.28204,33.39063,21.067408,66.88778
2004-07-29,-0.16190006,0.0054456713,0.0983983,0.09613652,31.753923,296.5201,300.69232,294.62875,309.6643,294.75232,30.663824,77.76096,36.020348,16.895596,2.327212,26.401608,6.5912533,29.869146,22.505484,28.824745,0.2733148,0.2180881,0.24769178,0.19549204,64.35813,283.1025,294.74792,306.0183,308.63898,311.91412,48.935173,86.92768,65.89381,16.422722,8.608319,25.527649,9.329331,33.378815,21.083641,65.76579
2004-08-05,-0.16842191,0.0021881894,0.10155171,0.09736181,33.68858,296.60022,300.7686,294.6722,309.7553,294.81607,30.159979,77.60403,38.214615,16.978989,2.3558817,26.485544,6.6470327,29.966661,22.53836,28.317293,0.2739935,0.21895671,0.24792305,0.19697113,63.528046,283.11115,294.76178,306.01654,308.64542,311.91223,48.117744,86.89806,64.85427,16.399204,9.093775,25.55204,9.387714,33.377266,21.06163,67.00493
2004-08-12,-0.17128779,0.0022865247,0.10306913,0.09762373,37.097897,296.67886,300.84027,294.7119,309.8388,294.8585,29.618542,77.442604,41.767937,17.052391,2.376174,26.630804,6.692219,30.082878,22.633287,25.825037,0.274159,0.21834296,0.24810573,0.19717811,63.04806,283.12173,294.77097,306.0168,308.6514,311.90964,44.667973,86.84346,64.599434,16.374638,9.528968,25.60804,9.507348,33.3816,21.0649,65.43222
