,sj_ndvi_ne,sj_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_relative_humidity_percent,iq_reanalysis_specific_humidity_g_per_kg,iq_station_max_temp_c,iq_station_min_temp_c,sj_ndvi_nw,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_precip_mm
2004-06-10,-0.02271459390094475,0.14281607807556643,0.17153612527437806,0.12785918971118965,0.1907148509483953,0.14886592681070082,0.15429358793366363,298.93913777339503,298.9644110198889,295.17865052174386,300.8631346236804,296.8787550739906,79.61926006847412,39.90990272178891,294.7451240646458,295.7849689423217,293.446450744952,302.084437598235,290.726935493863,92.95920144391583,16.033904735853277,32.12052262644818,20.6228748734764,-0.002022745521856051,19.907943083238674,26.087636401454066,19.907943083238674,17.716271293143798,2.6603870352916807,28.092884108232173,6.444149640897603,32.07548337092052,23.543678743073123,71.98174647474963,35.88650810221433,71.98174647474963,7.3298376164642995,25.965307400076885,4.9779238683847105,79.17631374242973
2004-06-17,-0.021564340840214007,0.14224212026443403,0.1707713266748027,0.1255781379939221,0.18999721936492836,0.1469878418244848,0.15734512044259863,299.46012396533354,299.50362005388865,295.6773494257225,301.44098177056674,297.3478488107291,79.67379416532127,44.403740395350724,295.30364418038596,296.4226375690713,293.8399937291232,303.26915245675673,290.97059266243764,92.30834904950662,16.007581688307724,32.24129383044276,20.627266612619543,0.00754644129662195,23.274314353080495,25.412958024155824,23.274314353080495,17.793014422169247,2.7369156543523347,28.152582172557032,6.482575375401664,32.2137077314417,23.51252386938702,69.49842036953908,32.96123262789938,69.49842036953908,7.827689732692043,25.743460825084533,3.986613738449207,77.68868038236255
2004-06-24,-0.020394869254710308,0.1416733150108041,0.17001891451293993,0.12330710264115281,0.18929134959183636,0.1451242379168557,0.16252938817983476,299.8563669456966,299.90707706957033,295.98448553742753,301.79766306538664,297.71725728277653,79.34788606002448,41.47367365394198,295.673186678427,296.8716563274319,294.05151845565257,303.8985544902151,290.9796845989604,91.6417660292216,15.954754942734475,32.14955187755142,20.45657347746868,0.0036251460200488056,28.680124144447444,25.819159711714413,28.680124144447444,17.830735245179845,2.7121728582777624,28.176031763147297,6.391619111740797,32.13356798192308,23.62302410943554,62.00966702279629,31.730608241430552,62.00966702279629,8.333716334898028,25.48902480033609,2.1139012441977068,83.09536241086465
2004-07-01,-0.019206817214978297,0.1411098471000655,0.16927899481970646,0.1210467977737319,0.18859747042950145,0.14327559437323822,0.1634586780415276,300.1071493423428,300.1540759607647,296.19611869033463,302.00456172949623,298.0409013733091,79.22936296940034,45.053968440043946,296.0416943897266,297.3232576568241,294.29257146984764,304.4584303347441,291.21619846176395,91.2113216309024,16.030027874183332,32.06699926946903,20.656708588198995,0.0011878401049936343,31.536560926206615,27.98727031428196,31.536560926206615,17.874967461863648,2.6583607296682574,28.187927216792062,6.324552257390742,32.039077147281134,23.67725887422778,60.33431208143993,31.669158092270422,60.33431208143993,8.826051618977177,25.316217038929445,-1.1489133220368064,85.41609023032802
2004-07-08,-0.018000831263864574,0.1405518997225319,0.1685516685926424,0.11879793459328324,0.18791580732157048,0.14144238497438824,0.16675806810992197,300.24129251304316,300.28696801674505,296.3263979407639,302.10317167484595,298.28357447244974,79.25777019458158,44.11991782929172,296.37948966101357,297.713492441193,294.37519134053537,305.0207213901348,291.32756352587376,90.08695206549244,16.00816634280754,32.217171995552214,20.767660288229816,-0.002681543872273401,35.02149589049645,29.310160508352695,35.02149589049645,17.903120526781727,2.613311513044094,28.167803228301956,6.28513880868727,31.911400757203708,23.806055009165746,61.45030153685404,27.80504971184292,61.45030153685404,9.391518109696351,25.025567768267713,-6.267934935738763,70.7950616493725
2004-07-15,-0.016777566137723268,0.13999965441537704,0.16783703180515955,0.11656122115814548,0.18724658228575686,0.13962507788101075,0.1697348527802947,300.3629060853869,300.4167557850094,296.4469461789456,302.2333683251689,298.4539069430621,79.29883591649185,36.70528104449994,296.66104985886227,298.0204465813262,294.3614946416194,305.5578568236183,291.3362056141989,88.79686555526372,15.93710360471974,32.41007813513518,20.671594417086503,-0.004748644716653337,37.69456218660932,27.72599185040754,37.69456218660932,17.965389714624926,2.576608961660552,28.214510129319397,6.21695128642423,31.94506600391862,24.03512615374727,58.070924734567015,25.77282330926826,58.070924734567015,9.937259659662503,24.429090352458793,-14.404633031280618,61.69296278918643
2004-07-22,-0.015537684484339953,0.13945329100506484,0.1671351754176613,0.11433736216017126,0.18659001384560026,0.137824135520354,0.16958625645612135,300.433036910589,300.4866903104094,296.4885961165603,302.32134462938916,298.5060956254876,79.19795826552146,33.42964795701357,296.76592151666574,298.13559172112843,294.340088203892,305.8172609463351,291.32404565197135,88.23303025078607,15.88123895799562,32.46425265723232,20.60933863528188,0.012426167032333048,36.06953126259347,28.524261376644382,36.06953126259347,17.96936025002265,2.615211732466377,28.25453305225411,6.343513692453091,32.026819317868714,24.070219959667792,56.691374241978295,23.949118625635194,56.691374241978295,10.226494570713228,23.357766971196988,-27.752594256955714,58.73342946227207
2004-07-29,-0.014281856577684687,0.13891298755029322,0.16644618539051895,0.11212705870245482,0.18594631696320485,0.1360400144748049,0.16837973535736758,300.50073575848376,300.5652105667875,296.6001324113255,302.40485834839905,298.57074645010965,79.43444805369892,31.59955518918179,296.8529411599605,298.2463851741611,294.17919793844055,306.3508740640999,291.2088639881869,87.12907248723923,15.705447832022651,32.590516646091146,20.288506978795454,0.01410621282499569,36.90370634968542,28.7825027871653,36.90370634968542,18.064394097753507,2.6396890736766636,28.34158515366105,6.432961428910788,32.17299359248342,24.13833609994923,55.89850408221974,21.83810317053898,55.89850408221974,10.519788434124333,21.697817490951934,-48.395349526303974,46.907037289674015
2004-08-05,-0.013010760029604357,0.13837892028546833,0.16577014269888937,0.1099310080780575,0.18531570297297695,0.13427316537251135,0.1627348941792158,300.6131380293561,300.69104086333255,296.6585901572051,302.5407736589948,298.64096081011354,79.19389211560818,27.29009554941069,297.0988085030267,298.5394143226797,293.9520553456172,306.92541296103644,290.98787494944844,84.94506551173403,15.475515838696204,32.65410247117936,20.145059166074134,0.029478007969814007,36.939880220732555,28.492267969729305,36.939880220732555,18.110046775095405,2.6777827317395078,28.4873389106919,6.5345740218467725,32.412776151860626,24.25307972867686,49.09862656174761,18.578636665624764,49.09862656174761,11.147083137380186,19.482421799105886,-76.75292999813102,43.27255451626549
2004-08-12,-0.011725079498566077,0.13785126356472863,0.16510712334935743,0.10774990354980138,0.18469837951638232,0.13252403278005645,0.1548109555759375,300.7220196481591,300.8180654206287,296.72039741141185,302.63642119260874,298.7509456600023,78.98458170473455,25.880900627497716,297.2528093918904,298.7390938872224,293.87894410817887,307.39575323822453,290.7571694839064,83.8067832946646,15.401842246467776,32.44773993359728,20.37037082717798,0.04418355697210605,37.159285627117455,28.977558305757196,37.159285627117455,18.166290281235412,2.657101925990421,28.623758220307586,6.625778132112503,32.69404022057616,24.337367374809524,46.1621020732797,18.26403158767977,46.1621020732797,11.570750857292007,17.01276663247797,-109.69648729100152,37.28553350418761
