,sj_ndvi_ne,sj_ndvi_sw,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_ndvi_nw,iq_reanalysis_tdtr_k,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_sat_precip_amt_mm,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_ndvi_ne,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_relative_humidity_percent,iq_reanalysis_specific_humidity_g_per_kg,iq_station_max_temp_c,iq_station_min_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.13242437121380338,0.18401238442377615,0.03665229563770319,0.05656391269247079,0.044571918227567994,0.19257537950817274,0.15625998861239454,-346994454.5160197,0.18953048629443053,295.86400979990486,296.0298750277593,291.61898932296765,298.13274680883256,294.1669439556735,76.84514016816217,17.62621629670293,2036942859.3383257,3494787845.7082267,2036942859.3383257,46071267.554113135,30524060.054536153,0.2898254436592186,294.67043146566164,294.819648357852,290.70668050638784,296.91176749056365,292.98225213089745,77.70589235803652,18.836309940855177,292.76582652851096,294.453103152606,291.2320293388368,303.18449393763996,289.17562502245914,91.18598098128999,16.428815471544954,32.063922521402745,20.422852614727127,22.16823041647816,24.044762074267478,22.16823041647816,15.879923415264397,2.368016811497311,26.658606341375236,6.878219637854241,31.734469185440133,22.05323351164621,-2761676114.5188527
1990-05-07,0.13438413875339034,0.1857507717028655,0.03642050097896676,0.05686700756315785,0.044376797477128145,0.1940781588358522,0.1592208407365441,-347853148.7153603,0.18865783632077723,296.9453253548506,297.1106029569508,292.8679121047334,299.2331121591305,295.2344131804846,77.93348921436029,18.063301981853364,2041976676.160043,3503433364.211319,2041976676.160043,46185154.633110404,30599462.52402115,0.2894805323735776,295.86239894359505,296.00864776644784,291.93774978655927,298.10917762276034,294.16693312369114,78.2638819542509,19.18130081461849,293.8833637998495,295.5770347920785,292.34341954319865,304.3417817845709,290.2791776732144,91.53266330339217,16.49141607165524,32.18652985140411,20.50078158359344,22.92443905489187,24.2049135288091,22.92443905489187,16.055872928880795,2.3648380342043738,26.845826336792673,6.928003853730368,31.98777151962183,22.243085916591806,-2768514119.8125167
1990-05-14,0.1371105795159145,0.18835061233294276,0.03619118811053136,0.05717616903015406,0.0441848853102677,0.1966505116003685,0.16267291025220426,-348018165.52158237,0.19303223951242435,297.7587625102611,297.91020816327364,293.885672100517,299.98532670747454,296.0541869995848,79.13095699285827,20.392423570859727,2042935953.0294585,3505091404.750456,2042935953.0294585,46206896.21497877,30613796.16166434,0.29000997569892395,296.823322229357,296.9627870012722,292.96852370373307,299.06723298485946,295.1237353905166,78.88414045330276,19.749173691443218,294.7278529764541,296.426355992273,293.1832635756414,305.2163091607474,291.1130991507736,91.79464043228015,16.538722064007743,32.27918102179137,20.55967167491955,23.95636192441871,24.535509998976565,23.95636192441871,16.285613003269738,2.352255055739025,27.062333839903115,6.99806078230951,32.28714854691542,22.463729003062717,-2769832611.369582
1990-05-21,0.14226973386027644,0.19101260304406925,0.03596444796234973,0.057491437809471024,0.04399625472637765,0.19993108964092354,0.16476828433896737,-347622677.0394106,0.20455809372408695,298.35300360865574,298.50146819121983,294.57916043264373,300.6198447254773,296.61021488445414,79.73979776253151,18.51885106730778,2040602939.7127123,3501103430.9308825,2040602939.7127123,46154182.73988979,30578785.343429245,0.2931628706338461,297.58263084992245,297.71290818801833,293.80150386491596,299.82703718992485,295.87999671447903,79.45105608737553,20.187480333692225,295.35114109308864,297.0532104549274,293.8031232161304,305.8617674006772,291.72858760701183,91.9879962337912,16.573637265883928,32.347563929670436,20.603137212848335,25.167213827516523,25.12989028968917,25.167213827516523,16.5253328608868,2.331690425702776,27.288748733567544,7.080767704671443,32.58647299245192,22.676140844625415,-2766691213.8285604
1990-05-28,0.14830903796428577,0.19226775315588945,0.03574040131056936,0.057812852483279345,0.04381101679753864,0.20226967801129542,0.16353557412321978,-346794364.35902023,0.21146507894647987,298.8058414372733,298.9327260622149,295.1119648666705,301.08365171015134,297.07379772933746,80.22471521703342,19.5482057195212,2035727631.5843573,3492755594.3756804,2035727631.5843573,46043975.22209114,30505671.014448788,0.2974246572818084,298.1733572106334,298.2908067416325,294.46457078585377,300.41366946320386,296.4757813407289,79.9560889800354,20.958395178601805,295.8029453843435,297.50759989158126,294.25244220693287,306.32964221708147,292.1747380959742,92.12815398163632,16.59894645276244,32.39713299084674,20.634644606359437,26.95501703109182,26.248888451861596,26.95501703109182,16.758090071512957,2.299331904871557,27.49629300519959,7.15319990063076,32.83682776818617,22.851951554072222,-2760105861.054555
1990-06-04,0.15348700240501117,0.1918863983523984,0.0355191880856494,0.05814044951993093,0.04362930695315992,0.2027517995833938,0.15889324954524647,-345642284.8737672,0.2104033685558814,299.1017122625928,299.20325348444516,295.4884740181099,301.369660628774,297.4377989685147,80.657997572568,23.325941581538956,2028950628.7405887,3481146447.2204533,2028950628.7405887,45890760.72155543,30404054.500561044,0.30066311310258265,298.62317048607343,298.7259079438835,294.98383204755305,300.8517910695485,296.9376167698497,80.40313324333982,22.009918989321818,296.125735440637,297.8322368978629,294.57345653427876,306.66391384853716,292.4934887475957,92.22828863331074,16.617028547428887,32.43254756386986,20.65715517971091,29.556123177307107,27.913309471840552,29.556123177307107,16.970468662505382,2.250570889443093,27.65655900072248,7.176112062591553,32.999044089717586,22.973649953244923,-2750944301.834618
1990-06-11,0.1576399573935351,0.19119460042437605,0.035300960484178204,0.05847426327885253,0.04345127614950262,0.20168615536124232,0.15335135311089415,-344253844.39391494,0.2005384706269664,299.27772202187566,299.347384979801,295.7781650624111,301.4353036749738,297.655210151273,81.23990452705733,23.946393240024904,2020785350.3561835,3467156441.7747,2020785350.3561835,45706150.12438545,30281630.93710586,0.3028374619841084,298.96301024637654,299.05128411574145,295.3879541487498,301.1719835243887,297.2852142653594,80.79483744222921,22.79640980368362,296.3535519476869,298.06135693494775,294.8000196521536,306.89983379926673,292.71845427539074,92.29896034588215,16.629790380173468,32.457542303355304,20.67304264091848,32.75477621309956,29.79966328894425,32.75477621309956,17.159431918941394,2.202875626660785,27.780744133878642,7.179373307942818,33.086076314245624,23.04458056337977,-2739902007.5247974
1990-06-18,0.1632043136923133,0.19099496970057941,0.035085878522830585,0.05881432600597196,0.043277085175558075,0.2008331089190376,0.1497045091600932,-342696322.84759045,0.1897499612069077,299.45390589643745,299.50279301802993,296.0363312835088,301.5140145309514,297.84975452495695,81.6649628470425,23.41325585599507,2011626996.6569858,3451463299.1654363,2011626996.6569858,45499080.81604062,30144323.591339108,0.3036994073443037,299.2258395047437,299.3033874772145,295.6999882168887,301.42536376255504,297.5448030287578,81.09308412026922,23.350750752499735,296.5125996093638,298.22131464553723,294.95819213714987,307.0645388613076,292.87551147251844,92.34829839683397,16.63869986515226,32.4749921847001,20.684134342570307,35.77580613856795,31.61628560394642,35.77580613856795,17.322760550704373,2.16813688006354,27.88458742062343,7.175843154725542,33.137701257507274,23.08542190988888,-2727514311.7344217
1990-06-25,0.17139815765776006,0.19305541552423872,0.034874107160268585,0.059160667823321106,0.0431069009726264,0.2021801521037422,0.14908629197142326,-341020081.70327777,0.1866044714779778,299.58891435495764,299.6394099454473,296.1816966282653,301.76183749748657,297.9206059519738,81.74296150258958,23.340048434473132,2001771389.2597694,3434574318.216589,2001771389.2597694,45276242.75221327,29996566.241916306,0.30476101461458555,299.42921690273545,299.5017913747755,295.9309117905736,301.64710074932907,297.72962115705764,81.27247393682089,23.890202252247917,296.62249550728177,298.3318393566269,295.0674831783846,307.1783438825567,292.98403194627673,92.38238844387632,16.64485591022158,32.48704945055572,20.6917982893412,36.60392729341676,33.396136203085504,36.60392729341676,17.451492196148248,2.1570259352637313,27.961697284102193,7.159514074804218,33.14492501196413,23.115607531329154,-2714181931.156426
1990-07-02,0.1808699936364932,0.19773330898518263,0.0346658144257002,0.05951331671515522,0.04294089424678475,0.2066252912332484,0.15075488065409534,-339262053.73421896,0.19565413415940064,299.712601516572,299.7791258068855,296.27417602474327,301.9285913297443,298.0222329290942,81.61097830397398,23.71219210674866,1991435469.9693272,3416861528.397749,1991435469.9693272,45042542.03548069,29841610.41531358,0.30750741038946067,299.5870696470532,299.65910902519784,296.0980732724965,301.8322265515377,297.86272089521157,81.35329685137486,24.537074418037626,296.69762772451645,298.4074014771767,295.14220172689676,307.2561487185282,293.05822373885695,92.40569399556999,16.649064513307543,32.49529266148112,20.69703785719227,36.96389081475016,35.0936480089059,36.96389081475016,17.549543492526492,2.1657810897732093,28.015133379300813,7.1398171312040954,33.11231306608772,23.139447668752467,-2700198732.9443235
1990-07-09,0.1880309010331555,0.20365890481114154,0.03446117019372562,0.05987229851209566,0.04277923791144887,0.21324587683863558,0.15476813384268673,-337448902.0559846,0.21168303278539685,299.7348539892461,299.8058849572037,296.2779921214859,302.00789601778695,297.97526724834484,81.54017741103571,28.60367730779528,1980775856.8883057,3398593511.307007,1980775856.8883057,44801520.558455795,29681803.505185965,0.310136809368647,299.70650215181473,299.7791326601079,296.2166715240238,301.984677554127,297.9506770655892,81.37816726217656,25.34604847829574,296.74838536115055,298.45844955166,295.1926797452041,307.3087120000817,293.108345950291,92.42143798725874,16.651907659837438,32.50086164042803,20.700577556450014,37.70458622670388,36.7960062469443,37.70458622670388,17.622655009659816,2.18771735658779,28.053830679479468,7.134034271337798,33.05950981051868,23.146636914906672,-2685776870.562981
