,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,iq_station_precip_mm,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c
1999-08-13,-0.01465,0.11395,0.1689143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-20,0.01015,0.0687,0.1710857,0.2322667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-27,-0.01465,0.03655,0.1532571,0.3221571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-03,0.06065,-0.0331,0.1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-10,0.087,0.06035,0.0988,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-17,-0.0121,0.067475,0.1250857,0.3221571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-24,0.08305,0.06535,0.1046286,0.2050857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,0.05016667,0.03946667,0.1612833,0.1824143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-08,0.1322,0.01383333,0.1405857,0.2322667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-15,-0.0864,0.12685,0.05796667,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22,0.0715,-0.0368,0.037475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-29,0.1544,0.009325,0.07245714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
