,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_se,iq_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,sj_ndvi_se,iq_station_precip_mm,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm
1992-09-02,0.094,0.2175,0.12565710000000002,0.2627,,-1982137.168716603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-09,0.123975,0.1768,0.2148286,0.2627,,-1967661.8957232784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-16,0.0519,0.07226667,0.1588143,0.2627,,-1953257.268539711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-23,0.1435,0.1435,0.2122714,0.2627,,-1938923.114352853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,0.1972,0.12715,0.09435,0.2627,,-1924659.2603496583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-07,0.137225,0.10745,0.1911,0.2627,,-1910465.5337170782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-14,0.3371,0.1979,0.1832286,0.2887889,,-1896341.7616420665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-21,-0.0156,0.0312,0.1129833,0.2627,,-1882287.771311576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-28,0.1242,0.1254,0.1124286,0.3406429,,-1868303.3899125592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-11-04,0.0866,0.1209667,0.2498571,0.2627,,-1854388.4446319682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-11-11,0.118,0.1422,0.0668,0.2627,,-1840542.7626567588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-11-18,0.0764,0.05613333,0.06401429,0.2627,,-1826766.1711738815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-11-25,0.0971,0.1026333,0.1198286,0.2627,,-1813058.4973702894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-02,0.1083,0.074125,0.15275,0.2627,,-1799419.5684329355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-09,0.0547,0.1099,0.2159667,0.3164571,,-1785849.2115487736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-16,0.1194,0.066425,0.1941286,0.3406429,,-1772347.2539047552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-23,-0.01008,0.06821667,0.0733125,0.2627,,-1758913.5226878338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,0.10475,0.1302,,,,-1741741.5555152188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-08,0.02835,0.04366667,0.04645714,0.2887889,,-1728463.1214867495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-15,0.03006667,0.03785,0.1092,0.3406429,,-1715252.3460710805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-22,0.03225,0.11345,0.2200286,0.4067143,,-1702109.0564551654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-29,0.06613333,0.05705,0.1473833,0.2627,,-1689033.079825954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-05,0.047425,0.02253333,0.09468571,0.2627,,-1676024.2433704012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-12,0.2738,0.0558,0.2047857,0.2627,,-1663082.3742754585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-19,0.11086669999999997,0.173375,0.2274143,0.2627,,-1650207.2997280804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-26,-0.0323,0.1339,0.2615857,0.3406429,,-1637398.846915218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-05,0.1744667,0.1338,0.1399167,0.2627,,-1624656.8430238268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-12,0.09403333,0.214,0.2538286,0.2627,,-1611981.1152408575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-19,-0.0411,-0.0436,0.1717714,0.3406429,,-1599371.490753262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-26,0.03225,0.10315,0.20418570000000005,0.2627,,-1586827.7967479965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-02,0.1194,0.08853333,0.1174286,0.3164571,,-1574349.860412012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-09,0.0922,0.0423,0.2082143,0.2627,,-1561937.508932262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-16,-0.0158,0.01885,0.0834,0.2627,,-1549590.569495697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-23,0.0828,0.0788,0.1317,0.2887889,,-1537308.8692892734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-30,0.17315,0.09256667,0.1252286,0.2627,,-1525092.2354999422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-05-07,0.07965,0.06415,0.12915710000000002,0.2627,,-1512940.4953146577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-05-14,0.07305,0.052000000000000005,0.1070286,0.2627,,-1500853.47592037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-05-21,0.1769,0.0901,0.1866833,0.3406429,,-1488831.0045040343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-05-28,0.01645,0.10485,0.0644,0.2627,,-1476872.908252603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-04,0.00305,0.0506,0.1761,0.2627,,-1464979.0143530283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-11,0.1206,-0.06766667,0.14848570000000005,0.2316714,,-1453149.1499922634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-18,0.0689,0.0785,0.2193714,0.2887889,,-1441383.1423572623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-25,0.0374,0.13996670000000005,0.1343571,0.2627,,-1429680.8186349766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-02,0.1237667,0.1522,0.2187714,0.2627,,-1418042.0060123594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-09,0.0689,0.09593333,0.1590429,0.2627,,-1406466.5316763644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-16,0.0375,0.09203333,0.2203714,0.2627,,-1394954.2228139434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-23,0.1204,0.1826,0.1923714,0.3406429,,-1383504.9066120503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-30,0.08285,0.10608,0.1236,0.3164571,,-1372118.4102576363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-06,0.1083,0.1488,0.2581143,0.1297571,,-1360794.560937656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-13,0.1016,0.1401,0.16925710000000002,0.2887889,,-1349533.1858390619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-20,0.0969,0.04966667,0.16328570000000006,0.2627,,-1338334.1121488067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-27,0.10885,0.24925,0.2159143,0.2627,,-1327197.1670538434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-03,0.0979,0.1581,0.15091429999999995,0.2627,,-1316122.1777411245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-10,0.1121,0.0688,0.05133333,0.2887889,,-1305108.9713976022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-17,0.1199,0.0971,0.1865857,0.2627,,-1294157.3752102316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-24,0.0054,0.063525,0.1168857,0.2627,,-1283267.2163659637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-01,0.034,0.0517,0.09423333,0.3164571,,-1272438.3220517526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-08,0.1213,0.0705,0.16527139999999998,0.2887889,,-1261670.5194545505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-15,0.1317,0.0645,0.17318570000000005,0.2316714,,-1250963.6357613106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-22,0.0129,0.1768,0.14968570000000006,0.2887889,,-1240317.4981589844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-29,0.117,0.1143,0.1092667,0.2887889,,-1229731.9338345267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-05,0.06666667,0.1406667,0.1569,0.2627,,-1219206.76997489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-12,-0.1589,0.0493,0.1696,0.4067143,,-1208741.8337670262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-19,0.17315,0.013825,0.1117429,0.2627,,-1198336.9523978895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-26,0.1071,0.1818,0.2705857,0.2627,,-1187991.9530544318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-03,0.3572667,-0.0095,0.08941429,0.2627,,-1177706.662923606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-10,0.1281,0.2115,0.08283333,,,-1167480.9091923663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-17,-0.2902,-0.06766667,0.08,0.3406429,,-1157314.5190476628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-24,-0.0237,-0.02115,0.07024286,0.2627,,-1147207.319676451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,0.1111,0.047,,,,-1135728.4914945578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-08,-0.1209,0.0193,0.1785143,0.4067143,,-1125747.5475736272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-15,0.1435,0.0974,0.21445,0.2627,,-1115825.2512994679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-22,0.0741,0.16643329999999998,0.1407143,0.2887889,,-1105961.4298590326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-29,0.0912,-0.1162667,0.1985143,0.2627,,-1096155.910439275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-05,0.2588,0.2112,0.2156,0.2887889,,-1086408.5202271466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-12,0.0882,0.117,0.069175,0.2627,,-1076719.0864096018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-19,0.3633,0.24185,0.2834143,0.2887889,,-1067087.4361735922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-26,0.1564,0.09243333,0.07407143,0.3406429,,-1057513.3967060712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-05,0.05305,0.1446,0.15308329999999998,0.3164571,,-1047996.7951939927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-12,0.1125,0.1038,0.1224143,0.2627,,-1038537.4588243084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-19,0.1468,-0.04815,0.14055,0.4067143,,-1029135.214783971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-26,0.0412,0.1005833,0.1368429,0.2627,,-1019789.8902599341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-02,0.0978,0.15975,0.1195286,0.2887889,,-1010501.31243915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-09,0.108,0.05093333,0.1190286,0.2627,,-1001269.3085085717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-16,0.16435,0.13325,0.1552429,0.3164571,,-992093.7056551528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-23,0.22135,0.1406667,0.1754571,,,-982974.3310658461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-30,0.0805,0.0251,0.09371667,0.3406429,,-973911.011927603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-05-07,0.0652,0.08175,0.13214289999999998,0.2887889,,-964903.5754273783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-05-14,0.1111,0.0974,0.1063143,0.3406429,,-955951.848752124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-05-21,0.0742,0.0177,0.16082860000000002,0.3164571,,-947055.6590887923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-05-28,0.1178,0.10975,0.2084857,0.2887889,,-938214.8336243372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-04,0.1097,0.1407,0.1616143,0.2627,,-929429.1995457113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-11,0.08005,0.06905,0.05854286,0.2627,,-920698.584039867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-18,-0.0286,0.074125,0.2158429,0.2627,,-912022.814293758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-25,-0.0323,0.04215,0.13911429999999994,0.2627,,-903401.7174943369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-02,0.12526669999999998,0.11765,0.1551857,0.2627,,-894835.1208285561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
