,sj_ndvi_ne,sj_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_nw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_relative_humidity_percent,iq_reanalysis_specific_humidity_g_per_kg,iq_station_max_temp_c,iq_station_min_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_precip_mm
2004-06-10,,,,,,,-0.0441,0.1412,299.817142857,299.757142857,296.101428571,301.5,298.0,80.1771428571,17.6,295.57428571400004,296.25,294.99,300.0,293.0,96.8757142857,16.42,32.0,20.9,6.12,30.07,6.12,17.4757142857,2.3142857142900004,28.0428571429,6.34285714286,31.7,23.9,85.28,51.89,85.28,5.04285714286,26.8,8.566666666669999,87.9
2004-06-17,,,,,,,0.07493999999999999,0.1466571,300.037142857,300.135714286,296.588571429,302.5,297.8,81.5614285714,81.5,296.20428571400004,297.321428571,294.705714286,306.0,292.1,92.37142857139999,16.1385714286,33.3,21.5,13.07,20.0,13.07,17.9842857143,3.24285714286,28.3285714286,7.12857142857,33.3,22.8,94.52,24.5,94.52,7.785714285710001,25.9,8.4,43.2
2004-06-24,,,,,,,-0.00385,0.1837714,300.537142857,300.642857143,296.41571428599997,302.5,297.9,78.2971428571,8.9,295.63428571400004,296.814285714,293.86,304.2,289.8,90.44714285709999,15.3128571429,32.1,18.6,41.41,17.0,41.41,17.7942857143,2.85714285714,28.228571428600002,6.27142857143,32.2,23.9,32.95,25.9,32.95,8.4,25.075,9.075,98.5
2004-07-01,,,,,,,0.0083,0.1515714,300.64428571400003,300.678571429,296.55714285700003,302.5,298.4,78.4814285714,67.6,296.151428571,297.585714286,295.041428571,304.4,291.8,94.6685714286,16.5142857143,30.9,21.1,28.37,32.2,28.37,17.9514285714,2.61428571429,28.342857142899998,6.18571428571,32.2,23.3,46.39,50.7,46.39,8.45714285714,25.9,8.15,170.1
2004-07-08,,,,,,,-0.01173333,0.1683286,300.258571429,300.257142857,296.33,301.9,298.6,79.1814285714,76.5,296.61714285700003,298.085714286,294.814285714,305.1,291.8,90.9057142857,16.252857142899998,32.0,21.8,39.05,43.83,39.05,17.7285714286,2.5714285714300003,27.8285714286,6.42857142857,31.1,23.3,83.94,18.67,83.94,9.48571428571,26.55,8.85,43.2
2004-07-15,,,,,,,-0.101,0.1853143,300.575714286,300.671428571,296.797142857,302.4,299.0,79.9957142857,16.0,297.50142857099996,298.935714286,294.358571429,306.9,291.4,85.1585714286,15.86,33.1,20.5,59.15,15.8,59.15,18.252857142899998,2.2,28.2428571429,5.24285714286,31.7,25.0,48.09,24.76,48.09,11.2142857143,26.8,11.7,31.0
2004-07-22,,,,,,,0.08983333,0.1748286,300.401428571,300.4,296.095714286,302.3,298.4,77.4985714286,26.2,296.812857143,298.114285714,294.99714285700003,304.4,291.8,90.92857142860001,16.48,32.1,21.9,23.74,31.21,23.74,17.51,2.68571428571,28.014285714299998,6.52857142857,31.7,23.9,53.78,25.42,53.78,10.2,26.3,8.8,103.1
2004-07-29,,,,,,,-0.05443333,0.1905286,300.234285714,300.285714286,296.82285714299996,302.1,298.5,81.8071428571,44.0,296.017142857,297.292857143,294.471428571,306.1,291.7,92.52714285709999,15.975714285699999,32.9,19.4,40.86,31.51,40.86,18.3071428571,2.5714285714300003,28.0428571429,6.37142857143,31.7,23.9,85.96,27.62,85.96,8.84285714286,24.477827011578896,-9.696697144217325,6.0
2004-08-05,,,,,,,0.0327,0.1741,300.588571429,300.642857143,296.6,302.7,298.4,79.02571428569999,12.8,297.517142857,298.964285714,293.14428571400003,307.4,291.0,79.7185714286,14.694285714300001,34.0,18.3,35.99,24.6,35.99,18.0528571429,2.97142857143,28.528571428600006,6.58571428571,32.2,24.4,29.82,3.9,29.82,12.1571428571,20.76130804631554,-53.636788576869336,55.1
2004-08-12,,,,,,,0.1084,0.1253,300.995714286,301.2,296.4,302.9,299.2,76.1714285714,10.5,296.53,297.635714286,292.222857143,307.2,288.1,79.2357142857,13.8242857143,31.3,20.0,20.92,14.1,20.92,17.8185714286,2.65714285714,28.9428571429,7.22857142857,33.9,24.4,18.44,4.1,18.44,12.1857142857,14.578270115788769,-132.8669714421734,0.5
