,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_ndvi_ne,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,iq_station_precip_mm,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c
1990-04-30,0.1226,0.103725,0.17761670000000002,0.2284143,,,0.1984833,297.57285714299996,297.742857143,292.414285714,299.8,295.9,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,12.42,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,2096282284.6426442,3596549494.667804,636423676.5585082,2096282284.6426442,172123508.46516672,-357096768.89405155,47413224.478123516,31413434.77871182,366516331.2607175
1990-05-07,0.1699,0.142175,0.15548570000000006,0.1824143,,,0.1623571,298.211428571,298.44285714299997,293.951428571,300.9,296.4,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,22.82,17.94,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.6,2084466293.3306694,3576299600.4416866,632839922.9154222,2084466293.3306694,171154200.36226177,-355086906.4534396,47146056.00555408,31236292.07948973,364452228.27004135
1990-05-14,0.03225,0.1729667,0.1708429,0.3886143,,,0.1572,298.781428571,298.87857142900003,295.434285714,300.5,297.3,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,34.54,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.4857142857099985,32.2,22.8,41.4,2072694787.1789534,3556125858.654801,629269648.1741605,2072694787.1789534,170188538.18812943,-353084599.64350915,46879893.065068245,31059816.57940033,362395889.43435395
1990-05-21,0.1286333,0.2450667,0.2358857,0.2410286,,,0.2275571,298.987142857,299.228571429,295.31,301.4,297.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,15.36,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,2060967682.2902834,3536028125.846758,625712826.9391428,2060967682.2902834,169226515.07300383,-351089834.2356695,46614733.760858804,30884007.01959181,360347300.1236463
1990-05-28,0.1962,0.2622,0.24734,0.13225710000000002,,,0.2512,299.518571429,299.664285714,295.821428571,301.9,297.5,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,7.52,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,2049284894.7674441,3516006258.5571647,622169433.8147883,2049284894.7674441,168268124.14711842,-349102596.00133014,46350576.19711852,30708862.141211912,358306445.7079091
1990-06-04,0.1765,0.17485,0.1817429,,,,0.2543143,299.63,299.76428571400004,295.851428571,302.4,298.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,9.58,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,2037646340.713221,3496060113.3256288,618639443.4055156,2037646340.713221,167313358.540707,-347122870.71190006,46087418.478039235,30534380.68540834,356273311.5571327
1990-06-11,0.1129,0.0928,0.2102714,0.2410286,,,0.2050714,299.207142857,299.221428571,295.86571428599996,301.3,297.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,3.48,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,2026051936.2304006,3476189546.691761,615122830.3157449,2026051936.2304006,166362211.38400376,-345150644.13878834,45825258.70781478,30360561.39332927,354247883.0413078
1990-06-18,0.0725,0.0725,0.1330286,0.17874289999999998,,,0.1514714,299.591428571,299.528571429,296.531428571,300.6,298.4,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,151.12,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,2014501597.421768,3456394415.1951685,611619569.1498954,2014501597.421768,165414675.8072424,-343185902.05340445,45564094.990636736,30187403.006122567,352230145.53042525
1990-06-25,0.10245,0.146175,0.1236,0.1824143,,,0.1255714,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,19.32,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,2002995240.3901079,3436674575.3754597,608129634.5123852,2002995240.3901079,164470744.94065636,-341228630.22715735,45303925.43069804,30014904.264935993,350220084.3944752
1990-07-02,0.10245,0.12155,0.2025667,,,,0.16068329999999995,300.154285714,300.278571429,296.651428571,302.3,298.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,14.41,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1,1991532781.2382073,3417029883.772244,604653001.0076337,1991532781.2382073,163530411.91447988,-339278814.43145674,45044748.13219094,29843063.91091744,348217685.0034486
