,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_relative_humidity_percent,iq_reanalysis_specific_humidity_g_per_kg,iq_station_max_temp_c,iq_station_min_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_precip_mm
1990-04-30,0.1226,0.103725,0.17761670000000002,0.17568570000000006,,,,0.1984833,297.57285714299996,297.742857143,292.414285714,299.8,295.9,73.3657142857,16.0,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,12.42,32.0,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,2096282284.6426442,3596549494.667804,2096282284.6426442,-357096768.89405155,47413224.478123516,31413434.77871182,-2842058998.9344835
1990-05-07,0.1699,0.142175,0.15548570000000006,0.3137143,,,,0.1623571,298.211428571,298.44285714299997,293.951428571,300.9,296.4,77.36857142859999,8.6,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,22.82,17.94,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,2084466293.3306694,3576299600.4416866,2084466293.3306694,-355086906.4534396,47146056.00555408,31236292.07948973,-2826072441.0196013
1990-05-14,0.03225,0.1729667,0.1708429,0.2773286,,,,0.1572,298.781428571,298.87857142900003,295.434285714,300.5,297.3,82.0528571429,41.4,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,34.54,26.1,34.54,16.8485714286,2.3,26.714285714299997,6.4857142857099985,32.2,22.8,2072694787.1789534,3556125858.654801,2072694787.1789534,-353084599.64350915,46879893.065068245,31059816.57940033,-2810145945.2067094
1990-05-21,0.1286333,0.2450667,0.2358857,0.3137143,,,,0.2275571,298.987142857,299.228571429,295.31,301.4,297.0,80.3371428571,4.0,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,15.36,13.9,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,2060967682.2902834,3536028125.846758,2060967682.2902834,-351089834.2356695,46614733.760858804,30884007.01959181,-2794279398.4556966
1990-05-28,0.1962,0.2622,0.24734,0.2773286,,,,0.2512,299.518571429,299.664285714,295.821428571,301.9,297.5,80.46,5.8,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,7.52,12.2,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,2049284894.7674441,3516006258.5571647,2049284894.7674441,-349102596.00133014,46350576.19711852,30708862.141211912,-2778472687.726452
1990-06-04,0.0544,0.17485,0.1817429,,,,,0.2543143,299.63,299.76428571400004,295.851428571,302.4,298.1,79.8914285714,39.1,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,9.58,26.49,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,2037646340.713221,3496060113.3256288,2037646340.713221,-347122870.71190006,46087418.478039235,30534380.68540834,-2762725699.9788623
1990-06-11,0.1129,0.0928,0.2102714,0.3137143,,,,0.2050714,299.207142857,299.221428571,295.86571428599996,301.3,297.7,82.0,29.7,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,3.48,38.6,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,2026051936.2304006,3476189546.691761,2026051936.2304006,-345150644.13878834,45825258.70781478,30360561.39332927,-2747038322.1728177
1990-06-18,0.0725,0.0725,0.1330286,0.29818890000000003,,,,0.1514714,299.591428571,299.528571429,296.531428571,300.6,298.4,83.3757142857,21.1,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,151.12,30.0,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,2014501597.421768,3456394415.1951685,2014501597.421768,-343185902.05340445,45564094.990636736,30187403.006122567,-2731410441.2682066
1990-06-25,0.10245,0.146175,0.1236,0.2773286,,,,0.1255714,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,82.7685714286,21.1,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,19.32,37.51,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,2002995240.3901079,3436674575.3754597,2002995240.3901079,-341228630.22715735,45303925.43069804,30014904.264935993,-2715841944.224918
1990-07-02,0.0802,0.12155,0.2025667,,,,,0.16068329999999995,300.154285714,300.278571429,296.651428571,302.3,298.7,81.2814285714,1.1,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,14.41,28.4,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1991532781.2382073,3417029883.772244,1991532781.2382073,-339278814.43145674,45044748.13219094,29843063.91091744,-2700332718.00284
1990-07-09,0.192875,0.08235,0.1529286,0.1658333,,,,0.1919429,299.512857143,299.592857143,296.041428571,301.8,298.0,81.4671428571,63.7,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,22.27,43.72,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,1980114136.0688496,3397460196.9251275,1980114136.0688496,-337336440.4377114,44786561.199308276,29671880.68521478,-2684882649.56186
1990-07-16,0.2916,0.2118,0.2806667,0.3137143,,,,0.3012,299.667142857,299.75,296.33428571400003,302.0,297.3,82.1442857143,12.2,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,59.17,40.9,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,1968739220.984822,3377965371.3737206,1968739220.984822,-335401494.0173304,44529362.73624286,29501353.32897602,-2669491625.861868
1990-07-23,0.15056670000000005,0.1717,0.2145571,0.3137143,,,,0.2269,299.55857142900004,299.635714286,295.96,301.8,297.1,80.7428571429,32.6,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,16.48,42.53,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.35714285714,31.7,22.8,1957407952.088909,3358545263.6576304,1957407952.088909,-333473960.9417232,44273150.84718689,29331480.58334905,-2654159533.862752
1990-07-30,0.2091667,0.24715,0.3813571,,,,,0.3797,299.862857143,299.95,296.172857143,303.0,298.3,80.58428571430001,37.6,296.74,298.45,295.184285714,307.3,293.1,92.4185714286,16.6514285714,32.5,20.7,32.66,34.6,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,1946120245.483897,3339199730.316468,1946120245.483897,-331553826.9822994,44017923.63633281,29162261.189481586,-2638886260.524401
