,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.11594942943934596,0.17305290617612298,0.19880522219739372,0.1907374101715628,16.12999348677951,297.7967930279425,297.9328373356813,293.9585793369102,300.1602123397436,296.0375095867674,26.06470851934523,79.28691276450368,16.12999348677951,16.320731977313663,2.407210352892508,27.152821473558703,7.047132330095988,32.511762677426745,22.69656464629121,20.30429959363553,1045916.0565296325,1394414.9244866257,1011531.2962886894,1909887.161987056,-78987912.79336573,78743695.94254012,74894288.92815349,80681269.44605745,80986646.9927124,75560741.95536794,-520945479.1172138,40723408.26280989,-78987912.79336573,4654823.490108029,-4075634.1056983136,-118593568.023146,-33397250.452795453,10186202.11136349,5559812.706605121,-166841260.24484265
1990-05-07,0.11844298092474012,0.15863524038874804,0.20116132193368824,0.18436798542356359,15.00518146196959,302.8096819549219,302.9574499665147,298.85917854803085,305.1097111392634,301.0849615675597,24.605476826668163,80.38574123875132,15.00518146196959,16.563472244851674,2.385155673877206,27.617393588117174,7.087542494161751,33.02401557858721,23.118481412997895,20.19566914145466,1040032.3875996134,1386568.6804012056,1005840.3839711073,1899140.0038772922,-78544059.28542352,78299579.08248334,74471829.41528226,80226244.20516405,80529851.72889791,75134533.89255369,-518014013.51746124,40493880.47019185,-78544059.28542352,4628559.558178419,-4052735.892510879,-117926103.6400786,-33209278.182567865,10128728.304675775,5528379.948286823,-165903169.64574143
1990-05-14,0.12221227636291539,0.18247046300699532,0.21231014079323207,0.20196074071768122,12.648974979376552,302.8434411729111,302.9994153240261,298.8879523432974,305.1919440324207,301.10452939469053,24.07851404155412,80.36020874003692,12.648974979376552,16.590805463856356,2.443567610080219,27.646445208767716,7.243965063189398,33.07023406598216,23.016200500632948,19.962055696076508,1034170.8253256434,1378751.9250057102,1000170.8565988396,1888433.2385072683,-78101871.64500904,77857135.25282753,74050961.5486972,79772933.01376943,80074777.36198851,74709931.55832432,-515093565.8745666,40265216.75260386,-78101871.64500904,4602394.6047737105,-4029923.6057993956,-117261148.363172,-33022012.55676975,10071471.09424086,5497065.8828953365,-164968602.02563447
1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,1028331.3280990314,1370964.6027818893,994522.6739167963,1877766.789826937,-77661346.74009198,77416361.29640716,73631682.32443316,79321332.63744025,79621420.64429066,74286931.92221345,-512184115.4439861,40037415.48054402,-77661346.74009198,4576328.443037141,-4007197.084040736,-116598697.46748058,-32835452.244655464,10014430.07115867,5465870.285913712,-164037550.75683293
1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.800000000000001,1022513.8543110858,1363206.658211491,988895.7956698881,1867140.5817862488,-77222481.43864194,76977254.05605665,73213988.73852493,78871439.84174311,79169778.32811071,73865531.95375474,-509285641.481176,39810475.024510436,-77222481.43864194,4550360.886111941,-3984556.1657117726,-115938746.22805876,-32649595.915479336,9957604.826529134,5434792.932824987,-163110009.21164772
1990-06-04,0.11163247790788433,0.17485,0.2543143,0.1817429,9.579999999999998,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.579999999999998,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,1016718.3623531158,1355478.035776264,983290.1816030247,1856554.5383351548,-76785272.60862854,76539810.3746104,72797877.78700733,78423251.39224462,78719847.1657551,73445728.62248176,-506398123.2415927,39584393.75500125,-76785272.60862854,4524491.747141343,-3962000.6892893743,-115281289.91996081,-32464442.2384957,9900994.951452175,5403833.599112213,-162185970.76238984
1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.4800000000000004,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.4800000000000004,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,1010944.8106164294,1347778.679957957,977705.791461116,1846008.5834236061,-76349717.11802135,76104027.09490286,72383346.4659152,77976764.05451141,78271623.90953027,73027518.89792818,-503521539.98069215,39359170.04251454,-76349717.11802135,4498720.839268583,-3939530.493250411,-114626323.81824115,-32279989.882958874,9844600.037027722,5372992.0602584295,-161265428.78137037
1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,1005193.1574923355,1340108.5352383181,972142.5849890724,1835502.641001554,-75915811.83479008,75669901.05976845,71970391.77128333,77531974.59411009,77825105.3117426,72610899.7496276,-500655870.9539309,39134802.25754845,-75915811.83479008,4473047.975636891,-3917145.416071753,-113973843.19795409,-32096237.5181232,9788419.674355712,5342268.091746689,-160348376.6409002
1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,999463.3613721433,1332467.5460990968,966600.5219318044,1825036.6350189496,-75483553.62690428,75237429.11204156,71559010.69914652,77088879.77660723,77380288.12469853,72195868.14711365,-497801095.41676515,38911288.77060107,-75483553.62690428,4447472.969389504,-3894845.2962302724,-113323843.33415407,-31913183.813243,9732453.454536058,5311661.469060027,-159434807.7132904
1990-07-02,0.12077363857598616,0.12155,0.16068329999999995,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1000000000000014,993755.3806471614,1324855.6570220413,961079.5620342217,1814610.489425744,-75052939.36233366,74806608.09455667,71149200.2455396,76647476.36756952,76937169.10070448,71782421.05991997,-494957192.6246512,38688627.95217054,-75052939.36233366,4421995.633669653,-3872629.9722028375,-112676319.50189538,-31730827.43757263,9676700.968668697,5281171.967681497,-158524715.370852
1990-07-09,0.192875,0.08235,0.1919429,0.1529286,22.27,299.512857143,299.592857143,296.041428571,301.8,298.0,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,988069.1737086979,1317272.8124889,955579.6650412347,1804224.1281718884,-74623965.90904774,74377434.85014817,70740957.40649737,76207761.13256347,76495744.9920668,71370555.4575801,-492124141.8330452,38466818.17275494,-74623965.90904774,4396615.781620569,-3850499.2824663217,-112031266.97623242,-31549167.06036639,9621161.80785355,5250799.363094137,-157618092.9858959
1990-07-16,0.2916,0.2118,0.3012,0.2806667,59.17,299.667142857,299.75,296.33428571400003,302.0,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,982404.6989480617,1309718.9569814217,950100.790697753,1793877.4752073335,-74196630.13501616,73949906.22165048,70334279.17805468,75769730.83715576,76056012.55109198,70960268.30962776,-489301922.2974033,38245857.80285242,-74196630.13501616,4371333.22638549,-3828453.065497588,-111388681.03221948,-31368201.35087862,9565835.563190551,5220543.430780998,-156714933.93073317
1990-07-23,0.15056670000000005,0.1717,0.2269,0.2145571,16.48,299.55857142900004,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.35714285714,31.7,22.8,32.6,976761.9147565617,1302194.0349813548,944642.8987486869,1783570.4544820301,-73770928.90820856,73524019.051898,69929162.55624628,75333382.24691297,75617968.53008641,70551556.5855965,-486490513.27318174,38025745.212961055,-73770928.90820856,4346147.781107645,-3806491.159773512,-110748556.94491099,-31187928.97836366,9510721.82577962,5190403.946225123,-155815231.57767478
1990-07-30,0.09755141422629812,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.58428571430001,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,971140.7795255069,1294697.9909704481,939205.9489389472,1773302.9899459311,-73346859.09659459,73099770.18372521,69525604.53710704,74898712.12740174,75181609.6813565,70144417.25502002,-483689894.0158372,37806478.773578994,-73346859.09659459,4321059.258930271,-3784613.4037709646,-110110889.98936127,-31008348.61207584,9455820.186720693,5160380.684909557,-154918979.29903182
