,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.1226,0.103725,0.1984833,0.17761670000000002,12.420000000000002,297.57285714299996,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.420000000000002,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,0.2335757,0.17417334,0.18925142,0.24208002,62.396,296.583142857,297.5985714286,295.1174285714,303.9,292.86,44.342,92.40685714285999,62.396,16.67057142854,6.762857142856,27.01,10.636666666666,33.36,20.76,63.739999999999995
1990-05-07,0.1699,0.142175,0.1623571,0.15548570000000006,22.82,298.211428571,298.44285714299997,293.951428571,300.9,296.4,17.939999999999998,77.36857142859999,22.82,15.3728571429,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.599999999999998,0.18135478,0.144000014,0.18046858,0.18583617999999996,79.87,297.7748571432,298.8557142858,296.3320000002,305.91999999999996,293.26,75.27600000000001,92.74657142856,79.87,17.962,7.728571428574,27.24966666666,9.621666666666,33.98,21.82,71.22
1990-05-14,0.03225,0.17296670000000003,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.4857142857099985,32.2,22.8,41.4,0.20375906,0.18892093999999998,0.20580952000000002,0.22249142,43.59400000000001,296.78171428580004,297.8485714284,295.2622857142,305.04,292.74,75.36399999999999,92.39942857142,43.59400000000001,16.86171428572,7.520000000006,26.865,9.81,32.8,20.5,38.78
1990-05-21,0.1286333,0.24506670000000003,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.899999999999999,80.3371428571,15.36,16.6728571429,2.42857142857,27.471428571399997,6.77142857143,33.3,23.3,4.0,0.21139142,0.2229943,0.19521714,0.21712858,45.257999999999996,296.5300000002,297.7728571428,294.381142857,306.06,291.64,31.304,89.52742857142,45.257999999999996,15.92742857144,9.242857142862,26.865,11.35433333334,33.18,19.98,11.959999999999994
1990-05-28,0.19619999999999999,0.2622,0.2512,0.24734,7.520000000000003,299.518571429,299.664285714,295.821428571,301.9,297.5,12.200000000000003,80.46,7.520000000000003,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.800000000000001,0.27316,0.25868478,0.22453142,0.30258288,48.826,297.1634285714,298.24857142860003,294.7242857142,306.62,291.46,39.896,88.44485714286,48.826,16.28142857144,9.788571428577999,26.885,11.41233333332,33.36,19.1,51.8
1990-06-04,0.12964,0.17485,0.2543143,0.1817429,9.579999999999998,299.63,299.76428571400004,295.851428571,302.4,298.1,26.49,79.8914285714,9.579999999999998,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,0.25694494,0.28033278,0.21681314000000002,0.25961286,33.849999999999994,296.4334285716,297.66142857159997,293.734,306.36,291.18,27.254,86.868,33.849999999999994,15.27285714286,10.020000000004,26.45333333332,10.93933333334,32.839999999999996,19.84,25.119999999999997
1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.479999999999997,299.207142857,299.221428571,295.86571428599996,301.3,297.7,38.6,82.0,3.479999999999997,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,0.25366972,0.2459357,0.22694284,0.27171428,33.89,296.4631428572,297.7471428572,294.4334285714,305.38,292.46,32.57600000000001,90.06228571428,33.89,15.99771428572,8.408571428576,26.61666666666,10.184999999994,32.78,20.4,52.76
1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,0.2824057,0.23764952,0.2802886,0.30091142000000004,55.99400000000001,297.0237142856,298.0599999998,294.10142857159997,306.6,290.66,36.576,85.86142857141999,55.99400000000001,15.741999999999999,10.36571428571,27.08,10.79733333332,33.72,20.86,48.86
1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.55714285700003,296.37857142900003,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.385714285710001,33.9,22.8,21.1,0.25767428000000003,0.199842366,0.28759714000000003,0.28777142,57.132000000000005,297.6308571428,298.9571428574,294.3445714286,307.8,291.2,41.942,84.45314285716,57.132000000000005,15.924000000000001,11.217142857146,26.558,11.17466666666,33.48,20.24,21.860000000000007
1990-07-02,0.08617,0.12155,0.16068329999999995,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.5142857142900015,33.9,24.4,1.1000000000000014,0.34088094,0.28381086,0.34298458,0.36597334,65.312,297.63457142880003,298.84857142879997,294.2497142858,308.65999999999997,291.36,44.400000000000006,83.64142857142,65.312,15.772571428560001,10.77714285716,27.145,10.97833333334,34.48,21.52,57.239999999999995
