,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
2004-06-10,-0.26294318,-0.037676796,0.13585328,0.122388765,43.07355,286.8489,291.16254,300.5465,297.15634,297.9996,38.561752,75.50122,48.84649,16.909393,2.4681008,25.9757,6.7856584,31.926668,21.39539,23.523499,0.24691243,0.13190633,0.24494943,0.268574,62.3221,291.33997,304.0929,316.1111,318.2411,310.03046,57.931393,87.5771,62.250324,17.453756,7.968757,25.727022,11.037031,32.955082,21.154404,67.92076
2004-06-17,-0.24116603,-0.04348371,0.13298252,0.12140868,44.834232,286.91968,291.23828,300.60034,297.18707,298.11047,38.506565,75.44804,51.436035,17.026217,2.4653919,26.037794,6.7770147,31.988806,21.479681,23.827188,0.24502146,0.13021643,0.24427411,0.26745474,62.750336,291.33865,304.0906,316.1066,318.23294,310.02542,54.751137,87.54233,62.86187,17.42928,7.9520526,25.682402,10.982513,32.957275,21.13145,65.282394
2004-06-24,-0.2594619,-0.050834525,0.12058569,0.11500682,41.89415,286.96426,291.27542,300.6653,297.1905,298.17773,37.380802,75.568565,48.525887,17.161158,2.4362202,26.081614,6.721502,31.960892,21.571793,24.36802,0.24427937,0.13085021,0.24499367,0.2674226,62.763477,291.3375,304.09238,316.1025,318.22174,310.02408,53.434235,87.5243,62.746586,17.3992,7.773144,25.629433,10.910627,32.95194,21.109934,58.486816
2004-07-01,-0.25895151,-0.049472995,0.117094815,0.11298202,37.10533,286.9791,291.2863,300.70062,297.18958,298.21005,35.47677,75.6837,43.101368,17.249228,2.4139757,26.114542,6.7200193,32.024937,21.566656,24.546816,0.24411169,0.13057753,0.24472424,0.2671538,62.17264,291.3375,304.0991,316.0969,318.22562,310.01822,48.702328,87.51199,62.05783,17.364363,7.7430863,25.569973,10.816927,32.950123,21.090935,51.979576
2004-07-08,-0.22933069,-0.043326702,0.11384674,0.107152745,32.47737,287.00314,291.30554,300.795,297.20392,298.22226,33.94267,76.01189,37.469963,17.42528,2.4138892,26.164843,6.719624,32.10457,21.620316,24.775778,0.24506432,0.13253935,0.24511668,0.26730427,61.406338,291.33664,304.10022,316.09036,318.21594,310.01556,47.83663,87.47828,61.4219,17.325413,7.5838814,25.51101,10.717696,32.95639,21.059805,45.35735
2004-07-15,-0.20325941,-0.03451174,0.11863673,0.10709033,30.082449,287.0193,291.31348,300.82376,297.20056,298.22638,33.64405,76.08926,34.325817,17.49761,2.4184797,26.213766,6.7410026,32.16884,21.628374,24.975529,0.2465268,0.13348116,0.24541683,0.26824328,60.26788,291.3338,304.09726,316.08524,318.2032,310.014,49.11773,87.42479,60.09709,17.287977,7.5690684,25.46295,10.68685,32.949898,21.029762,46.689556
2004-07-22,-0.18066029,0.011257213,0.122299984,0.108773015,28.590881,287.04233,291.3331,300.88818,297.21002,298.24484,33.27918,76.29011,31.92586,17.624561,2.4313147,26.267855,6.7421327,32.2141,21.672861,25.053543,0.24770272,0.13405634,0.24610275,0.26859963,59.19133,291.33212,304.1022,316.08258,318.20294,310.013,47.049053,87.35846,58.896706,17.253902,8.136316,25.432749,10.643616,32.944946,21.01159,44.264675
2004-07-29,-0.18405625,0.0053947903,0.1255836,0.10633652,28.581709,287.08615,291.37177,300.9193,297.2182,298.27432,32.966415,76.24024,31.447454,17.693441,2.4316978,26.311132,6.77121,32.242085,21.69788,25.025656,0.24857754,0.13494226,0.24653918,0.26905015,57.64407,291.32858,304.0977,316.07718,318.1994,310.01132,44.853104,87.28066,56.863907,17.231293,8.602163,25.424114,10.683289,32.93938,21.024227,41.766956
2004-08-05,-0.19051729,0.0022828414,0.12878907,0.10768161,30.88697,287.16333,291.45068,300.9648,297.27298,298.34137,32.667828,76.09476,34.388794,17.780947,2.4624894,26.387957,6.831814,32.352715,21.73097,24.753836,0.2492486,0.13603778,0.24728537,0.26985112,57.671886,291.32953,304.10638,316.0742,318.21857,310.00757,44.81065,87.2169,57.380177,17.208538,9.101091,25.448692,10.753073,32.945717,21.004213,53.971603
2004-08-12,-0.19339831,0.0023757801,0.13014515,0.10782224,34.547302,287.238,291.5238,301.00784,297.32416,298.38605,32.26028,75.9467,39.341896,17.857235,2.4843218,26.51865,6.882457,32.49135,21.823938,23.999186,0.24937785,0.13536026,0.24787195,0.2698828,56.978844,291.33145,304.11215,316.07343,318.24094,310.0024,41.98095,87.09988,56.380676,17.186813,9.531758,25.672253,10.95471,32.9504,21.008518,48.657887
2004-08-19,-0.19351402,0.0041421303,0.1350381,0.110203244,33.8475,287.25058,291.53195,301.0087,297.3253,298.39288,31.877281,75.88872,38.67647,17.860832,2.4745884,26.527725,6.8368387,32.4341,21.872847,23.866278,0.24860221,0.13449337,0.24812369,0.26959768,55.896183,291.33472,304.11612,316.07275,318.25937,310.00278,37.39172,86.91769,55.346527,17.161934,9.840585,25.576757,10.83982,32.95627,21.014612,54.68791
