,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
2006-07-23,-0.17483659,0.035165682,0.10641037,0.15385891,39.992725,283.73013,297.6548,278.47806,286.3462,296.74826,30.54016,75.408905,36.691036,17.733162,2.542691,26.647041,7.2529254,31.742624,24.018282,28.442245,0.26518616,0.22461769,0.1985217,0.23510031,52.6621,303.92368,291.68335,298.85754,304.50043,282.40842,33.88543,87.03017,64.463615,17.03652,11.716405,24.761976,9.550529,30.638832,22.127068,69.99966
2006-07-30,-0.16914576,0.03862309,0.10678204,0.15122966,40.874756,283.75452,297.66724,278.5067,286.3661,296.7736,31.652493,75.44515,37.88001,17.83663,2.538818,26.678028,7.2648687,31.7858,23.954529,28.516926,0.2680311,0.22741644,0.20082988,0.23801556,49.37483,303.92862,291.6871,298.87085,304.50204,282.43066,33.48146,86.91402,60.431267,17.072672,11.787986,24.758806,9.579031,30.650627,22.124588,68.60763
2006-08-06,-0.16404966,0.040183518,0.107056566,0.1477221,40.911648,283.77768,297.67892,278.5353,286.3849,296.79764,32.495583,75.48371,38.08754,17.90414,2.534521,26.703978,7.2742624,31.820765,23.867643,28.59945,0.27097273,0.2313319,0.20326331,0.24117069,46.259476,303.9366,291.69443,298.87827,304.50485,282.4606,34.253895,86.681656,56.65706,17.101877,11.921779,24.756292,9.610038,30.659588,22.117468,64.42277
2006-08-13,-0.16008249,0.040674426,0.10716235,0.14445867,41.3121,283.80048,297.6906,278.565,286.40393,296.82144,33.48763,75.52533,38.852764,17.933926,2.5302858,26.725983,7.2808843,31.848288,23.759298,29.053413,0.2728856,0.23459964,0.20463878,0.24311966,43.95222,303.94678,291.70288,298.88028,304.51093,282.49313,36.925724,86.47289,53.874935,17.137548,12.0874815,24.760998,9.638707,30.670204,22.1035,63.648582
2006-08-20,-0.15721065,0.040365458,0.10668132,0.14220826,42.50661,283.82227,297.702,278.59488,286.42212,296.8446,36.227924,75.56909,40.232746,17.927504,2.5262866,26.743671,7.283165,31.866806,23.636326,29.751503,0.27450618,0.2373127,0.20501986,0.24474186,42.104485,303.9578,291.7125,298.88364,304.5215,282.52548,39.320934,86.26319,51.61169,17.167444,12.25076,24.76314,9.6768055,30.684366,22.084473,63.22576
2006-08-27,-0.15755843,0.039504424,0.10739145,0.1413699,42.8325,283.84244,297.71265,278.62225,286.43826,296.86594,39.003387,75.60768,40.616337,17.88218,2.5225723,26.75755,7.2813253,31.87623,23.518293,30.223436,0.275686,0.23910204,0.20460963,0.24632785,41.177452,303.96967,291.72272,298.88748,304.5355,282.5618,40.893913,86.09612,50.400276,17.204355,12.304154,24.773272,9.702807,30.697256,22.06605,63.266922
2006-09-03,-0.15998405,0.038171846,0.10897812,0.1425601,42.704258,283.86133,297.7228,278.6494,286.45462,296.88574,40.842854,75.64735,40.71961,17.80111,2.519568,26.768774,7.2772856,31.87931,23.404459,30.378769,0.27611724,0.23954035,0.20331068,0.24708633,41.655605,303.98538,291.73584,298.89706,304.5497,282.6051,41.787865,85.98432,50.855145,17.253922,12.264598,24.779835,9.720112,30.714958,22.054722,60.73176
2006-09-10,-0.16279331,0.037184812,0.11077189,0.14472595,42.58202,283.8799,297.73297,278.67645,286.4697,296.90564,41.307693,75.685074,40.784107,17.693481,2.5164435,26.778107,7.269169,31.876097,23.29501,30.275148,0.2759155,0.23945971,0.20148855,0.24788435,43.610947,304.00394,291.7476,298.9139,304.56418,282.65063,42.12658,85.957,53.055813,17.311716,12.16877,24.787773,9.719245,30.730263,22.051823,61.210735
2006-09-17,-0.16492341,0.036158457,0.11195408,0.1468857,41.99946,283.89728,297.74246,278.70062,286.48407,296.9228,40.362404,75.71473,40.285137,17.560865,2.51387,26.785942,7.258953,31.868832,23.202488,29.856289,0.2749754,0.2392595,0.1993838,0.24827552,46.9775,304.02286,291.7564,298.9317,304.5799,282.6872,41.18405,85.880806,56.94877,17.359247,12.17065,24.790842,9.719578,30.742779,22.055449,62.327785
2006-09-24,-0.16585645,0.03444573,0.112444,0.149007,41.541107,283.91376,297.75146,278.72266,286.4972,296.94003,38.4585,75.73731,39.97152,17.405,2.5125976,26.792986,7.2483063,31.860117,23.127161,29.229557,0.27354068,0.23870884,0.19707666,0.24780566,51.697815,304.04156,291.76324,298.9394,304.59555,282.70734,39.47715,85.69401,62.45601,17.375717,12.175524,24.795643,9.723853,30.758764,22.058136,64.91005
