,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1716.7733979668,3006870255.472575,14.767185738038833,0.0,15229.386403571954,126877694.161096,3302.543883772443,1802969770.3948245,18714.30191999144,206461.8416051821,5640.962672818909,569643088.6260148,21884.999567504936,1715581797.6231084,733.2774150929583,243744196.94667816,-2.1283442856689196e+26,0.8937350010780132,4.1111896119969464e+32,-1.572332675898473e+26,-2.8424060680102417e+25,1.5893655698984364e+23
2015-01-09,1788.9084380252198,3241773192.8903837,15.232486776896124,0.0,15834.35909025175,138655752.3617584,3467.958524718425,1913555550.0075223,17839.37970447586,192143.34963632506,5725.559255453356,626605340.2570351,22674.006126235996,1838133000.778681,765.327713664331,262477653.66085997,-1.3878402814337154e+26,0.8710054155144162,2.6758855254254744e+32,-1.0220274088996392e+26,-1.847584136142895e+25,1.0330989109982016e+23
2015-01-16,1837.79065265849,3400834459.1670017,15.411313194887505,0.0,16247.31415690326,149874388.29836094,3582.7392763376515,1980888568.8475041,17263.481383658494,183223.3602830199,5916.332627710433,694767375.6768291,23223.82738093283,1970775250.789401,786.0745087983486,278907408.03462136,-9.127489197798189e+25,0.7939750966602718,1.7549641853592262e+32,-6.6892294641186865e+25,-1.2092546768615076e+25,6.761693096116101e+22
2015-01-23,1870.874627610542,3510143485.1909323,15.454361228285647,0.0,16527.84753878006,164469781.7425099,3662.6847023416785,2024322505.4572382,16872.198617935093,179745.6969974676,6248.443761774039,743134445.2117133,23590.511127751444,2139266005.895898,799.8524605765017,290160754.4690643,-6.08067349444751e+25,0.7478611249032138,1.164304691066435e+32,-4.424319859427383e+25,-7.998125211045856e+24,4.472247993430297e+22
2015-01-30,1889.53566981019,3566305203.1881194,15.553276885739727,0.0,16689.726340162546,165660428.8321543,3707.8404079896827,2058665641.1001644,16582.282969045897,181416.11600040292,6445.145101744585,768273986.1164576,23811.76685637595,2339054472.1645207,807.3456562568067,295508698.5626764,-4.127974951402379e+25,0.6891365655195891,7.856893259956194e+31,-2.9723284235241214e+25,-5.373267678429898e+24,3.0045273059534404e+22
2015-02-06,1892.7083798153997,3588140742.029554,15.91166132537435,0.0,16713.70155710965,160000710.3937251,3714.6662046719616,2069296979.603055,16295.83805410868,181706.66926477168,6549.277177682503,774302106.4123335,23812.584546503727,2555531214.7601624,808.805357863738,303385374.92930925,-2.8777453090441336e+25,0.6767888347321802,5.432144492412306e+31,-2.042259791463485e+25,-3.691923288684589e+24,2.064383350352555e+22
2015-02-13,1888.2040031279353,3545065929.6452637,16.177122970581507,0.0,16666.16395091471,148418024.45423537,3709.487900440421,2035146474.790403,16035.932132832313,180737.25462492512,6594.51796625707,765694233.3072382,23636.963541820867,2954472907.3489866,807.4752854722819,307564968.9812324,-2.0785197834777128e+25,0.6901525350704848,3.881447729922886e+31,-1.4472752080203923e+25,-2.61633170665199e+24,1.4629533692549237e+22
2015-02-20,1882.8257080997212,3384591044.203415,15.745697109635856,0.0,16612.30739944912,126304938.0017527,3706.811474854963,1957863336.3566785,15938.631958811378,172146.86087526943,6609.071825342102,732255797.8311398,23432.029454571377,3415322268.1511297,808.161959576888,302045767.5446742,-1.5688403786226804e+25,0.7377053864693859,2.8918883601368504e+31,-1.0674111479735125e+25,-1.9296272160267726e+24,1.0789742867523385e+22
2015-02-27,1862.920732231091,3201207365.3107924,15.261133772642575,0.0,16421.276851223833,100239139.24007988,3672.1008551145005,1873029157.7401233,15896.333294460652,166870.84491817775,6564.059363650863,696542109.9123468,23390.124842832283,2814962572.1996717,805.3165636710207,291267990.2377075,-1.245039230304617e+25,0.6620484894741543,2.262552331289745e+31,-8.256422761878332e+24,-1.492566205495461e+24,8.345863613600437e+21
2015-03-06,1821.4444034031358,2964474299.1460214,14.874673248395162,0.0,16029.591653511825,75356375.83470786,3589.0083588983466,1776555787.6356578,15853.469891663439,165488.84463133523,6452.307005335484,641195434.591907,23072.802024033655,2452822199.4426374,797.4065326259905,281199448.7608416,-1.040553444281195e+25,0.6174947828093087,1.864437135894637e+31,-6.725123308179972e+24,-1.2157434359981744e+24,6.7979757739473e+21
2015-03-13,1749.8850265504589,2493945700.796815,14.51700458196284,0.0,15379.725952667357,43688497.48833224,3439.2084157931304,1600446762.2838879,15779.76467199496,165553.36728383618,6253.111725247011,540455770.6258112,22435.726750502556,2134907586.5061812,781.3264114629444,262004770.8359583,-9.126438939250839e+24,0.6140602826895626,1.6147120879140984e+31,-5.762661633868608e+24,-1.0417531001599789e+24,5.825087866098579e+21
2015-03-20,1632.6203287185126,1853700782.32487,14.21508413535067,0.0,14335.697100370002,330871.34695769846,3186.2251086225124,1331776155.8049765,15674.841859295022,161502.39498617203,5924.78489212527,394929403.50505334,21363.252268618977,1857696682.0326505,752.7152464006136,232255934.90340292,-8.338678354906607e+24,0.6133884192394916,1.4601917678572801e+31,-5.165138748605563e+24,-9.337350769463923e+23,5.221092086057424e+21
2015-03-27,1443.3537992884008,478942739.05487823,14.144116437406584,0.0,12678.897025594175,-115691873.55835024,2768.9027595533635,707667772.544975,15504.303879341134,158032.74154012365,5393.223957825352,53018112.44788021,19521.37343945115,1517744617.8915992,703.9882064011168,146389015.71591145,-7.866037795590045e+24,0.6492406922533496,1.3667249133609672e+31,-4.8016278418886013e+24,-8.680208917183616e+23,4.853643308661427e+21
2015-04-03,1258.7966359164013,-1305307104.9612842,14.265361494775219,0.0,11072.997780132338,-279118365.43998003,2354.822937083802,-107211037.6682204,15281.203090354473,154257.34724779334,4880.582255502362,-395612339.41722727,17633.386226464754,1140751894.515855,672.2712858974953,48497575.0541583,-7.595361069662553e+24,0.6916767193099935,1.3123814056554354e+31,-4.588054909243309e+24,-8.294119504288133e+23,4.637756765684816e+21
2015-04-10,1424.952376105741,187724443.1707337,13.808416468943955,0.0,12464.098908998898,-155976027.9530984,2710.0881806190696,552604647.8333849,15003.900208445768,149416.3957946698,5387.380677987225,-1995288.0561709702,19295.06262673905,1585202804.4394784,810.2176314492001,282818460.2785083,-7.453979665497119e+24,0.773719123744086,1.28307787751613e+31,-4.4704284375706106e+24,-8.081478628749424e+23,4.518856060350153e+21
2015-04-17,1485.7217377029742,1121287721.084345,13.057673048727295,0.0,12935.051436789401,-76126176.78636299,2828.172611328941,938315243.052599,14614.124443290326,141534.29777791875,5578.271026401308,247396595.3000333,21338.823880491997,2087472342.2710433,939.6703136118675,517801995.4138241,-7.395220706262301e+24,0.7755266796220079,1.2697690728083365e+31,-4.414071786817496e+24,-7.979599116525837e+23,4.4618889046615424e+21
2015-04-24,1566.9219047959127,1806728622.4845908,12.838505450606954,0.0,13585.004840241658,-18248516.003228337,2991.176666995866,1246827826.0741646,13988.646546941825,139111.41162831173,5849.039338151008,432607086.96234834,23798.114539705555,2797539459.958837,1133.6457219076954,806338752.4650099,-7.389102127037696e+24,0.8003649463859238,1.2666445191260426e+31,-4.3967096882721793e+24,-7.948212543560365e+23,4.444338724555312e+21
2015-05-01,1712.346673363943,2363829864.6479053,13.02285550746104,0.0,14835.430753695062,18259006.065104038,3345.605629484602,1525771100.1769342,12919.977783394466,134437.45802698698,6267.09529369953,581005006.1811172,27472.30185594094,3861702480.902526,1434.6705199502526,1215073268.8273263,-7.416358381780445e+24,0.7236122763672171,1.269970675989733e+31,-4.404029333194544e+24,-7.961444732563201e+23,4.4517376623257133e+21
2015-05-08,1804.4755571650298,2692545299.6118097,13.14979528898602,0.0,15617.107927926698,34041696.864581585,3574.210564207053,1695355739.4704587,12030.016471705587,133091.8595485708,6537.547774282657,659091133.7891426,26415.385133206073,3084975967.270039,1233.2300381676982,872648125.8795925,-7.464604564402366e+24,0.6979640297561724,1.277347519820949e+31,-4.4268303074255656e+24,-8.002663508020211e+23,4.4747856368150973e+21
2015-05-15,1862.3037003298127,2902266426.34161,13.329022886270913,0.0,16097.725858243706,45257104.75749135,3716.738969243757,1816447452.9057872,13535.36106307374,141253.7582420535,6715.560994463984,716397217.4551224,25670.05532627839,2597768794.290474,1103.2051580339382,656431057.7204285,-7.525873529017003e+24,0.6720500124617754,1.287231223934249e+31,-4.459194667110394e+24,-8.061170625353147e+23,4.507500595782139e+21
2015-05-22,1899.2957338593646,3070458645.364945,13.531493224973735,0.0,16398.244242345987,53038426.53098136,3807.0377592566883,1909139481.7660837,14525.553101720234,143554.7670211987,6831.167775292242,767923282.9589632,25094.49380153984,2277498303.2647305,1020.3222791138473,523083700.67218935,-7.595034563908727e+24,0.649255442861203,1.2986276886416097e+31,-4.497312010628499e+24,-8.130077778510576e+23,4.5460308599766537e+21
2015-05-29,1925.8501062348487,3195948215.371025,13.667635550235685,0.0,16609.59481059366,54705562.65768696,3875.0836560582,1988763645.8178427,15196.261836770052,145619.2125153641,6895.8781749833215,804242560.3716397,24604.445285880858,2110992000.75841,967.3772657622446,441161804.9123056,-7.668778079568585e+24,0.6231897332400613,1.3108957680850879e+31,-4.538725100076494e+24,-8.204942861801215e+23,4.5878925725267835e+21
2015-06-05,1945.4689141093104,3413963111.9721317,13.992631610913582,0.0,16758.33994581802,65259830.9836434,3929.0149054280887,2144945998.3596466,15705.42817584244,150412.43537937175,6919.9364878482775,854177720.8678601,24099.217192776123,2053775304.1319027,933.9776477167004,397622802.2669166,-7.744963714210262e+24,0.5985298611912917,1.3236209294411478e+31,-4.5818455026910456e+24,-8.282894364002022e+23,4.6314800933652377e+21
2015-06-12,1964.9341504881688,3618291219.1163726,14.399467980154398,0.0,16925.360154210437,72857053.25055793,3981.0823549674706,2336664824.5740147,16182.922781153527,154408.40123412217,6919.426447007442,914411546.2724175,23476.81100544335,1991755606.5663633,915.5807471356666,381425197.7171905,-7.822201776615408e+24,0.5503509301182278,1.336534134217711e+31,-4.625642602347015e+24,-8.362069174607644e+23,4.675751641824184e+21
2015-06-19,1981.4163617294373,3891562483.6404886,14.92211082443357,0.0,17055.380541299957,76630759.16321693,4036.8244252177465,2550859592.832721,16697.75960132725,157466.5314454475,6893.636499565662,993019811.2253963,23929.064418257873,2023669832.5736783,908.90746982453,389842900.53279495,-7.899584506582313e+24,0.4762541765745706,1.3494597550521925e+31,-4.6694439258392996e+24,-8.441251620911952e+23,4.72002745987576e+21
2015-06-26,1999.7715583724107,4051383385.206209,15.613807635266705,0.0,17194.742737591274,44780805.70465244,4110.245903550737,2748248349.60526,17391.20094487067,159343.2834385991,6848.262499561981,989266431.7149137,24291.95353140081,2055757683.3787127,913.7125755398956,406335322.7583653,-7.976513527932421e+24,0.4219488882158018,1.3622821351726754e+31,-4.7128069404270926e+24,-8.519641708252917e+23,4.763860220874257e+21
2015-07-03,2025.2711453743898,3894454264.461557,16.219756500998574,0.0,17397.45155829665,-21183227.59823899,4210.869601152355,2802746594.6833124,18439.048565620637,156997.98089909359,6769.115366140095,850664159.3209531,24628.304087891793,2029423627.678161,931.8330474466297,414337696.539399,-8.052589063348679e+24,0.37578079484379384,1.3749241176514686e+31,-4.755436740540876e+24,-8.596706317020972e+23,4.806951824573109e+21
2015-07-10,2046.4713315251972,3723865344.4872303,15.8098221183775,0.0,17497.736679314366,22474603.889102474,4318.6699799542785,2447926590.842583,19066.41179085808,156890.12774137707,6726.269182211365,792311757.7509782,24676.175776954704,2031047918.786389,947.5020127447284,442617208.25311387,-8.127538804271709e+24,0.28880897751894585,1.387333260028399e+31,-4.797133198239118e+24,-8.672083663172411e+23,4.849099975068609e+21
2015-07-17,2061.577729953239,3684844537.0151143,15.194977279231713,0.0,17545.169760273657,53538813.12437831,4406.073487644117,2264382534.1584635,19550.47219848315,149558.861324781,6693.664205254228,752488226.728854,24677.695788649617,1792587266.5502505,960.1215797361815,422357816.33667696,-8.20117224197091e+24,0.2596695248163768,1.3994729834599055e+31,-4.837757031411237e+24,-8.745521957551132e+23,4.890163881422742e+21
2015-07-24,2063.604469623312,3710078424.6637406,15.228475317504396,0.0,17484.039022445904,74066669.29207097,4442.242266952566,2162652161.295921,19813.630957305744,148520.14108625174,6644.464385654165,746285765.8377483,24530.40296121259,1656705182.0569048,963.8377195702687,418380407.87435895,-8.273351346351927e+24,0.18255444025507317,1.4113168901493742e+31,-4.877208018358777e+24,-8.816840023000822e+23,4.930042236247959e+21
2015-07-31,2062.3562705180257,3703156064.5251856,15.559039013686775,0.0,17405.74908920212,88762658.29893102,4455.245987571005,2092454653.5264168,19929.691923386003,155046.5417108917,6607.917989272371,760352762.8362489,24262.279962391727,1625264612.384357,962.7569338635236,429216714.07394946,-8.343971740998861e+24,0.14206782189511327,1.4228451149985474e+31,-4.91541101104721e+24,-8.88590200962688e+23,4.968659077440012e+21
2015-08-07,2052.7493874068477,3700437661.83286,16.57661714249292,0.0,17270.4401052848,100029655.80287051,4441.379981986464,2055387879.7038653,19913.68877593388,157501.25174947805,6553.442679272129,734776047.9583757,23918.289928655176,1646174707.5728974,956.592782052496,436659698.0616074,-8.412950617682618e+24,0.1301300474585219,1.4340419834183184e+31,-4.952306955874141e+24,-8.95260116246471e+23,5.005954711675917e+21
2015-08-14,2038.1234698400854,3717187846.7537847,18.230288477514755,0.0,17114.42983079084,114979915.08409292,4411.650541848903,2027658982.4167645,19734.582570101455,162053.60852488442,6465.737096295611,737015105.6309983,23446.579015615018,1774975273.3512118,942.0226455838881,436155549.2115531,-8.480218977918514e+24,0.14435815249501766,1.4448945077356014e+31,-4.98784712937679e+24,-9.016849401002238e+23,5.041879887676363e+21
2015-08-21,2012.76926221349,3918087181.5023727,20.962031023673607,0.0,16885.811896880998,136533015.95626456,4358.0017149199475,2107875432.1065922,19397.669843224772,171131.81973069735,6360.8662337075075,771112339.3622215,22865.327247364497,2019132440.4804935,923.7398413044951,456131893.40766615,-8.545716652820305e+24,0.18759033236992606,1.4553914220475764e+31,-5.021989438204118e+24,-9.07857063040503e+23,5.076392056099072e+21
2015-08-28,1995.7587807825957,3898730301.620053,22.277175074275263,0.0,16742.509112469073,140382189.6788479,4336.425657725766,2055882854.331931,19052.446807753335,176448.04249302106,6290.507017351569,797949714.6684842,22374.835313847743,2168880507.172518,910.9004590769406,470010000.64705384,-8.609389106959525e+24,0.2684522787700226,1.4655225628357668e+31,-5.054696044666491e+24,-9.137696449067565e+23,5.109452969362623e+21
2015-09-04,1980.1050053208576,3869074929.4248114,22.834127858476222,0.0,16619.3038831675,145970511.72759968,4316.257205225761,2027696457.8868551,18689.94112085834,176003.23918677523,6228.5891352335,810566760.8371491,22036.689353425296,2150348284.1161714,899.3338461111697,503957630.8657461,-8.671185387556531e+24,0.3070854696976164,1.4752784715399885e+31,-5.085931843198765e+24,-9.194163394420449e+23,5.141027141607821e+21
2015-09-11,1976.216362507836,3979594012.429874,22.39406142220604,0.0,16599.756084719025,155317406.44982874,4322.35799564467,2090052690.491838,18506.646388345966,176528.07780240048,6203.762630296562,836612229.477966,21937.78551790357,2137526680.696386,892.6827507443811,545787343.8945057,-8.731056809112481e+24,0.31319777392479753,1.4846501396673514e+31,-5.115663483267462e+24,-9.247911176578041e+23,5.171080861018688e+21
2015-09-18,1975.3544702075826,4242045295.0760546,21.78910739447763,0.0,16613.854392493566,174816019.44925708,4328.2537297407625,2233103922.228794,18371.598799154675,172047.6618054105,6196.102902826068,912992213.1308432,21925.671427781817,2077719504.1078246,889.2932354450563,589957455.6071639,-8.788956110384218e+24,0.2900078274239895,1.4936288454470893e+31,-5.143858743250024e+24,-9.298881546457198e+23,5.19958155691931e+21
2015-09-25,1977.9542868939943,4148313880.9834566,21.082550521563217,0.0,16674.13955586966,160949026.73549354,4335.003145103977,2168228277.3311143,18296.665935216042,167567.4519482081,6206.829383513896,870251993.4747032,21914.668750143264,2022367334.788046,888.5521359647262,600177335.7444048,-8.844836914550452e+24,0.23288743122603117,1.502206049238271e+31,-5.170486129542975e+24,-9.34701757106271e+23,5.226497394540179e+21
2015-10-02,1989.8751765423776,4139540275.998117,19.865435098894018,0.0,16806.64822128116,153126672.48064706,4363.783767829048,2126788378.7567756,18304.8489863313,159633.57361328244,6237.110603391415,833984995.1595068,22049.49786911601,2025581432.816368,892.3746001026568,650647110.3206861,-8.898653384060211e+24,0.22243107387778666,1.5103733266686534e+31,-5.195514620317167e+24,-9.392263170254803e+23,5.251797015996502e+21
2015-10-09,2009.4951079209188,4082647265.2570763,18.43086859866658,0.0,17006.310039450662,148572568.63198036,4411.8054495116285,2073961273.4438145,18428.870133331424,158561.93022415173,6288.797228314824,792098282.2896906,22293.13816837022,2001559619.4850926,902.6844509699425,626026532.8681042,-8.950360000745638e+24,0.2565514432906776,1.5181223260549278e+31,-5.218913502376639e+24,-9.434562821829882e+23,5.275449375379711e+21
2015-10-16,2028.0269601871173,4100610111.1066895,17.26455079553665,0.0,17190.576786431207,153005896.32021275,4468.1484004018375,2075014183.5574343,18550.795180704845,152199.48310470761,6314.97501367619,759564499.8164812,22503.702249969618,1897094980.6064496,912.5767540215629,574668955.868149,-8.999911426061145e+24,0.3420561080078708,1.525444741341057e+31,-5.240652267482097e+24,-9.47386137409778e+23,5.297423633956766e+21
2015-10-23,2045.5278330152432,4219309103.537837,16.53973481169882,0.0,17369.949280764915,158882311.73550737,4530.342623443079,2119953928.8899984,18724.340499633217,150355.75408720825,6328.514884757058,760458736.8202602,22601.52594792773,1787483328.468668,923.3146411690487,537142431.6366177,-9.047262413123026e+24,0.3100196846138994,1.532332295084268e+31,-5.260700547210342e+24,-9.510103928124065e+23,5.317689094329659e+21
2015-10-30,2057.085463365325,4359834683.791802,16.229792565583324,0.0,17494.106547585056,164932983.2973312,4573.71556506977,2153158537.264513,18877.45899369241,149083.01573409914,6318.907425560685,763517536.1042974,22589.24051849387,1736294601.6599178,929.4224708477977,483582570.29875374,-9.092367751783088e+24,0.3400350120055035,1.5387767278330697e+31,-5.279028072305327e+24,-9.543235764241428e+23,5.336215159337128e+21
2015-11-06,2064.1670476120944,4520685111.634792,16.15089781493397,0.0,17584.481515829255,174133539.8476983,4601.982598016653,2213629184.3056226,18989.163671876835,141227.7189169497,6300.842146154577,775990786.2247672,22566.79114276644,1724958909.9674459,933.0340870342359,413343833.13912797,-9.135182235163083e+24,0.3480972384429039,1.5447697916709508e+31,-5.295604647997699e+24,-9.57320229744181e+23,5.35297130711406e+21
2015-11-13,2064.2209288861163,4711397703.994351,16.435307550928826,0.0,17609.77933199971,196679653.32993275,4609.113437619768,2303426839.798758,19045.262394001515,137361.4120980715,6272.18200702706,801321891.7750016,22484.267427647017,1779643569.8356733,931.7635326351356,370982586.56737846,-9.175660639869548e+24,0.4258076541933397,1.5503032464038413e+31,-5.310400139459627e+24,-9.599949051074711e+23,5.367927076386324e+21
2015-11-20,2072.491662710344,4988083428.992071,15.989868810113833,0.0,17708.08225184641,231633001.0394966,4637.554334490569,2453546666.219401,18990.707409635623,133152.76906151083,6274.31237212476,850565677.8775517,22419.4573246036,1789770061.2815216,931.173990900435,357537521.2930534,-9.213757715146574e+24,0.49467884431291886,1.5553688574855452e+31,-5.323384463918835e+24,-9.623421642593397e+23,5.381052058497433e+21
2015-11-27,2077.4075466116014,5475780505.236202,15.647640509897586,0.0,17783.326404623276,282268881.5296724,4656.147638231649,2740826022.7983804,18758.05231139799,133641.45056595857,6264.409147793451,908139459.025732,22287.741634727412,1911662693.093266,926.3633123978282,370014902.60375667,-9.249428177655601e+24,0.38046658902434494,1.5599583950249025e+31,-5.334527586912563e+24,-9.643565776783966e+23,5.392315893625752e+21
2015-12-04,2079.764418936712,6764323142.471397,15.41033922127342,0.0,17852.636066269697,372810579.3296311,4669.789781525973,3419556035.3037767,18300.062583189,137944.92930002452,6232.3844330004595,1052901219.2699709,22200.131256171175,1994246645.6836305,914.8168066911021,424387170.05610454,-9.282626710096902e+24,0.3423592687250996,1.5640636335421768e+31,-5.343799521415932e+24,-9.660327244186863e+23,5.401688269899465e+21
