,vix_Volume,infectious_daily_infect_emv_index,GPR,trade_Trade Policy EMV Fraction,ftse_Volume,hsi_Close,hsi_Volume,sp500_Volume,Overall EMV Tracker,sp500_Close,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,n100_Close,n100_Volume,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2000-01-07,0.0,0.0,85.2519957605134,0.03357314148681055,888306000.0,15405.629883,0.0,1225200000.0,6.501232341298292,1441.469971,21.719999,11522.55957,184900000.0,3529.600098,1634930000.0,18193.410156,0.0,6504.799805,943.880005,0.0,57.44699448564817,157.73398022709094
2000-01-14,0.0,0.0,85.2519957605134,0.03357314148681055,1098626000.0,15542.230469,0.0,1085900000.0,13.197805545520929,1465.150024,19.66,11722.980469,266830000.0,3704.73999,1656630000.0,18956.550781,0.0,6658.200195,973.859985,0.0,62.929141054216785,143.0115717593081
2000-01-21,0.0,0.0,85.2519957605134,0.03357314148681055,1007934000.0,15108.410156,0.0,1209800000.0,19.15752470215451,1441.359985,20.82,11251.709961,205840000.0,3849.959961,1923680000.0,18878.089844,0.0,6346.299805,951.51001,0.0,67.74093018645792,129.64424836820567
2000-01-28,0.0,0.0,85.2519957605134,0.03357314148681055,918227000.0,16185.94043,0.0,1095800000.0,24.412899017333984,1360.160034,26.139999,10738.870117,183090000.0,3446.129883,1616370000.0,19434.779297,0.0,6375.600098,948.210022,0.0,71.91424718351676,117.57714600754619
2000-02-04,0.0,0.75,85.2519957605134,0.03357314148681055,2309287000.0,16185.94043,0.0,1045100000.0,28.996437697194285,1424.369995,21.540001,10963.799805,166590000.0,3874.370117,1751450000.0,19763.130859,0.0,6185.0,1010.429993,0.0,75.48097734653851,106.75540063109234
2000-02-11,0.0,0.74,85.2519957605134,0.03357314148681055,3433671000.0,17380.300781,0.0,1025700000.0,32.94064994787034,1387.119995,24.42,10425.209961,193540000.0,3968.889893,1738590000.0,19819.974751886544,3.502634025996056e-61,6193.299805,1014.169983,0.0,78.4730059766683,97.12414819260674
2000-02-18,0.0,0.0,85.2519957605134,0.03357314148681055,1098726000.0,16599.160156,0.0,1042300000.0,36.27804497549711,1346.089966,26.0,10219.519531,208930000.0,3965.75,1898410000.0,19789.029297,0.0,6165.0,992.530029,0.0,80.92221837505134,88.62852464585195
2000-02-25,0.0,0.0,85.2519957605134,0.03357314148681055,1181230000.0,17200.980469,0.0,1065200000.0,39.041131986209535,1333.359985,25.200001,9862.120117,195240000.0,4178.580078,1825500000.0,19817.880859,0.0,6198.0,1004.719971,0.0,82.86049984283288,81.21366594459073
2000-03-03,0.0,0.0,85.2519957605134,0.03357314148681055,1107792000.0,17285.240234,0.0,1150300000.0,41.26242018614253,1409.170044,19.209999,10367.200195,210460000.0,4442.870117,2136530000.0,19927.539063,0.0,6487.5,1042.400024,0.0,84.31973568115801,74.82470804258561
2000-03-10,0.0,0.0,85.2519957605134,0.03357314148681055,1005534000.0,17831.859375,0.0,1138800000.0,42.97441878143105,1395.069946,21.24,9928.820313,197440000.0,4587.160156,1992170000.0,19750.400391,0.0,6568.700195,1045.27002,0.0,85.33181119117197,69.40678689359926
2000-03-17,0.0,0.0,85.2519957605134,0.03357314148681055,1309177000.0,17082.990234,0.0,1295100000.0,44.20963697821003,1464.469971,22.370001,10595.230469,247830000.0,4440.450195,1691530000.0,19566.320313,0.0,6558.0,1022.119995,0.0,85.92861167401992,64.90503845139429
2000-03-24,0.0,0.0,85.2519957605134,0.03357314148681055,1088155000.0,17784.570313,0.0,1052200000.0,45.000583982614415,1527.459961,23.309999,11112.719727,217140000.0,4691.6098630000015,1688970000.0,19958.080078,0.0,6738.5,1029.660034,0.0,86.14202243084704,61.26459866973337
2000-03-31,0.0,0.76,85.2519957605134,0.03357314148681055,1019644000.0,17406.539063,0.0,1227400000.0,45.37976900077914,1498.579956,24.110001,10921.919922,179590000.0,4397.839844,2118100000.0,20337.320313,0.0,6540.200195,1021.219971,0.0,86.00392876279855,58.43060350237908
2000-04-07,0.0,0.0,85.2519957605134,0.03357314148681055,857438000.0,16941.679688,0.0,891600000.0,45.379701238839154,1516.349976,24.389999,11111.480469,156500000.0,4291.529785,1563430000.0,20252.810547,0.0,6569.899902,1029.969971,0.0,85.54621597101962,56.34818890309409
2000-04-14,0.0,1.48,85.2519957605134,0.03357314148681055,996451000.0,16142.759766,0.0,1279700000.0,45.032889902929384,1356.560059,33.490002000000004,10305.769531,267580000.0,3207.959961,2555780000.0,20434.679688,0.0,6178.100098,995.369995,0.0,84.80076935665542,54.962490825641005
2000-04-21,0.0,1.54,85.2519957605134,0.03357314148681055,996451000.0,16142.759766,0.0,1300444858.9736385,44.37184419918477,1367.3882772163813,31.66056926599788,10342.314722146471,256280129.2601193,3227.7032637883894,2448935864.1849523,18252.679688,0.0,6179.211055489927,1011.72998,0.0,83.79947422085114,54.21864522378246
2000-04-28,0.0,0.0,85.2519957605134,0.033755274261603366,882175000.0,15519.299805,0.0,984600000.0,43.42907333374024,1452.430054,26.200001,10733.910156,173520000.0,3773.179932,1583710000.0,17973.699219,0.0,6327.399902,1042.609985,0.0,82.57421586475193,54.06178805128107
2000-05-05,0.0,5.82,85.2519957605134,0.033755274261603366,845274000.0,15268.639647999997,0.0,805500000.0,42.237086512730784,1432.630005,27.530001,10577.860352,138300000.0,3688.360107,1197290000.0,17798.982693930153,-7.64633414196558e-55,6238.799805,1062.689941,0.0,81.15687958950308,54.43705526189953
2000-05-12,0.0,0.72,85.2519957605134,0.033755274261603366,870252000.0,15111.94043,0.0,858200000.0,40.82839294229129,1420.959961,26.049999,10609.370117,137770000.0,3406.25,1220040000.0,17357.859375,0.0,6283.5,1060.589966,0.0,79.57935069624968,55.2895828094004
2000-05-19,0.0,0.72,85.2519957605134,0.033755274261603366,937082000.0,14478.259766,0.0,853700000.0,39.2355018285567,1406.949951,25.440001,10626.849609,188270000.0,3260.639893,1366930000.0,16858.169922,0.0,6045.399902,1033.619995,0.0,77.87351448613695,56.56450664754635
2000-05-26,0.0,0.0,85.2519957605134,0.033755274261603366,778243000.0,13722.700195,0.0,722600000.0,37.49092237766199,1378.02002,24.469999,10299.240234,129200000.0,3101.439941,1069440000.0,16008.139647999997,0.0,6216.899902,1013.340027,0.0,76.0712562603101,58.206962730099995
2000-06-02,0.0,0.0,85.2519957605134,0.033755274261603366,1324934000.0,15284.099609,0.0,1162400000.0,35.62716379574205,1477.26001,21.48,10794.759766,200900000.0,3755.669922,1903210000.0,16800.060547,0.0,6626.399902,1086.329956,0.0,74.20446131991424,60.162087010823946
2000-06-09,0.0,0.0,85.2519957605134,0.033755274261603366,661766000.0,16120.259766,0.0,786000000.0,33.676735288931866,1456.949951,22.139999,10614.05957,136750000.0,3760.26001,1268720000.0,16861.910156,0.0,6443.799805,1073.290039,0.0,72.30501496609462,62.37501544348086
2000-06-16,0.0,0.71,85.2519957605134,0.033755274261603366,810817000.0,16434.380859,0.0,1250800000.0,31.672146063366338,1464.459961,20.5,10449.299805,233100000.0,3787.360107,1501190000.0,16318.30957,0.0,6526.0,1068.609985,0.0,70.40480249999638,64.79088398183336
2000-06-23,0.0,0.0,85.2519957605134,0.033755274261603366,818585000.0,15738.080078,0.0,847600000.0,29.645905325180422,1441.47998,22.34,10404.75,142390000.0,3685.300049,1344960000.0,16963.210938,0.0,6391.5,1078.400024,0.0,68.53570922276477,67.35482857964409
2000-06-30,0.0,1.62,85.2519957605134,0.033755274261603366,925225000.0,16155.780272999997,0.0,1459700000.0,27.630522280509073,1454.599976,19.540001,10447.889648,224060000.0,3763.790039,2066390000.0,17411.050781,0.0,6312.700195,1064.060059,0.0,66.72962043554489,70.01198519067566
2000-07-07,0.0,0.0,85.2519957605134,0.033755274261603366,793281000.0,16829.960938,0.0,931700000.0,25.65850613548721,1478.900024,19.219999,10635.980469,158820000.0,3841.27002,1486480000.0,17398.240234,0.0,6497.5,1079.359985,0.0,65.01842143948198,72.70748976869072
2000-07-14,0.0,0.0,85.2519957605134,0.033755274261603366,826063000.0,17586.160156,0.0,960600000.0,23.762366096249774,1509.97998,19.32,10812.75,150970000.0,4041.149902,1678610000.0,17142.900391,0.0,6475.399902,1088.099976,0.0,63.43399753572123,75.38647826745186
2000-07-21,0.0,0.0,85.2519957605134,0.033755274261603366,698153000.0,17920.859375,0.0,968300000.0,21.974611368931722,1480.189941,18.940001,10733.55957,170710000.0,3908.75,1545940000.0,16811.490234,0.0,6378.399902,1072.969971,0.0,62.008234025407816,77.99408664072175
2000-07-28,0.0,0.0,85.2519957605134,0.03260869565217391,947097000.0,17183.929688,0.0,980000000.0,20.32775115966797,1419.890015,20.84,10511.169922,174720000.0,3477.310059000001,1769410000.0,15838.570313,0.0,6335.700195,1062.339966,0.0,60.7730162096869,80.47545084226302
2000-08-04,0.0,0.78,85.2519957605134,0.03260869565217391,726236000.0,17425.699219,0.0,956000000.0,18.84797326008767,1462.930054,18.620001,10767.75,150750000.0,3618.629883,1438850000.0,15667.360352000003,0.0,6363.5,1073.109985,0.0,59.75378006840224,82.78568826374155
2000-08-11,0.0,0.78,85.2519957605134,0.03260869565217391,893911000.0,17214.419922,0.0,835500000.0,17.536179803796774,1471.839966,18.549999,11027.799805,155120000.0,3644.610107,1333260000.0,16117.5,0.0,6384.5,1093.0,0.0,58.950164296191794,84.91984204843638
2000-08-18,0.0,0.77,85.2519957605134,0.03260869565217391,804673000.0,17440.0,0.0,821400000.0,16.386951509895418,1491.719971,17.049999,11046.480469,164870000.0,3807.51001,1447920000.0,16280.490234,0.0,6543.700195,1110.699951,0.0,58.355358266392045,86.88293677752978
2000-08-25,0.0,0.0,85.2519957605134,0.03260869565217391,864787000.0,17236.740234,0.0,685600000.0,15.394869097483754,1506.449951,16.530001000000002,11192.629883,127920000.0,3931.25,1285820000.0,16911.330078,0.0,6563.700195,1108.849976,0.0,57.96255135233953,88.6799970322041
2000-09-01,0.0,1.1,35.401947097105186,0.03260869565217391,1315938000.0,17333.609375,0.0,767700000.0,14.554513285661939,1520.77002,17.530001000000002,11238.780273,125140000.0,4099.299805,1472940000.0,16739.779297,0.0,6795.0,1134.329956,0.0,57.76493292737073,90.31604739364154
2000-09-08,0.0,0.0,85.2519957605134,0.03260869565217391,924099000.0,17275.449219,0.0,961000000.0,13.860464793530104,1494.5,18.459999,11220.650391,181620000.0,3813.439941,1508550000.0,16501.550781,0.0,6600.700195,1118.790039,0.0,57.75569236482216,91.79611244302446
