,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2045.8999,3620429300.0,14.752602,-0.0025411844,16731.502,120123580.0,3977.0093,1783182000.0,15471.442,161482.53,6491.001,836122200.0,22125.783,1703998800.0,787.8355,374725280.0,-0.27676764,0.5776539,0.22969055,1.2463512,7.204493,-0.9715979
2015-01-09,2056.112,3641138700.0,15.279101,-0.0022765994,16821.273,121568360.0,3995.3655,1780178600.0,15479.053,155603.56,6382.1904,791642900.0,21867.387,1727072500.0,781.4654,375646820.0,-0.25210977,0.58740187,0.3478601,1.2243403,7.210669,-0.97249395
2015-01-16,2066.0017,3649909000.0,15.669522,-0.0020540357,16908.562,122909850.0,4011.1155,1775239700.0,15342.542,148016.77,6259.3643,742687940.0,21575.621,1737852800.0,773.2535,373962180.0,-0.21857026,0.5907803,0.4588215,1.1994306,7.257653,-0.9717756
2015-01-23,2075.1528,3649683700.0,16.272247,-0.0018680692,16990.457,124130190.0,4021.287,1768754300.0,15125.941,141524.16,6150.403,707259400.0,21311.55,1739585000.0,764.857,373044350.0,-0.18316881,0.58942705,0.5628018,1.1761223,7.3285313,-0.970226
2015-01-30,2083.523,3646962700.0,16.629906,-0.0017132163,17066.166,125022120.0,4026.0022,1761104300.0,14901.04,137159.69,6075.341,693091460.0,21118.25,1738196500.0,757.8497,376721100.0,-0.15112859,0.5847995,0.6600647,1.1573504,7.408669,-0.9684187
2015-02-06,2095.9812,3655712500.0,17.020758,-0.00095278025,17170.145,125782216.0,4031.1982,1756053000.0,14724.241,135630.25,6041.2954,698108860.0,21013.148,1733177200.0,753.3044,383333660.0,-0.12555693,0.5778789,0.750903,1.1444893,7.4873805,-0.96670574
2015-02-13,2100.799,3667453200.0,17.145817,-0.00095278025,17215.996,126389100.0,4025.713,1751223600.0,14626.87,136257.7,6046.9243,710880700.0,20996.238,1723103700.0,751.7852,390270430.0,-0.107687026,0.56896424,0.83562,1.1376734,7.558052,-0.96525705
2015-02-20,2105.1035,3683011000.0,16.713636,-0.00095278025,17256.639,126669944.0,4017.5078,1747850900.0,14620.707,138569.08,6085.0957,725564000.0,21054.951,1706965200.0,753.46625,397489280.0,-0.09736103,0.5582772,0.91452783,1.1362149,7.6174836,-0.96411574
2015-02-27,2109.262,3697921000.0,15.877744,-0.00095278025,17294.889,126562840.0,4011.3735,1745831000.0,14704.2295,141504.52,6146.5,740382600.0,21021.299,1676776200.0,758.20404,404230100.0,-0.093552366,0.54655796,0.98793346,1.1389887,7.664959,-0.96324974
2015-03-06,2113.673,3706975500.0,14.881693,-0.00095278025,17333.24,126080830.0,4010.879,1744763400.0,14868.256,144877.5,6221.8853,758540860.0,20915.316,1636399700.0,765.70386,409044830.0,-0.094814144,0.534052,2.0535688,1.1447374,7.7013197,-0.96259177
2015-03-13,2118.1514,3714588200.0,14.149527,-0.00095278025,17370.564,125310760.0,4016.7795,1744811800.0,15097.075,147950.95,6302.765,776326850.0,20788.814,1592884900.0,775.53925,411487070.0,-0.09961314,0.5212658,2.0535688,1.1522721,7.7282233,-0.9620664
2015-03-20,2122.5117,3718496800.0,13.890773,-0.00095278025,17406.242,124383330.0,4026.9404,1745442300.0,15373.839,152077.62,6380.9595,789221100.0,20685.105,1551458800.0,787.19275,411396380.0,-0.10654541,0.50878775,2.0535688,1.1605896,7.747598,-0.96160597
2015-03-27,2126.79,3732086800.0,13.75433,-0.00095278025,17440.197,124493256.0,4040.8662,1748427900.0,15681.622,155829.64,6453.6016,820029900.0,20634.111,1518080100.0,800.1329,413749100.0,-0.11445221,0.49776202,2.0535688,1.1689174,7.7613063,-0.9611576
2015-04-03,2130.932,3748306400.0,13.750497,-0.00095278025,17472.365,125701680.0,4056.1235,1752891300.0,16000.565,158969.88,6518.06,854594600.0,20648.576,1493848200.0,813.74243,416280320.0,-0.122460306,0.4883704,2.0535688,1.1767172,7.7709455,-0.9606854
2015-04-10,2126.717,3740618200.0,12.506701,-0.001230061,17444.205,127063340.0,4010.6533,1754409900.0,16313.9795,160017.52,6509.718,855127600.0,20576.367,1468302000.0,822.7785,413449470.0,-0.12997302,0.48078042,2.0535688,1.1836586,7.777791,-0.9601684
2015-04-17,2114.3877,3709379000.0,11.213539,-0.0020055175,17351.969,128139550.0,3915.3608,1749278500.0,16612.768,158820.44,6449.6787,834018700.0,20461.127,1452773800.0,827.5613,405993120.0,-0.1366332,0.47491765,2.0535688,1.1895776,7.7827864,-0.959598
2015-04-24,2096.2783,3662995500.0,10.66812,-0.003224671,17211.158,129000136.0,3795.7986,1737824500.0,16888.373,157185.42,6371.711,808006660.0,20375.88,1456156700.0,829.58185,399358200.0,-0.14227374,0.47063053,2.0535688,1.1944373,7.7865925,-0.95897436
2015-05-01,2075.841,3615886800.0,10.788407,-0.0047137737,17046.828,129468260.0,3681.3086,1723947000.0,17137.697,155471.72,6304.732,787363100.0,20378.455,1478753800.0,830.5306,394298720.0,-0.14686501,0.46678028,2.0535688,1.1982857,7.7896395,-0.95830345
2015-05-08,2055.9949,3569777400.0,11.271886,-0.0062755942,16881.389,129514420.0,3594.2256,1708845000.0,17354.955,153906.03,6264.833,778161700.0,20322.113,1501464400.0,827.0718,386359840.0,-0.15047026,0.462729,1.8537976,1.2012254,7.7921886,-0.9575944
2015-05-15,2039.1481,3528049400.0,11.832891,-0.007738292,16734.303,129096330.0,3547.8254,1694265500.0,17535.05,153187.2,6257.458,799422460.0,20244.373,1519983100.0,820.5218,376890400.0,-0.15320575,0.45845062,1.5165958,1.2033843,7.7943892,-0.9568575
2015-05-22,2026.6185,3492285000.0,12.24221,-0.008977056,16617.785,128257840.0,3546.5623,1682003500.0,17679.121,153696.86,6279.2285,831347260.0,20209.885,1532955900.0,812.96094,367089600.0,-0.15521224,0.45647055,1.1426386,1.2048997,7.7963157,-0.95610315
2015-05-29,2018.8496,3459932200.0,12.411432,-0.009917676,16537.78,126935320.0,3587.6267,1671977700.0,17796.697,154620.6,6323.3984,853544450.0,20266.18,1542843900.0,806.41974,357025150.0,-0.15663382,0.45225412,0.80412614,1.2059023,7.7980027,-0.955341
2015-06-05,2016.0106,3431287300.0,12.534568,-0.010530949,16495.943,125429430.0,3663.3567,1664167700.0,17899.344,156923.36,6381.586,876778800.0,20428.018,1557585800.0,802.236,350401760.0,-0.15760529,0.44628766,0.5368612,1.2065126,7.799465,-0.95457894
2015-06-12,2017.765,3409960000.0,12.726271,-0.010822237,16490.879,123786850.0,3762.6616,1659445400.0,17994.277,160221.83,6444.443,894042240.0,20685.549,1579352000.0,800.9619,347525340.0,-0.158244,0.44026744,0.34989297,1.2068316,7.8007126,-0.95382375
2015-06-19,2023.3727,3391489800.0,12.931005,-0.01082176,16517.78,121986340.0,3872.931,1656746900.0,18084.83,163703.33,6504.704,895353540.0,21013.766,1603663500.0,802.61066,346707550.0,-0.15864718,0.43525872,0.23700729,1.2069452,7.801753,-0.9530808
2015-06-26,2031.9819,3380904000.0,13.105259,-0.010574043,16570.424,120908090.0,3983.6875,1656753500.0,18168.943,166516.3,6557.229,901873000.0,21381.113,1630255200.0,806.7906,350719680.0,-0.15889198,0.43204996,0.18534721,1.2069203,7.802602,-0.9523538
2015-07-03,2042.8254,3391396400.0,13.232284,-0.010130644,16642.914,120883224.0,4086.0376,1663667000.0,18249.041,167602.19,6599.9326,902931260.0,21756.635,1658636000.0,813.1174,356788770.0,-0.16019306,0.43066084,0.18066819,1.2052962,7.804855,-0.9344498
2015-07-10,2046.7766,3393584600.0,12.059703,-0.009830892,16669.82,121195990.0,4110.357,1672578000.0,18325.383,166837.66,6631.1416,885732740.0,22113.803,1685295100.0,820.91693,361564740.0,-0.16019306,0.43050984,0.21001224,1.2052962,7.804855,-0.9344498
2015-07-17,2043.3993,3383244300.0,11.169587,-0.009943187,16642.625,121374080.0,4065.13,1681379200.0,18389.533,165415.36,6651.58,856505100.0,22428.254,1716666000.0,829.56604,367133440.0,-0.16019306,0.43128455,0.26274055,1.2052962,7.804855,-0.9344498
2015-07-24,2034.336,3362131500.0,10.862898,-0.0104519725,16570.875,121326480.0,3980.0427,1688531100.0,18443.379,163142.88,6664.014,820018560.0,22688.877,1743647700.0,838.77966,371472860.0,-0.16019306,0.4323874,0.33066192,1.2052962,7.804855,-0.9344498
2015-07-31,2022.5468,3350225200.0,11.138282,-0.0112143755,16474.688,120838130.0,3885.8035,1696075400.0,18489.064,159674.83,6669.0806,782265300.0,22903.705,1760175500.0,847.86273,373447400.0,-0.16019306,0.4340275,0.40774098,1.2052962,7.804855,-0.9344498
2015-08-07,2010.8335,3342405400.0,11.603374,-0.012057185,16374.297,120055144.0,3807.3652,1702420000.0,18522.408,156352.62,6668.89,759938000.0,23048.047,1761705600.0,857.19226,373599580.0,-0.16019306,0.43437007,0.48967004,1.2052962,7.804855,-0.9344498
2015-08-14,2001.0708,3341597000.0,12.090984,-0.012827456,16283.566,118963490.0,3759.4233,1708221700.0,18561.322,153349.38,6665.968,747030700.0,23141.262,1748266100.0,866.2717,373206940.0,-0.16019306,0.43406588,0.57344484,1.2052962,7.804855,-0.9344498
2015-08-21,1994.5598,3342855200.0,12.451487,-0.013414323,16212.642,117557110.0,3748.0444,1712923500.0,18596.889,150962.53,6660.415,735760500.0,23187.633,1722170100.0,874.7653,371689300.0,-0.16019306,0.43243036,0.6570095,1.2052962,7.804855,-0.9344498
