,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2024.4204,3278238000.0,16.672657,0.02727735,17492.28,139044860.0,4120.1104,1815668200.0,16644.44,161020.88,6380.3853,887167200.0,21745.637,1912942000.0,777.4281,369170200.0,0.059925754,0.38392314,2.699038,0.73322326,3.4276524,-0.98330975
2015-01-09,2035.1129,3296367000.0,17.18639,0.027518034,17587.77,140476460.0,4139.709,1813963900.0,16672.729,155105.08,6284.36,846043840.0,21460.088,1943894800.0,770.68256,369334050.0,0.053676713,0.3901464,2.8033383,0.7156324,3.4641817,-0.9854602
2015-01-16,2045.4069,3302947800.0,17.615986,0.027727127,17680.715,141875820.0,4155.62,1810422900.0,16561.107,147384.72,6169.842,799775900.0,21136.625,1960668300.0,761.7865,367339650.0,0.05898151,0.39300317,2.9020007,0.69470155,3.5195498,-0.9858837
2015-01-23,2054.875,3301765400.0,18.266981,0.02790904,17767.994,143392370.0,4165.245,1805213300.0,16362.897,140542.53,6061.678,764418750.0,20843.236,1966431100.0,752.5491,366602200.0,0.0708341,0.39334583,2.9950979,0.6740882,3.5797243,-0.9852079
2015-01-30,2063.476,3297479400.0,18.704739,0.02806735,17848.973,144483310.0,4169.358,1798706700.0,16143.206,135730.92,5979.451,747322600.0,20628.752,1967609600.0,744.73737,370781220.0,0.0851989,0.39195934,3.082771,0.65628284,3.635018,-0.9839638
2015-02-06,2075.6667,3300241200.0,19.177622,0.029012918,17967.285,145256910.0,4171.321,1794549400.0,15958.165,133754.28,5932.714,747827650.0,20513.412,1963731200.0,739.62616,377752000.0,0.09937253,0.38937676,3.1652086,0.64261264,3.6802359,-0.9825309
2015-02-13,2080.5564,3308423000.0,19.394869,0.029012918,18015.896,145941570.0,4165.961,1789870600.0,15842.51,134078.17,5923.124,756736060.0,20497.79,1953355300.0,737.8856,384767300.0,0.111888155,0.3857028,3.2426257,0.6334689,3.713777,-0.98113954
2015-02-20,2084.9502,3321355800.0,19.075424,0.029012918,18059.371,146367260.0,4159.144,1786087200.0,15813.871,136288.9,5946.734,768804400.0,20567.697,1935365800.0,739.76465,391929800.0,0.12222036,0.380983,3.3152568,0.6285998,3.7364128,-0.97990024
2015-02-27,2089.2295,3334279200.0,18.34657,0.029012918,18100.592,146340770.0,4155.4663,1783368800.0,15876.253,139327.81,5996.4336,782147840.0,20535.154,1901155500.0,745.109,398496100.0,0.13045147,0.37560025,3.383344,0.6273798,3.7501647,-0.9788409
2015-03-06,2093.7764,3343179000.0,17.423124,0.029012918,18142.115,145935760.0,4157.8916,1781440600.0,16024.437,142932.58,6064.076,799166660.0,20423.28,1854621400.0,753.55774,403055200.0,0.13698527,0.36962047,4.336551,0.6290205,3.7574577,-0.97794026
2015-03-13,2098.3975,3350125300.0,16.698881,0.029012918,18182.383,145197900.0,4166.597,1780611600.0,16244.769,146322.83,6141.5195,816497700.0,20287.19,1803246100.0,764.6133,405215140.0,0.14233543,0.36328164,4.336551,0.6327176,3.7605705,-0.9771547
2015-03-20,2102.893,3353667800.0,16.378946,0.029012918,18220.756,144282300.0,4178.9526,1780425900.0,16522.176,150737.92,6220.558,829962600.0,20174.39,1752966900.0,777.67883,404915300.0,0.14699225,0.35687798,4.336551,0.6377392,3.7613592,-0.9764357
2015-03-27,2107.3179,3365344000.0,16.159122,0.029012918,18257.09,144220580.0,4194.368,1782281000.0,16839.117,154793.6,6296.995,858816500.0,20118.885,1710772400.0,792.13367,407409000.0,0.15135248,0.35110098,4.336551,0.64347255,3.7611563,-0.97574073
2015-04-03,2111.594,3379935000.0,16.067427,0.029012918,18291.47,145221740.0,4210.2344,1785446700.0,17174.402,158214.55,6367.273,891655800.0,20135.756,1678557300.0,807.2722,409953380.0,0.15569541,0.34605935,4.336551,0.64943767,3.7608044,-0.9750376
2015-04-10,2106.3665,3373401300.0,14.847152,0.028916836,18263.268,146454000.0,4160.8896,1786683800.0,17509.844,159543.5,6376.489,895483800.0,20056.713,1645235200.0,817.5716,406710460.0,0.16018614,0.34192404,4.336551,0.6552821,3.7607431,-0.974306
