,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2001.8485,3924225500.0,16.807226,0.0003560511,17700.248,102603544.0,3763.6885,2057653800.0,16898.557,141643.72,6379.147,967684700.0,22328.92,2197190400.0,807.48236,389525020.0,0.73464644,0.59164184,3.0215042,6.338564,4.850751,-0.9023319
2015-01-09,2011.2747,3941021400.0,17.347555,0.00035788913,17779.75,104277630.0,3798.8896,2050567300.0,16880.754,132373.44,6370.955,966329150.0,22301.162,2248571100.0,809.0712,384782430.0,0.7514038,0.6053284,3.1417277,6.322149,4.8166413,-0.9099019
2015-01-16,2020.3458,3943996700.0,17.614569,0.00035945635,17859.008,105798480.0,3826.7927,2041226900.0,16625.244,121651.25,6355.4062,955407940.0,22267.328,2275722500.0,809.4384,376299620.0,0.78339654,0.6144587,3.2506576,6.2998886,4.8453565,-0.91481674
2015-01-23,2028.442,3938345000.0,18.18441,0.0003607919,17934.111,107036760.0,3843.4878,2030965600.0,16234.111,114034.625,6337.209,940781760.0,22256.037,2279744800.0,810.18506,372020670.0,0.8220901,0.6199692,3.350208,6.2757025,4.9193025,-0.91751665
2015-01-30,2035.1952,3930968600.0,18.419203,0.00036193166,18001.934,108041950.0,3849.5356,2020314000.0,15824.391,110743.055,6324.839,929017540.0,22296.037,2271750400.0,813.94556,381571230.0,0.85997516,0.62253106,3.4418619,6.253448,5.020616,-0.9185397
2015-02-06,2039.8025,3933031400.0,18.74991,0.00036933372,18057.078,109006980.0,3849.255,2010691500.0,15489.024,112524.14,6323.535,922393600.0,22392.346,2249958700.0,821.57477,394938460.0,0.8919056,0.62248385,3.5267172,6.235994,5.134179,-0.91839385
2015-02-13,2043.0916,3946617600.0,18.75095,0.00036933372,18101.814,109822780.0,3835.6697,2003351800.0,15287.249,117700.414,6336.9883,916473200.0,22541.092,2213335300.0,832.969,403583230.0,0.9153819,0.61992484,3.6055696,6.2249026,5.2487583,-0.9174956
2015-02-20,2045.3674,3964953000.0,18.037855,0.00036933372,18138.377,110190320.0,3819.797,1998753000.0,15245.584,124758.91,6365.611,910305340.0,22723.771,2162660000.0,847.26434,410690300.0,0.9301642,0.6150668,3.6790068,6.22053,5.356969,-0.9161532
2015-02-27,2047.4521,3981753300.0,16.877293,0.00036933372,18170.668,110151850.0,3808.0752,1996180100.0,15367.608,131665.39,6407.8823,905036400.0,22466.566,2084199600.0,863.4166,415421200.0,0.937577,0.607165,3.747479,6.2223186,5.4546638,-0.9145747
2015-03-06,2049.8687,3991477800.0,15.634265,0.00036933372,18201.947,109652340.0,3805.6296,1995396000.0,15641.795,137968.02,6460.937,904991200.0,21892.115,1990392700.0,880.875,414521440.0,0.93977183,0.5992569,4.491374,6.2291584,5.5401115,-0.91288686
2015-03-13,2052.845,3999047200.0,14.889728,0.00036933372,18233.74,108821520.0,3812.7908,1995976700.0,16043.274,142524.69,6520.162,908363500.0,21215.72,1897995800.0,898.82587,408496600.0,0.9391084,0.59038913,4.503161,6.2396975,5.6131988,-0.9111568
2015-03-20,2056.0957,4002249700.0,14.872585,0.00036933372,18265.064,107784610.0,3826.3438,1997389600.0,16535.787,147624.27,6578.011,911398800.0,20620.62,1818038000.0,916.2406,398542560.0,0.9377165,0.58115846,4.512711,6.2525735,5.674778,-0.9094119
2015-03-27,2059.6575,4017979100.0,14.987843,0.00036933372,18296.846,108046480.0,3845.4011,2002075000.0,17084.242,151304.2,6631.9473,931944100.0,20240.469,1761861000.0,932.36975,403325440.0,0.93724227,0.5699297,4.5197196,6.2665696,5.726176,-0.90765536
2015-04-03,2063.1846,4036651800.0,15.201478,0.00036933372,18327.037,109563770.0,3866.6277,2008981800.0,17647.06,153441.48,6678.8486,959756860.0,20138.434,1729150200.0,945.88544,408883620.0,0.93875694,0.5608472,4.5243254,6.280694,5.7688622,-0.90587807
2015-04-10,2050.2087,4024644400.0,13.534452,0.00023961283,18252.217,111195690.0,3814.8354,2011170800.0,18186.328,151832.62,6622.8086,962119900.0,19872.533,1694950700.0,923.3926,395553700.0,0.9427743,0.5537337,4.5269194,6.2942033,5.8042536,-0.90406626
2015-04-17,2021.5734,3984337400.0,11.844616,-7.313872e-05,18074.693,112430850.0,3701.6343,2002909700.0,18679.576,146961.55,6475.974,944837570.0,19550.13,1683324900.0,883.5396,371856420.0,0.94934446,0.54703563,4.5279846,6.306592,5.8336067,-0.9022065
2015-04-24,1983.7472,3927955500.0,11.330838,-0.000546072,17828.59,113159840.0,3558.862,1986270700.0,19107.092,142118.72,6284.1113,920450200.0,19369.393,1711394700.0,845.0505,358762050.0,0.9581756,0.5382134,4.5280027,6.317566,5.8579865,-0.9002884
2015-05-01,1944.3862,3871900000.0,11.797937,-0.0011219479,17557.693,113740940.0,3424.9858,1964569900.0,19463.246,138018.3,6099.2134,899562240.0,19499.436,1775472900.0,820.63324,354942800.0,0.96876276,0.5304595,4.5273952,6.326991,5.878262,-0.8983057
2015-05-08,1910.0967,3819234000.0,12.691644,-0.0017333146,17302.443,113813310.0,3329.3086,1941523800.0,19739.734,135149.84,5960.827,888423500.0,19499.395,1830269600.0,784.9441,342411870.0,0.98054034,0.5221606,4.4024982,6.3348646,5.895133,-0.8957719
