,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1884.199,3680620000.0,14.73282,-0.007410407,16956.066,131635140.0,3922.3708,2010654300.0,15155.261,171368.19,6554.7783,877069500.0,21067.55,1884877800.0,829.74335,373128200.0,-0.7685405,0.65210634,3.494944,0.3084497,3.2466455,-0.9763545
2015-01-09,1893.2109,3704908500.0,15.223278,-0.0073156357,17046.166,133166430.0,3942.7312,2008473900.0,15143.155,165245.62,6448.026,841854600.0,20804.068,1912359000.0,822.84576,372694200.0,-0.7959987,0.65916896,3.6576922,0.2826182,3.2458808,-0.9760959
2015-01-16,1901.9122,3715977500.0,15.632393,-0.0072289705,17133.662,134533780.0,3959.6277,2004514700.0,14992.06,157299.5,6321.162,800496500.0,20498.299,1926884700.0,813.8551,370110000.0,-0.81144744,0.662244,3.8084702,0.2525156,3.2784655,-0.9747206
2015-01-23,1909.8688,3716476700.0,16.217989,-0.007148564,17215.73,135907000.0,3970.614,1998775200.0,14773.47,150536.48,6202.5757,766042560.0,20214.346,1931421300.0,804.5419,368970850.0,-0.8182776,0.6624677,3.9474516,0.22202162,3.3319137,-0.9728438
2015-01-30,1917.0702,3713279500.0,16.621193,-0.0070729256,17291.55,136782940.0,3976.331,1991594800.0,14560.11,146071.67,6114.5283,745072500.0,20000.188,1932074200.0,796.64545,373149280.0,-0.81955415,0.66059923,4.0750136,0.19422914,3.3948543,-0.9709107
2015-02-06,1928.6497,3721335600.0,17.045353,-0.0065407753,17390.943,137382300.0,3982.581,1987447900.0,14404.379,144683.31,6067.6045,738986100.0,19878.082,1928138000.0,791.3584,380327740.0,-0.8175882,0.65700233,4.19168,0.17122495,3.4585626,-0.9691852
2015-02-13,1932.4994,3732748800.0,17.248108,-0.0065407753,17437.293,137905980.0,3978.2166,1982699300.0,14331.298,145629.08,6063.0894,741923100.0,19850.902,1918207500.0,789.36835,387530530.0,-0.813887,0.6517096,4.2980604,0.15412462,3.5172732,-0.9677818
2015-02-20,1935.9185,3748930800.0,16.982344,-0.0065407753,17478.418,138145280.0,3972.5872,1978973600.0,14346.617,148330.45,6095.7783,749669600.0,19907.484,1901251700.0,790.882,394859940.0,-0.8092867,0.6448996,4.3948145,0.14323471,3.5678406,-0.9667119
2015-02-27,1939.3186,3765241900.0,16.342575,-0.0065407753,17516.973,137938990.0,3969.9092,1976498400.0,14444.444,151620.08,6156.899,760294850.0,19883.875,1869154300.0,795.77423,401538200.0,-0.8041468,0.63655233,4.4826226,0.13826577,3.609113,-0.9659269
2015-03-06,1943.1064,3775915800.0,15.51177,-0.0065407753,17555.338,137375550.0,3973.0017,1974860500.0,14613.254,155270.17,6236.686,775121600.0,19787.14,1825929500.0,803.7528,406040700.0,-0.79853755,0.62815106,5.269743,0.13853805,3.6412854,-0.9653516
