,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1926.6375,3437422800.0,16.375021,-0.032469094,18794.88,119434290.0,3979.5178,1933713000.0,14936.124,161410.61,6510.205,902673660.0,21287.945,1841270100.0,754.56335,383611460.0,-0.11739798,0.735054,1.2449096,1.6588771,2.2708533,-0.97682637
2015-01-09,1935.8811,3458759400.0,16.87079,-0.0322029,18893.062,120622750.0,4001.4014,1930262700.0,14942.104,155364.67,6418.5786,866282560.0,21009.139,1870301400.0,747.40564,385080450.0,-0.12385068,0.75753415,1.3275716,1.636145,2.2442932,-0.97701263
2015-01-16,1944.7109,3469931800.0,17.264557,-0.031978846,18989.545,121830900.0,4018.9187,1924968200.0,14809.573,147583.3,6307.7803,825097540.0,20691.33,1887298400.0,738.3007,384198750.0,-0.11619066,0.7702139,1.4062892,1.6116884,2.2382674,-0.97576565
2015-01-23,1952.7742,3471977000.0,17.827644,-0.031790853,19080.574,123260984.0,4029.8047,1918608300.0,14600.022,140956.52,6201.3696,793671700.0,20401.191,1894659800.0,729.1736,384140380.0,-0.10270737,0.7753527,1.4811314,1.589852,2.247924,-0.97389096
2015-01-30,1959.9642,3470632000.0,18.20421,-0.03163266,19166.072,124199600.0,4035.2668,1911655700.0,14382.497,136438.58,6119.053,777733800.0,20186.852,1897614700.0,721.80786,388413570.0,-0.08970779,0.775011,1.5521752,1.5731943,2.2682455,-0.97196144
2015-02-06,1967.2677,3478241500.0,18.603596,-0.030815661,19322.31,124751140.0,4038.2573,1904435000.0,14211.431,134784.84,6071.266,776957500.0,20068.82,1895865000.0,717.32635,395270000.0,-0.08091401,0.7705903,1.6195066,1.5626581,2.294892,-0.9703046
2015-02-13,1971.6134,3487067100.0,18.785908,-0.030815661,19372.158,125297780.0,4034.1338,1898402700.0,14117.602,135312.17,6060.7026,783552200.0,20048.225,1888275600.0,716.2906,402224770.0,-0.07768588,0.76240456,1.6832237,1.5580008,2.3245127,-0.96904933
2015-02-20,1975.3793,3499481000.0,18.503176,-0.030815661,19416.95,125648740.0,4029.6086,1894046200.0,14112.907,137492.14,6083.9824,792932600.0,20112.041,1874027900.0,718.751,409342100.0,-0.07962733,0.7506851,1.7434361,1.5582733,2.35474,-0.96819085
2015-02-27,1978.9602,3512520200.0,17.853336,-0.030815661,19460.018,125549130.0,4028.996,1891159300.0,14196.219,140311.89,6134.1377,803603460.0,20081.152,1845625000.0,724.4429,415971600.0,-0.085283175,0.7357116,1.8002644,1.5622191,2.3840446,-0.96765095
2015-03-06,1982.6886,3521298200.0,17.024818,-0.030815661,19504.414,125113464.0,4034.7417,1889692200.0,14358.708,143605.34,6202.8354,817773700.0,19973.129,1806284700.0,732.9739,420791260.0,-0.09275303,0.7195767,2.748737,1.5685593,2.4115314,-0.96732485
2015-03-13,1986.5411,3529271000.0,16.368635,-0.030815661,19547.38,124367170.0,4046.4832,1889377200.0,14584.909,146637.81,6281.5728,832428400.0,19841.062,1762285800.0,743.8111,423396400.0,-0.10015072,0.70206213,2.748737,1.5761648,2.436755,-0.96711075
2015-03-20,1990.3579,3534101000.0,16.079714,-0.030815661,19588.23,123472600.0,4061.2268,1889898600.0,14857.725,150712.98,6361.7686,843854340.0,19731.285,1718547200.0,756.3468,423652220.0,-0.105894454,0.6840851,2.748737,1.5841368,2.4595604,-0.9669262
