,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2024.3533,3498869200.0,14.917062,-0.0004032244,17061.727,133661790.0,4219.326,1957403100.0,16169.066,154761.19,6302.3237,1020224900.0,24046.66,2094698100.0,839.98096,468085900.0,0.3971155,0.7163342,-0.5446211,3.110277,8.920081,-0.9515965
2015-01-09,2032.8524,3512895000.0,15.644051,-0.00038724247,17135.736,135369940.0,4262.442,1949980300.0,16140.58,145044.73,6296.1333,1015916400.0,24066.264,2146434600.0,842.6262,466275300.0,0.38979036,0.735602,-0.12618074,3.0379105,8.940443,-0.9515242
2015-01-16,2041.2753,3514398700.0,16.077082,-0.00037338355,17209.69,136862240.0,4294.31,1940456200.0,15857.836,133532.17,6283.6562,1002392640.0,24093.023,2176709600.0,843.83765,459538370.0,0.4098079,0.7474295,0.29331562,2.951319,9.031929,-0.94784576
2015-01-23,2049.1511,3508992500.0,16.676258,-0.00036145642,17279.994,137985440.0,4310.329,1930312600.0,15430.007,125255.336,6268.945,985674050.0,24132.19,2185860900.0,845.15656,455928260.0,0.44806758,0.75350934,0.7108689,2.8582382,9.173736,-0.94221026
2015-01-30,2056.1382,3501417000.0,17.014446,-0.00035124025,17344.11,138910200.0,4311.7554,1920102900.0,14987.223,121738.125,6259.922,971753540.0,24195.62,2183240700.0,849.4485,465549820.0,0.49591416,0.75532115,1.1244512,2.7666113,9.341861,-0.93601936
2015-02-06,2061.3674,3500748500.0,17.390661,-0.00029136078,17396.924,139821550.0,4301.711,1910682500.0,14632.256,123910.91,6260.9644,963206700.0,24284.943,2166982000.0,857.69934,478582270.0,0.54664445,0.75382787,1.5328376,2.6832793,9.514628,-0.9302505
2015-02-13,2065.7783,3510204700.0,17.493706,-0.00029136078,17440.613,140622930.0,4279.1226,1903713300.0,14430.429,129967.4,6275.327,955929900.0,24399.682,2135922600.0,869.8311,486836160.0,0.5958826,0.74923,1.9354105,2.6132996,9.67559,-0.92544323
2015-02-20,2069.3767,3525046300.0,16.962074,-0.00029136078,17477.209,140952020.0,4254.5244,1899759200.0,14407.114,138085.0,6302.938,948783800.0,24531.902,2090570100.0,884.96893,494023300.0,0.6413103,0.741719,2.331975,2.5597756,9.8143215,-0.9217747
2015-02-27,2072.7217,3539023400.0,15.930969,-0.00029136078,17510.217,140899900.0,4236.462,1897887900.0,14560.738,145902.23,6342.212,942777540.0,24338.855,2018529000.0,902.0244,499166980.0,0.68213046,0.73084545,2.7226157,2.5240054,9.925893,-0.9191689
2015-03-06,2076.1265,3548102000.0,14.698295,-0.00029136078,17542.55,140390880.0,4231.6445,1897849300.0,14872.997,152772.5,6390.521,942140400.0,23881.229,1930705700.0,920.4622,498695780.0,0.71851134,0.71962017,11.800458,2.5058193,10.009671,-0.9174048
2015-03-13,2079.8008,3554513700.0,13.789656,-0.00029136078,17575.06,139568430.0,4240.332,1899033100.0,15312.748,157446.38,6443.554,945143100.0,23302.334,1842307200.0,939.4551,492926880.0,0.7511239,0.7071818,11.973061,2.5039666,10.067938,-0.916204
2015-03-20,2083.5574,3557083100.0,13.50243,-0.00029136078,17606.818,138545500.0,4258.0215,1900955500.0,15835.589,162417.03,6494.052,948083600.0,22741.605,1763792100.0,957.91675,482982750.0,0.7808101,0.69426596,12.102559,2.5164933,10.104643,-0.9152932
2015-03-27,2087.4788,3569668900.0,13.450918,-0.00029136078,17638.521,138921550.0,4282.985,1906006000.0,16402.588,165843.42,6540.244,968860860.0,22313.44,1706052600.0,975.0532,488317700.0,0.80837625,0.67978865,12.18434,2.541071,10.124399,-0.9144416
2015-04-03,2091.3037,3585385200.0,13.568788,-0.00029136078,17668.568,140544690.0,4310.4834,1913272300.0,16970.473,167637.88,6579.561,997861250.0,22086.797,1669596000.0,989.3979,494113950.0,0.8344862,0.66802186,12.2210455,2.5752542,10.131754,-0.91347826
2015-04-10,2081.9648,3575476200.0,12.225225,-0.0005730885,17604.797,142202000.0,4246.3213,1915584500.0,17500.314,165444.45,6513.7354,1002486660.0,21761.348,1632387600.0,964.28894,479539900.0,0.85962427,0.659118,12.21958,2.6166673,10.130767,-0.9122952
2015-04-17,2060.1467,3540049000.0,10.630499,-0.0012465944,17450.252,143404460.0,4103.308,1906970100.0,17970.785,159747.47,6361.8193,987311940.0,21405.924,1616036700.0,920.32336,454443680.0,0.88410026,0.6516862,12.188476,2.6631272,10.124778,-0.9108413
2015-04-24,2030.5527,3489964300.0,9.850495,-0.0022483168,17235.047,143970820.0,3922.7322,1889961300.0,18364.865,154107.27,6172.9453,964360700.0,21160.777,1636651900.0,878.5194,440593470.0,0.9080786,0.643174,12.136183,2.7127202,10.116343,-0.90911084
2015-05-01,1998.6703,3437261000.0,9.961471,-0.0034488966,16997.732,144516770.0,3754.7239,1867705000.0,18680.59,149471.27,5998.8843,942884500.0,21156.686,1691193500.0,853.1472,435963600.0,0.9316145,0.63622177,12.070097,2.7638297,10.107283,-0.9071314
2015-05-08,1969.3993,3387440600.0,10.62631,-0.0047061155,16773.12,144558160.0,3637.64,1844639600.0,18913.566,146457.7,5876.324,930160500.0,21094.172,1739901600.0,815.8442,421591870.0,0.95475644,0.6288277,11.817684,2.8150012,10.098784,-0.9049049
2015-05-15,1946.1403,3344642800.0,11.426879,-0.005894488,16587.604,144010320.0,3594.6748,1824499100.0,19060.084,146184.3,5824.4595,943920640.0,21018.791,1774769200.0,778.1371,405227600.0,0.97736347,0.61719775,11.363978,2.865318,10.091522,-0.90253943
2015-05-22,1931.0482,3309221600.0,12.005661,-0.0069188415,16457.908,143010690.0,3630.7146,1808067200.0,19130.451,148762.84,5843.749,971511300.0,21048.652,1795579900.0,753.8047,390826240.0,0.9993588,0.58916116,10.759762,2.914032,10.0857935,-0.9000954
