,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2000-01-07,1441.469971,1225200000.0,21.719999,0.0,11522.55957,184900000.0,3529.600098,1634930000.0,18193.410156,0.0,6504.799805,888306000.0,15405.629883,0.0,943.880005,0.0,1.2355411011176e-311,0.0,1.2355411011176e-311,1.2355410830625e-311,1.2355411011176e-311,1.2355410830625e-311
2000-01-14,1465.150024,1085900000.0,19.66,0.0,11722.980469,266830000.0,3704.73999,1656630000.0,18956.550781,0.0,6658.200195,1098626000.0,15542.230469,0.0,973.859985,0.0,1.2355411004694e-311,0.0,1.2355411004694e-311,1.235541082952e-311,1.2355411004694e-311,1.235541082952e-311
2000-01-21,1441.359985,1209800000.0,20.82,0.0,11251.709961,205840000.0,3849.959961,1923680000.0,18878.089844,0.0,6346.299805,1007934000.0,15108.410156,0.0,951.51001,0.0,1.2355411013864e-311,0.0,1.2355411013864e-311,1.23554108292e-311,1.2355411013864e-311,1.23554108292e-311
2000-01-28,1360.160034,1095800000.0,26.139999,0.0,10738.870117,183090000.0,3446.129883,1616370000.0,19434.779297,0.0,6375.600098,918227000.0,16185.94043,0.0,948.210022,0.0,24.412899017333984,0.0,1.2355177165637e-311,71.91424718351676,117.57714600754619,0.03357314148681055
2000-02-04,1424.369995,1045100000.0,21.540001,0.0,10963.799805,166590000.0,3874.370117,1751450000.0,19763.130859,0.0,6185.0,2309287000.0,-5.47874429023168e-21,1.235541082256e-311,1010.429993,0.0,-5.47874429023168e-21,0.75,-5.47874429023168e-21,1.235541082256e-311,-5.47874429023168e-21,1.235541082256e-311
2000-02-11,1387.119995,1025700000.0,24.42,0.0,10425.209961,193540000.0,3968.889893,1738590000.0,-2.7038510377798855e-21,1.235541082683e-311,6193.299805,3433671000.0,17380.300781,0.0,1014.169983,0.0,-2.7038510377798855e-21,0.74,-2.7038510377798855e-21,1.235541082683e-311,-2.7038510377798855e-21,1.235541082683e-311
2000-02-18,1346.089966,1042300000.0,26.0,0.0,10219.519531,208930000.0,3965.75,1898410000.0,19789.029297,0.0,6165.0,1098726000.0,16599.160156,0.0,992.530029,0.0,-2.337131846360181e-28,0.0,-2.337131846360181e-28,1.2355410823826e-311,-2.337131846360181e-28,1.2355410823826e-311
2000-02-25,1333.359985,1065200000.0,25.200001,0.0,9862.120117,195240000.0,4178.580078,1825500000.0,19817.880859,0.0,6198.0,1181230000.0,17200.980469,0.0,1004.719971,0.0,3.876737758853723e-24,0.0,3.876737758853723e-24,1.235541082762e-311,3.876737758853723e-24,1.235541082762e-311
2000-03-03,1409.170044,1150300000.0,19.209999,0.0,10367.200195,210460000.0,4442.870117,2136530000.0,19927.539063,0.0,6487.5,1107792000.0,17285.240234,0.0,1042.400024,0.0,4.39088869506199e-21,0.0,4.39088869506199e-21,1.2355410830467e-311,4.39088869506199e-21,1.2355410830467e-311
2000-03-10,1395.069946,1138800000.0,21.24,0.0,9928.820313,197440000.0,4587.160156,1992170000.0,19750.400391,0.0,6568.700195,1005534000.0,17831.859375,0.0,1045.27002,0.0,-4.946175000522614e-19,0.0,-4.946175000522614e-19,1.2355410829676e-311,-4.946175000522614e-19,1.2355410829676e-311
2000-03-17,1464.469971,1295100000.0,22.370001,0.0,10595.230469,247830000.0,4440.450195,1691530000.0,19566.320313,0.0,6558.0,1309177000.0,17082.990234,0.0,1022.119995,0.0,6.513307898980695e-25,0.0,6.513307898980695e-25,1.235541082999e-311,6.513307898980695e-25,1.235541082999e-311
2000-03-24,1527.459961,1052200000.0,23.309999,0.0,11112.719727,217140000.0,4691.6098630000015,1688970000.0,19958.080078,0.0,6738.5,1088155000.0,17784.570313,0.0,1029.660034,0.0,1.3271157482019629e-15,0.0,1.3271157482019629e-15,1.235541082351e-311,1.3271157482019629e-15,1.235541082351e-311
2000-03-31,1498.579956,1227400000.0,24.110001,0.0,10921.919922,179590000.0,4397.839844,2118100000.0,20337.320313,0.0,6540.200195,1019644000.0,17406.539063,0.0,1021.219971,0.0,1.0670657616914547e-16,0.76,1.0670657616914547e-16,1.235541082604e-311,1.0670657616914547e-16,1.235541082604e-311
2000-04-07,1516.349976,891600000.0,24.389999,0.0,11111.480469,156500000.0,4291.529785,1563430000.0,20252.810547,0.0,6569.899902,857438000.0,16941.679688,0.0,1029.969971,0.0,1.4243179409631847e-18,0.0,1.4243179409631847e-18,1.235541082525e-311,1.4243179409631847e-18,1.235541082525e-311
2000-04-14,1356.560059,1279700000.0,33.490002000000004,0.0,10305.769531,267580000.0,3207.959961,2555780000.0,20434.679688,0.0,6178.100098,996451000.0,16142.759766,0.0,995.369995,0.0,3.3549506540371e-31,1.48,3.3549506540371e-31,1.235541083015e-311,3.3549506540371e-31,1.235541083015e-311
2000-04-21,6.156050550914041e-25,1.2355410826514e-311,6.156050550914041e-25,1.2355410826514e-311,6.156050550914041e-25,1.2355410826514e-311,6.156050550914041e-25,1.2355410826514e-311,18252.679688,0.0,6.156050550914041e-25,1.2355410826514e-311,6.156050550914041e-25,1.2355410826514e-311,1011.72998,0.0,6.156050550914041e-25,1.54,6.156050550914041e-25,1.2355410826514e-311,6.156050550914041e-25,1.2355410826514e-311
2000-04-28,1452.430054,984600000.0,26.200001,0.0,10733.910156,173520000.0,3773.179932,1583710000.0,17973.699219,0.0,6327.399902,882175000.0,15519.299805,0.0,1042.609985,0.0,43.42907333374024,0.0,-1.062195057204288e-16,82.57421586475193,54.06178805128107,0.033755274261603366
2000-05-05,1432.630005,805500000.0,27.530001,0.0,10577.860352,138300000.0,3688.360107,1197290000.0,-4.3292371865061237e-35,1.2355410832206e-311,6238.799805,845274000.0,15268.639647999997,0.0,1062.689941,0.0,-4.3292371865061237e-35,5.82,-4.3292371865061237e-35,1.2355410832206e-311,-4.3292371865061237e-35,1.2355410832206e-311
2000-05-12,1420.959961,858200000.0,26.049999,0.0,10609.370117,137770000.0,3406.25,1220040000.0,17357.859375,0.0,6283.5,870252000.0,15111.94043,0.0,1060.589966,0.0,4.884289013005312e-21,0.72,4.884289013005312e-21,1.235541082288e-311,4.884289013005312e-21,1.235541082288e-311
2000-05-19,1406.949951,853700000.0,25.440001,0.0,10626.849609,188270000.0,3260.639893,1366930000.0,16858.169922,0.0,6045.399902,937082000.0,14478.259766,0.0,1033.619995,0.0,3.640773204844382e-21,0.72,3.640773204844382e-21,1.235541082699e-311,3.640773204844382e-21,1.235541082699e-311
2000-05-26,1378.02002,722600000.0,24.469999,0.0,10299.240234,129200000.0,3101.439941,1069440000.0,16008.139647999997,0.0,6216.899902,778243000.0,13722.700195,0.0,1013.340027,0.0,-4.51071471627557e-20,0.0,-4.51071471627557e-20,1.235541083031e-311,-4.51071471627557e-20,1.235541083031e-311
2000-06-02,1477.26001,1162400000.0,21.48,0.0,10794.759766,200900000.0,3755.669922,1903210000.0,16800.060547,0.0,6626.399902,1324934000.0,15284.099609,0.0,1086.329956,0.0,7.513363644428905e-22,0.0,7.513363644428905e-22,1.2355410823194e-311,7.513363644428905e-22,1.2355410823194e-311
2000-06-09,1456.949951,786000000.0,22.139999,0.0,10614.05957,136750000.0,3760.26001,1268720000.0,16861.910156,0.0,6443.799805,661766000.0,16120.259766,0.0,1073.290039,0.0,-1.3538646268325895e-21,0.0,-1.3538646268325895e-21,1.2355410830783e-311,-1.3538646268325895e-21,1.2355410830783e-311
2000-06-16,1464.459961,1250800000.0,20.5,0.0,10449.299805,233100000.0,3787.360107,1501190000.0,16318.30957,0.0,6526.0,810817000.0,16434.380859,0.0,1068.609985,0.0,6.309070844810795e-19,0.71,6.309070844810795e-19,1.235541083094e-311,6.309070844810795e-19,1.235541083094e-311
2000-06-23,1441.47998,847600000.0,22.34,0.0,10404.75,142390000.0,3685.300049,1344960000.0,16963.210938,0.0,6391.5,818585000.0,15738.080078,0.0,1078.400024,0.0,6.386475139955675e-23,0.0,6.386475139955675e-23,1.235541082778e-311,6.386475139955675e-23,1.235541082778e-311
2000-06-30,1454.599976,1459700000.0,19.540001,0.0,10447.889648,224060000.0,3763.790039,2066390000.0,17411.050781,0.0,6312.700195,925225000.0,16155.780272999997,0.0,1064.060059,0.0,-1.869869219303965e-20,1.62,-1.869869219303965e-20,1.2355410825407e-311,-1.869869219303965e-20,1.2355410825407e-311
2000-07-07,1478.900024,931700000.0,19.219999,0.0,10635.980469,158820000.0,3841.27002,1486480000.0,17398.240234,0.0,6497.5,793281000.0,16829.960938,0.0,1079.359985,0.0,-4.4230894067027935e-23,0.0,-4.4230894067027935e-23,1.23554108243e-311,-4.4230894067027935e-23,1.23554108243e-311
2000-07-14,1509.97998,960600000.0,19.32,0.0,10812.75,150970000.0,4041.149902,1678610000.0,17142.900391,0.0,6475.399902,826063000.0,17586.160156,0.0,1088.099976,0.0,-1.3206370003725516e-19,0.0,-1.3206370003725516e-19,1.23554108311e-311,-1.3206370003725516e-19,1.23554108311e-311
2000-07-21,1480.189941,968300000.0,18.940001,0.0,10733.55957,170710000.0,3908.75,1545940000.0,16811.490234,0.0,6378.399902,698153000.0,17920.859375,0.0,1072.969971,0.0,1.3988234679956773e-20,0.0,1.3988234679956773e-20,1.2355410831257e-311,1.3988234679956773e-20,1.2355410831257e-311
2000-07-28,1419.890015,980000000.0,20.84,0.0,10511.169922,174720000.0,3477.310059000001,1769410000.0,15838.570313,0.0,6335.700195,947097000.0,17183.929688,0.0,1062.339966,0.0,20.32775115966797,0.0,1.23554110126e-311,60.7730162096869,80.47545084226302,0.03260869565217391
