,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1866.2814427565595,3123472863.7188334,15.825906558172452,0.0,16477.186395121324,112479415.10011965,3630.018629285776,1922927186.1035695,15668.680196322292,138775.17355331325,6432.504636942356,533872000.1631701,22608.742313636503,1566495774.7363563,797.4962470602379,234499720.81214517,-2.0808752223511297e+99,0.9811077535169688,1.9905256181156077e+100,3.631520963716456e+91,8.936860541392644e+91,9.19467989622586e+87
2015-01-09,1873.1041116810038,3300611360.895192,15.729442209717785,0.0,16527.539818888796,123476864.88498192,3646.5653201809073,2020112056.000467,15700.940448711492,144914.9503480296,6396.681949842936,576250224.8463032,22701.877339002887,1644005314.6073616,799.9457856913066,248577074.75869095,-1.3564141219484245e+99,0.9706859999847587,1.297520097488328e+100,2.3616960986491003e+91,5.8119308371493734e+91,5.9795991421239126e+87
2015-01-16,1880.3743114523268,3437344563.8236375,15.653585381379726,0.0,16586.62661477003,132292453.35751577,3668.950107056473,2115966739.5222344,15695.949697800157,148456.64662388826,6294.28299521064,623262412.5176883,22815.56799829387,1715370831.759649,801.8308175580537,262491040.12109697,-8.916096521475033e+98,0.9759883049544311,8.528971055391543e+99,1.5469250947757707e+91,3.80684952066025e+91,3.9166732650073753e+87
2015-01-23,1887.4374713156485,3535695603.596825,15.673525632679606,0.0,16647.999380035966,143624123.38114673,3689.7574593469626,2099017760.73887,15664.117128119968,151543.70247837243,6441.372350257412,672132272.8913375,22940.54214782129,1795652310.1922524,803.0583969440213,272096740.2639326,-5.935192235721835e+98,0.9639375513395433,5.67749552504371e+99,1.0243232651103051e+91,2.5207713960781878e+91,2.59349309202598e+87
2015-01-30,1894.324841042425,3588955712.3625245,15.678578118763294,0.0,16708.4955838096,148182793.7879377,3709.049978339858,2090500487.3738427,15628.625783603273,154474.62408413566,6531.419946708786,706222925.0056974,23067.847338717533,1841511174.5684483,804.5916632745991,279896742.9557289,-4.024675849192211e+98,0.9053608794792369,3.8499324307680476e+99,6.89307939511338e+90,1.6963275131924862e+91,1.7452648400100598e+87
2015-02-06,1897.8941979679728,3648593863.5008564,15.882753219507457,0.0,16738.452566319615,150188284.17999083,3719.9829168649812,2094040862.08682,15548.168894976396,158842.95986736927,6583.069711417065,732996908.1667105,23143.381291946775,1862336141.3761072,804.4309824170746,288804832.0241661,-2.8013925176658023e+98,0.8797777648392904,2.6797632329220267e+99,4.747300861442838e+90,1.168269883903665e+91,1.2019732841463057e+87
2015-02-13,1899.2261317183165,3674864017.0382075,16.233395784287136,0.0,16745.28577841989,147795454.34102702,3726.8363922444514,2083612445.2835894,15421.138156924226,161122.29878183376,6616.110686937794,747089873.2294636,23154.3862175361,1893979062.9757526,803.7312564736208,294925716.8514174,-2.0193308117341482e+98,0.8541489683424183,1.9316581393785914e+99,3.374754723114609e+90,8.304980922102674e+90,8.544571191339024e+86
2015-02-20,1907.7766089839608,3624426640.9093666,15.847021145029677,0.0,16809.572693080536,137379084.74052763,3752.9858533090724,2037149487.5203555,15367.637714540542,158335.48902579007,6654.019767048265,743401205.8791369,23230.492569791662,1861172292.960096,806.6881340939574,292036958.83552456,-1.5205341759222222e+98,0.8369862431485444,1.454518953379574e+99,2.4986174924782176e+90,6.148882603092445e+90,6.326271624475647e+86
2015-02-27,1916.9779416578695,3587381279.361972,15.352288397100178,0.0,16875.05470485754,128084675.61758897,3782.0485130580328,2008601962.820282,15366.545673310507,154011.9454755312,6683.028615940558,754493900.6973181,23338.16565756678,1805372650.7187738,811.0895958620329,287869358.8221289,-1.2035829330546929e+98,0.8177167952679519,1.151329566342261e+99,1.9411482809641236e+90,4.776998852675382e+90,4.9148104204549535e+86
2015-03-06,1924.2718547604634,3581015593.557219,14.948470558614801,0.0,16913.44945009605,123399683.4450808,3807.56316473589,2012573527.1192145,15370.675403105924,151843.18376593752,6704.0887697038725,764823124.383247,23427.843627038557,1792136375.783111,815.7658881981246,287534593.19748884,-1.0033577070465485e+98,0.8038447100879151,9.597980381099466e+98,1.5882235857249098e+90,3.908481552492014e+90,4.0212372777911635e+86
2015-03-13,1928.6376353619412,3513541698.3624525,14.59782362292287,0.0,16913.26625048962,118468389.6163571,3826.633083285977,2000288188.8582382,15354.268280138902,149479.4323683753,6718.015481714396,763127209.9760091,23505.78076809904,1737191085.2770183,819.6876553142235,285434372.75154257,-8.780462408136108e+97,0.8115899243817299,8.399275693758245e+98,1.3665663452319204e+90,3.363002160780474e+90,3.460021359343569e+86
2015-03-20,1931.771588926964,3457226395.4727535,14.296448978463024,0.0,16900.2880223323,119177866.16107959,3842.911711329776,1992397465.1982965,15329.683983697545,147152.247341955,6729.844713445829,759619406.0925581,23610.47464221433,1694738570.5863364,823.448855867847,280391868.2690299,-8.008009390218115e+97,0.8417696482505655,7.660362678568574e+98,1.2291255307642517e+90,3.0247721453502336e+90,3.112033751304653e+86
2015-03-27,1930.4992038707696,3355542293.404337,14.242643260990876,0.0,16863.044620090477,113402581.715373,3844.8209989815905,1957634699.2847583,15260.8129824658,146052.9752886896,6737.812250241104,738994973.9567758,23674.841051994037,1680647391.3567832,826.2341557253869,266083984.12203342,-7.54382474852878e+97,0.8971517800359942,7.21633325756732e+98,1.1456889053766906e+90,2.819441791324147e+90,2.900779824995292e+86
2015-04-03,1929.1500832575443,3281563086.7758713,14.177213575602519,0.0,16832.807744254456,106913034.65551361,3844.285697305905,1927234099.9809875,15170.81429408682,145904.324394194,6747.716093306706,730516814.4753472,23684.257046737504,1671888895.6675348,828.9478406832566,257732090.61348695,-7.277206416336303e+97,0.9200695712330301,6.961291967153573e+98,1.096855812455007e+90,2.6992677525105424e+90,2.777138887150279e+86
