,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1881.3135291298727,3517816322.9998527,16.47198755729573,,16668.98191760554,144972236.9784919,3652.4817398452146,2090393062.8681788,15877.582183555904,152780.22092778268,6414.785099300301,628248844.3293147,22793.292180915367,1783044291.573764,794.4539460210462,273871341.2375846,-7543812.774032686,0.931324749510134,198991049.98378584,-48912059.77145778,-120368352.75844505,-12384.422800101294
2015-01-09,1885.1070485873774,3511492729.3488307,16.302033899567643,,16684.147791848354,142514153.0691056,3667.3114577915157,2080313826.8157046,15817.244011881143,152510.85693880168,6441.978985702418,638982239.7472888,22858.942033376494,1778254843.5982018,797.058118822326,273767319.29197,-6356684.50169194,0.9258204147112857,179707434.0294324,-41215048.67838328,-101426674.39634721,-10435.556902234672
2015-01-16,1888.8254466831343,3504008992.284725,16.130621282764036,,16698.362147320804,139962482.80368608,3681.928403762254,2070028279.308203,15757.24057319924,152200.3812133669,6468.743227064252,649270266.4007007,22923.371976953626,1772788664.6236193,799.6916561434377,273509612.5296978,-5110454.925210499,0.9206539447712302,158437960.61197284,-33134840.95444927,-81541982.45298035,-8389.666515050023
2015-01-23,1892.4672789173412,3495702121.6759396,15.957901656071758,,16711.62652515267,137345218.33219865,3696.331169963289,2059731223.356836,15697.624761720335,151858.71254119347,6494.913142964939,659201411.3787628,22986.562139276444,1766840417.0316064,802.3506105123662,273128093.2355612,-3804419.2457247633,0.9158204512386937,134888582.7593055,-24666866.874141097,-60703031.22802319,-6245.594600821089
2015-01-30,1896.0337142117924,3486913419.007687,15.784309311942856,,16723.985279048913,134696017.6663145,3710.5223904648597,2049520374.1393282,15638.446688637405,151496.96405310606,6520.566004687766,668883227.218565,23048.54068843675,1760645851.4763987,805.0289329756795,272655816.4961843,-2440720.399195499,0.9112697943014101,108754213.2073699,-15825020.644563226,-38944013.147810675,-4006.859147502984
2015-02-06,1899.527215088709,3477962029.5914216,15.610497917533573,,16735.507280639267,132044403.47966824,3724.504665428044,2039467949.0949514,15579.76116505151,151127.62508219268,6545.822313151797,678418976.4536471,23109.351563087075,1754427276.2809038,807.7190703172524,272128256.1338894,-1024845.6133514036,0.9068870834587849,79713050.82251044,-6644879.948612736,-16352481.77585418,-1682.468348456551
2015-02-13,1902.9485099836188,3469152918.949105,15.437464693087842,,16746.2528241174,129413719.3213714,3738.2746964738963,2029640445.9178073,15521.59241520431,150764.3256522206,6570.782076497764,687900345.2841663,23168.989976529654,1748379195.5929453,810.4108789071618,271583249.4707486,433651.89625141077,0.9025533292147826,47421049.56980261,2811614.7723435573,6919132.882740969,711.8946153419415
2015-02-20,1906.298477365461,3460715013.3703814,15.266337021547885,,16756.28368650887,126816588.54702637,3751.8301267840698,2020062272.5434186,15463.946281090233,150417.23042300038,6595.544180139664,697394333.0616808,23227.394159754323,1742667615.1688056,813.0933539356776,271054214.5756483,1920117.9054391864,0.8981437135284835,11508192.11429039,12449449.526578853,30637009.705296725,3152.172419801611
2015-02-27,1909.5860575706781,3452728831.0338783,15.097605098777894,,16765.726101587075,124249070.45107725,3765.190143543663,2010683228.6176307,15406.919450254154,150088.223943228,6620.229515164258,706932931.1758351,23284.548849170173,1737356111.8824198,815.7589663897743,270561213.2364284,3413342.7585284854,0.8935300885917704,-28418871.513086155,22131106.696127735,54462729.84760784,5603.545925950473
2015-03-06,1912.8261149069765,3445143460.3284993,14.931299780942169,,16774.746162725845,121693540.09449778,3778.390906527695,2001401220.0398932,15350.726380009646,149771.22235272336,6644.980995518765,716525253.2326943,23340.49730823487,1732397723.3184898,818.4040609277913,270111733.4614943,4883642.9414750775,0.888580095852928,-72757159.08883752,31664126.49282094,77922666.55198185,8017.284771187896
2015-03-13,1916.0363172763252,3437726565.4450803,14.76718135133175,,16783.50763387451,119117729.74745998,3791.478840445472,1992056203.5988479,15295.665725492396,149453.0522928131,6669.9692423000315,726132967.8314672,23395.30884182006,1727640556.868124,821.0287990493432,269699824.2229126,6290792.11193559,0.8831734407939213,-121848817.8897283,40787692.34029778,100374972.91227072,10327.350821216474
2015-03-20,1919.2352410208352,3429832072.141379,14.60459339526628,,16792.131701294402,116461110.28599072,3804.5070915346346,1982334678.0768085,15242.08032435788,149107.13986890356,6695.406484446862,735612872.5708271,23449.087080682373,1722677513.4835958,823.6386167058613,269288026.540103,7583430.33678148,0.8772494935041409,-175853774.9284684,49168800.5510559,121000155.74897064,12449.42834373886
2015-03-27,1922.436525566375,3419977168.2871466,14.442037276120175,,16800.60065558629,113603535.45180543,3817.519580061526,1971607820.6995263,15190.349876582874,148678.2440399437,6721.549730201381,744585714.115978,23501.92961179765,1716610657.6500747,826.2517540436176,268756697.73311883,8705242.658821208,0.8709098679327804,-234620950.53625265,56442320.474131525,138899660.11577395,14291.067148449261
2015-04-03,1925.6051713703885,3404557037.864363,14.275827769414438,,16808.17799780571,110251734.83514708,3830.4271103839747,1958575304.6122062,15141.099526488068,148040.14311879585,6748.447302220244,752007836.0918211,23553.207954710302,1707361586.406575,828.9237209022941,267753165.85051668,9614736.919746336,0.8647210847992868,-298512324.79639494,62339228.51761446,153411441.97730002,15784.151155027022
