,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1987.7079,3773080300.0,17.48851,0.0,17944.01,91349630.0,3982.083,1842220200.0,17022.07,142851.88,6676.4663,749105300.0,22221.746,2351420700.0,815.2708,448309500.0,23.411875,0.99710286,44.735115,10.396767,36.698193,-0.82168084
2015-01-09,1996.876,3715191800.0,16.805565,0.0,18041.348,87937730.0,3969.69,1714319100.0,16981.86,133004.55,6674.85,629552450.0,22108.621,2322635800.0,813.25543,408361920.0,-2.084804,1.627014,44.16135,10.392046,36.539593,-1.0070854
2015-01-16,2001.6075,3647257300.0,18.031107,0.0,18094.92,85219020.0,3955.4292,1745200800.0,16897.326,128252.27,6662.1416,622014900.0,22108.82,2276645600.0,810.5171,414797570.0,-0.71275175,1.1622441,49.237953,10.363186,33.545216,-0.96746594
2015-01-23,2002.5406,3633658000.0,20.281422,0.0,18110.441,85903140.0,3934.7622,1833618200.0,16764.107,129997.32,6643.1143,690198340.0,22229.871,2214530300.0,809.24866,447819870.0,7.541272,0.89378273,55.21623,10.367451,37.499863,-0.5155737
2015-01-30,2001.3369,3677516500.0,19.739494,0.0,18105.805,88786776.0,3916.6543,1860860000.0,16653.531,131964.4,6627.5186,747171200.0,22447.785,2156168700.0,813.8108,498602340.0,18.848042,0.91264236,53.42649,10.380097,39.30036,-0.060555343
2015-02-06,1998.4327,3740331500.0,19.060917,0.0,18081.943,93530370.0,3903.6846,1905019800.0,16652.842,133583.88,6626.2095,760665400.0,22711.926,2100618100.0,826.88574,519528200.0,-2.110923,0.8027402,51.299843,10.390249,37.408897,-1.0343587
2015-02-13,1994.6577,3835407600.0,18.486044,0.0,18048.14,96721550.0,3901.2732,1956961000.0,16731.533,138237.73,6644.528,763726700.0,22998.887,2040159900.0,846.5784,507782700.0,-0.745383,0.7994545,50.191353,10.358854,29.887714,-0.98707986
2015-02-20,1992.342,3887709200.0,17.583227,0.0,18022.348,96590104.0,3912.19,1925966800.0,16874.441,142054.67,6680.6167,753032260.0,23192.855,1953596900.0,867.5373,485124450.0,3.00478,0.8377425,51.552876,10.382859,34.243824,-0.7494701
2015-02-27,1994.0183,3880715300.0,16.344929,0.0,18030.262,93947610.0,3940.415,1858760400.0,17069.062,144946.81,6731.501,717805060.0,23304.75,1847540400.0,885.8573,480864030.0,15.847967,0.8310225,47.566345,10.415194,38.054653,0.021163844
2015-03-06,1999.191,3804346400.0,15.001846,0.0,18070.049,88447050.0,3984.0232,1839511800.0,17331.96,146542.64,6787.258,716587000.0,23330.73,1749805200.0,901.7876,471888740.0,-2.1412642,0.96592134,42.956646,10.43885,41.183235,-1.0922126
