,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker
2015-01-02,2072.7344,3826656300.0,16.367214,0.0,17062.105,108240820.0,4064.4746,1809443200.0,17016.521,137164.34,6511.0864,813667900.0,23773.393,2269787600.0,820.03046,412815000.0,18.284218
2015-01-09,2080.513,3776694500.0,15.653898,0.0,17124.766,106444900.0,4058.3542,1700525200.0,16979.855,128743.44,6502.829,704174400.0,23630.031,2231577900.0,819.2704,375166400.0,-1.7814236
2015-01-16,2084.2705,3713403000.0,16.543135,0.0,17158.64,104550530.0,4047.6777,1710781600.0,16903.012,123559.62,6485.358,694388800.0,23600.463,2184629200.0,817.5084,391735100.0,-0.4645931
2015-01-23,2084.2927,3698429200.0,18.418835,0.0,17165.67,105090940.0,4028.58,1779482000.0,16784.049,124232.99,6463.712,750892300.0,23700.404,2125029000.0,816.6462,427280400.0,4.0314546
2015-01-30,2082.1575,3738704000.0,18.018587,0.0,17157.043,107502720.0,4011.9568,1809124400.0,16677.305,125973.586,6449.671,800702660.0,23920.15,2071040600.0,820.4952,476264200.0,13.277774
2015-02-06,2078.368,3797611300.0,17.364399,0.0,17131.951,111478620.0,3999.8843,1848969100.0,16662.56,128012.88,6453.9478,815062460.0,24197.838,2020072800.0,831.50323,487397630.0,-1.3844178
2015-02-13,2074.2456,3889651500.0,16.779764,0.0,17101.318,114642180.0,3997.0222,1896336600.0,16724.604,132244.1,6480.1353,821154200.0,24527.139,1961452500.0,848.374,469349800.0,-0.5594501
2015-02-20,2072.171,3941571600.0,15.956586,0.0,17082.307,115091160.0,4007.9805,1876510300.0,16854.469,136194.89,6523.7803,813866240.0,24771.236,1871771400.0,867.01056,447404300.0,1.4816595
2015-02-27,2074.3442,3938230500.0,14.879966,0.0,17091.83,113084344.0,4037.625,1820973600.0,17037.125,139541.47,6576.6177,782123260.0,24925.043,1762393700.0,884.2705,449084030.0,10.65457
2015-03-06,2080.67,3866111000.0,13.737662,0.0,17130.31,108001840.0,4082.5955,1797832700.0,17284.688,141619.84,6630.216,777713600.0,24966.084,1665133800.0,900.0681,440888500.0,-1.3556329
2015-03-13,2088.8457,3850402300.0,13.32567,0.0,17180.37,106300440.0,4134.1,1816639100.0,17585.236,140858.28,6680.266,807624900.0,24964.049,1607168000.0,915.55646,442024400.0,-1.2757814
2015-03-20,2098.0317,3817656600.0,14.25503,0.0,17237.947,106712880.0,4167.567,1825736800.0,17857.527,139955.8,6719.933,838120200.0,24855.115,1585967900.0,928.95557,426064960.0,-0.23011994
2015-03-27,2107.006,3780977400.0,14.453457,0.0,17293.898,111997190.0,4182.138,1849782000.0,18120.91,137921.81,6746.791,874114900.0,24663.791,1573285100.0,939.88055,434650780.0,4.534397
2015-04-03,2113.5825,3749282300.0,14.282005,0.0,17333.422,116716136.0,4181.1377,1842481500.0,18373.771,136379.03,6763.0522,869297900.0,24503.432,1586566300.0,948.88135,461124380.0,16.422585
2015-04-10,2116.4875,3714315500.0,14.234242,0.0,17348.826,118749700.0,4169.8228,1819239300.0,18544.748,134855.47,6770.1353,849047040.0,24458.707,1624316700.0,956.07227,425788600.0,-1.8632863
2015-04-17,2117.7944,3664465400.0,13.763554,0.0,17353.559,116947510.0,4155.1074,1738974200.0,18671.44,131962.88,6776.203,841876800.0,24735.14,1829166800.0,962.9395,405405760.0,-0.6675797
2015-04-24,2117.643,3614320400.0,13.175062,0.0,17346.021,115896850.0,4146.867,1712751000.0,18774.191,129799.25,6787.373,826571840.0,25374.33,2128958800.0,969.8605,419981000.0,1.4068092
2015-05-01,2117.7402,3587755300.0,12.620226,0.0,17339.355,115305110.0,4153.0664,1727240100.0,18877.607,132216.94,6805.112,815496000.0,26248.393,2373566500.0,975.91315,424005250.0,8.732701
2015-05-08,2118.977,3598709500.0,12.558021,0.0,17338.426,116081464.0,4173.134,1796839000.0,18943.51,136108.08,6826.408,833987400.0,27199.305,2509013500.0,979.6354,420551300.0,-1.3603452
2015-05-15,2121.567,3625950000.0,13.083887,0.0,17343.252,115964504.0,4193.4014,1846702300.0,18907.488,141631.48,6846.5635,917840830.0,27927.201,2514505000.0,978.88116,430041000.0,-0.7634485
2015-05-22,2125.4834,3634610400.0,13.195063,0.0,17359.072,114469030.0,4208.4517,1820129400.0,18831.553,149600.36,6862.4004,921069630.0,28245.191,2427114800.0,974.1369,408671680.0,0.9934508
2015-05-29,2131.0503,3607749000.0,12.710411,0.0,17391.104,110986300.0,4220.6,1778902400.0,18824.23,156388.84,6872.246,876036030.0,28177.232,2292681200.0,969.2129,374527170.0,6.8243084
2015-06-05,2135.8284,3559791000.0,12.769709,0.0,17421.355,107434020.0,4235.0977,1770587400.0,18950.312,161421.34,6876.0327,850265300.0,27926.736,2213253600.0,966.44806,357083330.0,-1.5158619
2015-06-12,2140.388,3525648600.0,13.257405,0.0,17447.967,105612580.0,4246.6396,1780054100.0,19150.379,163248.5,6874.4937,845211000.0,27605.041,2173827800.0,963.7998,363371000.0,-1.3074105
2015-06-19,2143.2954,3485626600.0,13.496536,0.0,17459.725,103838990.0,4249.471,1763216000.0,19308.383,161393.98,6863.5156,824196350.0,27267.953,2145832200.0,959.41284,368131870.0,-0.65117294
2015-06-26,2144.12,3462664000.0,13.699377,0.0,17454.48,105835880.0,4247.207,1787641700.0,19383.166,154179.1,6838.7637,833505340.0,27005.266,2091356500.0,952.67773,405045400.0,1.516219
2015-07-03,2143.9001,3458561300.0,13.2923765,0.0,17440.635,107813960.0,4246.2583,1844556400.0,19445.607,146697.48,6807.3315,820719300.0,26809.373,2038381400.0,947.60596,436858560.0,9.17112
2015-07-10,2141.9297,3488634600.0,14.791892,0.0,17414.93,109627540.0,4239.9355,1849883400.0,19470.975,141170.62,6768.661,809910000.0,26578.818,2031529700.0,943.089,467650500.0,-1.327917
2015-07-17,2138.07,3525176600.0,16.427944,0.0,17376.367,109269580.0,4225.0264,1834584400.0,19407.086,142811.19,6721.664,814460860.0,26220.373,2145747600.0,936.93536,472074020.0,-0.76803035
2015-07-24,2134.0884,3556275000.0,14.792674,0.0,17339.898,108021640.0,4218.774,1804800800.0,19340.871,143754.12,6675.064,778118700.0,25716.414,2228247000.0,933.88885,449063970.0,0.80396533
2015-07-31,2130.9224,3592927500.0,12.816143,0.0,17307.594,106727580.0,4234.7563,1815691600.0,19351.03,140627.47,6635.162,745800260.0,25254.176,2204245200.0,936.87555,403089280.0,5.861871
2015-08-07,2128.9304,3646985700.0,12.143939,0.0,17277.145,106692810.0,4263.223,1838886500.0,19392.844,137604.2,6603.8086,768282500.0,24896.965,2129940500.0,943.4136,400576320.0,-1.6669221
2015-08-14,2128.459,3699730700.0,12.253808,0.0,17245.77,106167330.0,4289.7134,1864276600.0,19456.031,137958.8,6584.2964,816564030.0,24651.781,2001975600.0,951.74457,407080700.0,-0.61992174
2015-08-21,2128.5757,3747807000.0,12.592269,0.0,17205.49,106602100.0,4304.345,1843464400.0,19515.879,139797.84,6573.557,838756030.0,24467.86,1887877900.0,957.6572,399460930.0,1.7689266
2015-08-28,2127.703,3785211600.0,14.943356,0.0,17147.99,109313970.0,4297.245,1846492200.0,19498.646,139869.53,6560.181,818261300.0,24235.37,1816370600.0,956.93634,379708960.0,9.855609
2015-09-04,2120.671,3890523100.0,24.105412,0.0,17043.184,121273930.0,4251.8823,1996236700.0,19195.746,150692.45,6526.986,912343360.0,23808.81,1872112400.0,945.2685,437653700.0,-1.314036
2015-09-11,2105.9287,3997980200.0,27.509912,0.0,16888.209,133767690.0,4182.598,1964779900.0,18673.906,160618.67,6469.092,937947200.0,23225.33,1978819600.0,926.9851,433686180.0,-1.2398655
2015-09-18,2085.9822,4050813400.0,24.84107,0.0,16706.791,139289970.0,4114.7603,1896010200.0,18092.139,165554.23,6393.1055,882318700.0,22529.03,2070224400.0,905.0916,436388540.0,-0.115884475
2015-09-25,2063.122,4076585700.0,21.169123,0.0,16520.223,143438980.0,4073.0952,1878706700.0,17613.434,161792.22,6307.7817,879391360.0,21882.941,2079605200.0,884.76,435206560.0,4.9468
2015-10-02,2039.1527,4080875500.0,19.475666,0.0,16341.296,143387710.0,4058.2393,1879553700.0,17278.576,156906.47,6222.8755,890628000.0,21531.432,2077372300.0,869.61786,419249440.0,16.776634
2015-10-09,2016.8435,4086022700.0,20.47772,0.0,16191.685,142356300.0,4048.8635,1950003500.0,17049.553,152117.47,6147.413,931704900.0,21403.082,2077401900.0,857.58606,478766100.0,-2.2606895
2015-10-16,1999.7095,4105925400.0,18.830328,0.0,16092.591,140218430.0,4048.8354,1954467100.0,16989.447,148063.14,6094.983,932998460.0,21448.832,2069017200.0,851.47,538021100.0,0.10017595
