,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2078.8167,3699575600.0,16.281136,0.0,17361.742,100557230.0,4242.4937,1687792400.0,17656.113,132753.36,6292.7524,794566800.0,23309.168,2116477800.0,823.0501,326617100.0,1.8410131,0.79010725,71.48039,14.019995,-1.5283779,-0.9859048
2015-01-09,2086.8022,3456614000.0,16.679667,0.0,17495.74,93909680.0,4246.914,1583462000.0,17682.428,123790.4,6303.6235,625009150.0,23487.379,1988653800.0,832.69336,361956500.0,-1.1017607,1.0274966,4.273028,2.5161464,-7.171761,-0.99197775
2015-01-16,2087.956,3531819800.0,18.745653,0.0,17553.71,92555690.0,4245.183,1737901200.0,17633.31,137187.05,6309.868,736044860.0,23793.121,2087211000.0,831.82764,444754750.0,-1.8209233,1.0027359,-15.6364975,1.3532305,-0.48786968,-1.0044447
2015-01-23,2081.8013,3702797800.0,21.083338,0.0,17510.818,94671280.0,4233.5703,1829111800.0,17513.857,145466.42,6310.491,847510400.0,24172.902,1979091600.0,837.6335,457481380.0,1.5216868,0.93906516,-10.829064,13.661439,41.549107,-0.9600031
2015-01-30,2078.961,3785571800.0,19.241583,0.0,17469.152,96980824.0,4229.3086,1793532900.0,17381.395,136542.03,6357.483,873071200.0,24481.45,2012434000.0,864.1198,505491300.0,11.203423,0.9229921,56.46485,25.825788,57.907265,0.023663651
2015-02-06,2076.3447,3833166000.0,18.941774,0.0,17406.693,100978056.0,4230.5386,1849632000.0,17304.812,140042.2,6442.0522,853890050.0,24786.389,1919471700.0,899.5398,462781760.0,-1.2272801,0.8722324,33.870174,1.8542407,-6.422778,-1.0073102
2015-02-13,2078.5059,3916633900.0,18.425165,0.0,17421.16,101292410.0,4238.6895,1888537300.0,17294.764,152398.1,6523.8354,857004900.0,24929.86,1884353500.0,921.7331,438841660.0,-2.1424644,0.8455662,-7.2432904,-0.3940972,-8.629505,-0.98915225
2015-02-20,2087.7546,3870486500.0,17.280802,0.0,17532.164,99225190.0,4259.1567,1815162500.0,17354.602,148328.9,6570.9917,839463500.0,24859.682,1763262800.0,926.9389,426382140.0,-1.1109451,0.8337931,-9.024616,6.4510655,6.3103423,-0.98408467
2015-02-27,2103.0002,3766000600.0,15.887125,0.0,17688.148,96933736.0,4295.7373,1741627500.0,17487.791,152884.3,6594.8716,789948350.0,24831.613,1584635500.0,930.64484,461104220.0,16.369795,0.81585187,29.382832,36.58012,72.82688,0.05064318
2015-03-06,2118.5862,3693385700.0,14.448617,0.0,17830.16,94588890.0,4339.4756,1771234600.0,17704.018,152606.06,6613.7847,830639900.0,24881.799,1531073900.0,944.73615,423986460.0,0.36156705,0.84899145,32.974373,5.0373807,-0.571218,-0.9968659
2015-03-13,2128.0762,3671274000.0,14.209268,0.0,17894.309,93227500.0,4376.467,1792937300.0,17979.9,146090.97,6625.1953,858708900.0,24817.047,1583707500.0,960.51825,443830240.0,0.07011926,0.89492834,-7.4098334,0.9225864,-6.88218,-0.9924718
2015-03-20,2124.8743,3675063600.0,15.795671,0.0,17820.346,94868970.0,4388.476,1780297600.0,18268.615,151908.11,6594.4497,870168300.0,24477.885,1626839200.0,970.76904,396246620.0,0.35429752,0.8524737,-11.335001,1.7258569,-1.0395982,-1.0204872
2015-03-27,2121.8677,3762861300.0,15.12811,0.0,17746.69,103641040.0,4389.362,1832140700.0,18567.68,143772.36,6582.352,925452500.0,24259.018,1639875500.0,980.988,457252700.0,8.333536,0.77906036,14.9204445,21.855429,45.775978,-0.3793466
2015-04-03,2119.0437,3718402600.0,14.862313,0.0,17695.828,105532984.0,4385.2427,1793349900.0,18861.07,148020.17,6605.52,889138100.0,24360.627,1617334800.0,983.5215,481334430.0,2.9950833,0.71781576,65.39456,11.142222,11.629376,-0.9798008
2015-04-10,2116.4763,3648016400.0,14.981299,0.0,17671.008,104169650.0,4377.4536,1758484600.0,19089.596,143965.45,6612.763,858290400.0,24802.445,1769723400.0,984.4169,361205000.0,-1.0111825,0.75606835,-7.2749147,1.6497167,-4.018101,-0.9912378
2015-04-17,2117.668,3588432100.0,14.196286,0.0,17700.424,100936670.0,4374.9985,1631210800.0,19263.273,136103.52,6640.944,862761700.0,25952.402,2502747000.0,998.44604,410573020.0,-1.7902466,0.7464355,-18.141428,0.89141995,-0.790811,-1.0050207
2015-04-24,2122.597,3594766000.0,13.539188,0.0,17770.438,100547110.0,4381.471,1672336500.0,19398.725,140486.45,6691.471,840883100.0,27369.719,2814741800.0,1013.48737,456327000.0,0.9277221,0.7052045,-8.186341,15.428827,32.20934,-0.9587979
2015-05-01,2130.026,3584961800.0,12.91492,0.0,17839.11,100585060.0,4400.057,1712504000.0,19512.096,156402.45,6737.027,829513400.0,28137.53,2577383700.0,1015.8938,415177060.0,10.382569,0.65444195,62.31006,25.98809,65.36632,0.056154113
2015-05-08,2136.3545,3655966700.0,13.083586,0.0,17872.344,102202940.0,4424.8467,1824166700.0,19586.75,150695.47,6752.774,866557900.0,28409.176,2482641700.0,1005.4732,417051300.0,-1.2099321,0.62064606,26.132362,0.871175,-7.154367,-1.0097711
2015-05-15,2139.162,3673217000.0,13.861408,0.0,17868.705,101016870.0,4440.8096,1839505800.0,19580.596,162679.55,6735.0796,1009425000.0,28009.773,2302739200.0,984.3294,446168800.0,-1.7856247,0.69059885,-7.535117,-1.0606859,-9.145172,-0.99142206
2015-05-22,2141.565,3598681900.0,13.527655,0.0,17885.09,99057736.0,4449.201,1748337300.0,19527.666,175305.69,6712.4834,939205950.0,27441.3,2124228200.0,975.1539,371953500.0,-0.5257257,0.70307773,-6.399154,6.8579755,3.8303797,-0.95744675
2015-05-29,2146.9233,3496615000.0,12.700845,0.0,17944.957,96240030.0,4460.3423,1705717500.0,19501.934,171400.92,6707.757,858751170.0,27219.564,1980523500.0,989.61926,343644770.0,13.094258,0.683704,37.21871,43.87753,76.92364,0.0527575
2015-06-05,2150.574,3483979800.0,13.268471,0.0,17966.127,96499440.0,4474.2534,1739168400.0,19560.51,178191.42,6716.69,864025800.0,27358.11,2188677000.0,1004.3888,361817920.0,1.1641849,0.7453615,69.62308,-1.5276282,-4.4838686,-0.99227345
2015-06-12,2150.676,3455361000.0,13.985505,0.0,17925.93,95436930.0,4485.8286,1754667900.0,19695.564,172737.77,6706.855,869804400.0,27456.3,2202464300.0,996.22675,391872670.0,-0.164601,0.6886585,-8.154036,-1.7050598,-7.6023426,-0.9943316
2015-06-19,2147.2385,3412044500.0,13.995817,0.0,17852.54,94452850.0,4488.351,1704755200.0,19844.21,167541.97,6665.4375,829198700.0,27263.62,2161599200.0,974.3184,368668770.0,0.077350914,0.61450946,-17.875237,1.8612576,-2.3983436,-1.0063897
