,trade_Trade Policy EMV Fraction,vix_Volume,sp500_Volume,hsi_Close,n100_Volume,ftse_Volume,infectious_daily_infect_emv_index,GPR,Overall EMV Tracker,sp500_Close,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,hsi_Volume,n100_Close,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2015-01-02,0.01568332691205203,0.0,3343427487.339652,23913.94656461361,490533460.6651393,622090434.6983556,0.6449405576442733,2.4467437711598534e+34,-2.2579924090135198e+27,2034.0789635029973,18.113222632877207,17613.724694016917,98964443.83988294,4204.320031366313,1678745210.0250263,16781.789660418053,146397.96736495517,6555.698976887894,1851075362.5186086,852.1389417055655,-2.2523712910312397e+27,-1.0566486507085425e+27
2015-01-09,0.016968549651749504,0.0,3486683567.009016,24048.018089657005,522948304.0865356,676974016.230529,0.5796588403745542,1.5925332712862616e+34,-1.472380592510958e+27,2036.566343490366,18.148668474532663,17628.53432323314,103185569.24801566,4210.106914367885,1737836766.4747865,16997.78604723391,150268.7695666561,6588.607181537056,1867366238.5811143,860.0869442999738,-1.464057339606695e+27,-6.868291292005719e+26
2015-01-16,0.017713240392209395,0.0,3654218163.2989593,24206.586864385456,559906809.9639181,719518637.3567146,0.44753157223095863,1.044453818575056e+34,-9.683490336011927e+26,2037.3475771483872,18.30152165437419,17621.150068246643,109376032.56548646,4215.216657243771,1801266090.0600324,17173.300415196885,153139.1256086062,6638.7553338851785,1790045531.7333162,875.1461955742334,-9.582341342293703e+26,-4.4953370211567486e+26
2015-01-23,0.017610253286694227,0.0,3741021537.272689,24384.611756880746,590171268.8177345,744765012.2915944,0.4041681732065595,6.929272350479743e+33,-6.451077809451734e+26,2041.6590323729188,17.922331780460752,17635.280175768752,109354068.24955088,4234.902359041662,1830758366.096091,17410.089902045765,152402.14534850005,6706.319619915599,1727277244.0132656,892.6374695139767,-6.337851516072597e+26,-2.9732585739818642e+26
2015-01-30,0.01881309635237509,0.0,3860981347.603383,24468.270236311757,577380951.6976647,751027048.9546077,0.4409036203917712,4.675971302410447e+33,-4.379430606047384e+26,2043.8843414006164,17.793370788614553,17641.565950441065,111788942.01868616,4245.90076259816,1895534479.033063,17625.92091745655,155630.3181528919,6748.29480160803,1534785117.3132377,906.2709800595624,-4.257869413568164e+26,-1.9974823816370558e+26
2015-02-06,0.021743982046211793,0.0,3839035184.6450615,24542.95914587388,570941312.3086977,747556892.579624,0.5650559446933926,3.232900195618606e+33,-3.0530432067073766e+26,2055.8355567301805,17.026968793736412,17742.80942315396,102877863.78112139,4276.353204100054,1886451598.8218546,17831.360349706767,155268.51961810316,6789.744083290478,1361483308.2560053,919.8583332903432,-2.925543298584246e+26,-1.3724519537909648e+26
2015-02-13,0.022270975751329445,0.0,3737938880.7170057,24589.145364346332,578435769.1001744,763825594.5851388,0.6193999645444653,2.3100146071001555e+33,-2.2051328465413682e+26,2067.8051643758995,16.20614141322414,17827.379754617057,95831898.88722578,4316.294018780061,1847730554.14102,18072.60489029126,157444.21059493092,6818.148478067336,1172473941.4452882,933.1122315740126,-2.0732260918661306e+26,-9.726067639501643e+25
2015-02-20,0.02331569549935639,0.0,3678617090.029778,24615.443943284175,566952559.7375207,785817602.325422,0.6107678001226995,1.7210857439916522e+33,-1.6644063132720917e+26,2073.881025005752,15.687060690025614,17873.168077282415,90921268.73136953,4342.632058052792,1790010191.2933693,18344.850007794306,158691.93003375834,6835.164701908368,949619263.2663783,946.292789288014,-1.5290696824375383e+26,-7.173281879504368e+25
2015-02-27,0.025086646686774707,0.0,3698402967.930686,24627.131026991206,550429047.3330224,812087725.7402767,0.6314180923184265,1.3465411099872405e+33,-1.3208808132601137e+26,2072.616524184761,15.444141846593835,17865.119941213707,81934796.23065217,4348.826365859632,1737992883.42727,18618.66282008605,162400.5247075999,6835.857319218298,1196655280.0102122,959.2135178805202,-1.1827350458671344e+26,-5.548531875439957e+25
2015-03-06,0.02512082740447738,0.0,3748096423.597888,24598.41910210505,545940356.0913885,824370599.5245082,0.6854595861594859,1.1096058269016422e+33,-1.1039387725850747e+26,2064.9220783850096,15.620897086631587,17803.20240139921,69135471.3927345,4336.595572554779,1642414545.056499,18855.58440166473,163630.5370357305,6814.0735095051605,1382364102.8946104,969.3122375398544,-9.633759381953997e+25,-4.519458622442466e+25
2015-03-13,0.02342509924381841,0.0,3776383717.414356,24655.45521193672,553402449.6407394,851704418.8992947,0.6036773693513666,9.609838310039219e+32,-9.682376100949727e+25,2055.9126432250087,15.880622350317875,17730.265300686966,47521801.90845922,4311.7931939760765,1491679441.051695,19068.305717454143,168147.0991730311,6772.454534950821,1520518770.208757,977.0693960755357,-8.255030136441283e+25,-3.872659223620218e+25
2015-03-20,0.02404032540410675,0.0,3859909886.55236,24877.80118546133,581192962.9816905,907207155.2023072,0.46373398208115424,8.690222173840156e+32,-8.846629069068475e+25,2047.3650249456693,16.115153670530603,17653.27185337478,12727300.544128805,4286.341604572195,1269073361.4694664,19242.652441799204,160712.74588054395,6736.941528469984,1655136299.8519623,982.9641677350846,-7.39907680472538e+25,-3.471108228618511e+25
2015-03-27,0.02271012062623559,0.0,3604264062.2964306,25199.45429958627,532597038.6317228,860145317.5534184,0.3236871498088715,8.133961174879085e+32,-8.345197603156361e+25,2026.6371881230077,16.9672437705484,17481.221305582112,-86237370.70010358,4226.442978860947,735342313.3444134,19352.2490599891,157902.78180788574,6644.080751770952,1719552010.7751212,986.0021669923638,-6.878346336665717e+25,-3.2268193990418314e+25
2015-04-03,0.02198551575921729,0.0,3467514560.0082636,25662.435023737435,505008039.482391,837663844.884522,0.24757362830774263,7.810539850322628e+32,-8.058032600503223e+25,1999.011187220762,18.196947942111155,17262.79936072505,-222992789.9858169,4145.285986417933,13374749.645297885,19473.903192726655,150997.20535386266,6508.848520587801,1805744769.2481632,989.778587879109,-6.572402467784916e+25,-3.083292806631246e+25
2015-04-10,0.021266179484413214,0.0,3422378037.4407406,26359.154446461296,492920692.6809344,835277753.1924646,0.22019440569549528,7.636142092703739e+32,-7.908038946031621e+25,2036.0237409972392,16.30477737771856,17533.795075159964,-101682776.76635897,4250.280693834441,479855343.0791104,19602.02680609494,153337.07591205993,6697.654458227162,2492141158.0401173,1011.2310882468835,-6.403902193051857e+25,-3.004244743529995e+25
2015-04-17,0.02242716838414683,0.0,3430323826.248322,26871.46690570684,506197499.8310954,839467029.1981882,0.23607506907645837,7.556935736165611e+32,-7.84570068393411e+25,2059.8092733439485,15.155991367869696,17699.966705911374,-23882667.121049806,4320.956361635113,994009023.0891038,19667.70717670007,159089.85033434074,6807.839030281353,3008358852.770173,1030.053240893341,-6.32317112121123e+25,-2.9663716013574197e+25
2015-04-24,0.026037805614455137,0.0,3398668102.9418516,27225.48685955752,474056886.3823604,856149527.817439,0.2983734410769725,7.538340188449929e+32,-7.83920939136639e+25,2079.292441683556,14.259377880311778,17840.76350110377,21442476.748326644,4385.465398064556,1310244558.3026452,19735.02090442169,159004.29971586287,6880.435208428122,3504469825.5821843,1054.4836886565997,-6.29829986278443e+25,-2.9547038173810932e+25
2015-05-01,0.02691642819309243,0.0,3371458180.75583,27410.316695818598,450325663.5575317,884622943.1747286,0.41950969977266805,7.558135562432254e+32,-7.868125961266132e+25,2091.062222372019,13.75600038468809,17933.540650755927,47282890.93293548,4419.693469141448,1509672825.3911467,19743.99799541873,162762.71995899937,6914.718073129488,4217816285.2674026,1086.9906730455762,-6.308785276168378e+25,-2.9596228100657444e+25
2015-05-08,0.02624149754683415,0.0,3342546240.850033,27462.864605318515,430268314.15005827,922295089.4489186,0.533651383891789,7.602038297159284e+32,-7.919311060809376e+25,2099.349751887509,13.463418640471293,18008.050822858033,64280702.630112424,4442.020311977204,1640239597.9317071,19794.12843857774,168235.36493371826,6934.475262595169,3419233747.610256,1050.3742104236367,-6.341447740386468e+25,-2.974945660646659e+25
2015-05-15,0.023878377617008614,0.0,3302157050.5496473,27490.364009156197,413898883.150883,867121144.5232484,0.5695707737643735,7.660860423496567e+32,-7.984312225301134e+25,2104.2495718191744,13.291250953290167,18045.779165792443,75176037.13528936,4460.989535016689,1703130400.2415252,19925.925519955454,171014.73765190743,6931.498055153371,2940158150.519033,1025.8582891922924,-6.38780978305324e+25,-2.996695356188853e+25
2015-05-22,0.02188619987589687,0.0,3303702311.2032046,27449.34481282014,413588796.5835673,844499867.2922721,0.6264179940692525,7.728685631447609e+32,-8.057686205646499e+25,2105.4162490317867,13.301133569876729,18037.989581301634,79491478.21378253,4473.2655489191075,1773192166.227873,20094.971378613158,172295.4663478213,6922.458981925055,2697690322.671081,1010.4640199754704,-6.442412992378586e+25,-3.022311207220074e+25
2015-05-29,0.02189830734249929,0.0,3451530163.3261185,27297.541206374866,445568456.9647167,866320387.6975348,0.7155261009672637,7.80169818935729e+32,-8.135921808643244e+25,2102.4193415537866,13.545032512224939,17991.25988496711,83954025.17426789,4474.7311724237425,1888873511.2741191,20228.73139257641,179712.63705520408,6891.3232660801295,2614406515.6446934,995.8451814690953,-6.501737367668318e+25,-3.05014188564938e+25
