,trade_Trade Policy EMV Fraction,vix_Volume,infectious_daily_infect_emv_index,GPR,hsi_Close,hsi_Volume,ftse_Volume,sp500_Volume,Overall EMV Tracker,sp500_Close,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,n100_Close,n100_Volume,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2015-01-02,0.022047042992225103,0.0,0.6,85.2519957605134,23721.300781,1801713100.0,367562200.0,2708700000.0,-5.5506771483417445,2058.199951,17.790001,17832.990234,76270000.0,4230.240234000001,1435150000.0,16151.887113736288,131583.8144563493,6547.799805,835.969971,333050000.0,78.98333928986672,95.09545479992829
2015-01-09,0.0220470429922251,0.0,0.91,85.2519957605134,23919.949219,2334809800.0,738488500.0,3364140000.0,-10.422868443323113,2044.810059,17.549999,17737.369141,93390000.0,4213.279785,1715830000.0,17197.730469,155200.0,6501.100098,824.3900150000002,499788100.0,94.69999885628451,103.07691805195725
2015-01-16,0.0220470429922251,0.0,0.0,85.2519957605134,24103.519531,1716809500.0,805741900.0,4056410000.0,-15.645809518855142,2019.420044,20.950001,17511.570313,140480000.0,4142.1401369999985,1970520000.0,16864.160156,171100.0,6550.299805,862.820007,592856800.0,112.0182463802706,111.83718274280574
2015-01-23,0.022047042992225103,0.0,0.0,85.2519957605134,24850.449219,2375624000.0,839368300.0,3573560000.0,-21.229384053189563,2051.820068,16.66,17672.599609,97110000.0,4278.1401369999985,1653830000.0,17511.75,132500.0,6832.799805,911.72998,804870700.0,130.9899761130048,121.40184544691891
2015-01-30,0.0220470429922251,0.0,0.0,85.2519957605134,24507.050781,1438942200.0,799357300.0,4568650000.0,-27.183475724578088,1994.98999,20.969999,17164.949219,168560000.0,4148.430176,2264230000.0,17674.390625,173500.0,6749.399901999999,906.280029,545062800.0,151.66708230566678,131.79650273874188
2015-02-06,0.022047042992225103,0.0,0.91,85.25199576051338,24679.390625,1440536200.0,648533700.0,4232970000.0,-33.51796821127242,2055.469971,17.290001,17824.289063,93610000.0,4228.680176,2034060000.0,17648.5,142500.0,6853.399901999999,921.280029,500717100.0,174.10145920943626,143.04675119271957
2015-02-13,0.022047042992225103,0.0,0.93,85.25199576051338,24682.539063,1342650600.0,734854200.0,3527450000.0,-40.242745191524236,2096.98999,14.69,18019.349609,85230000.0,4384.029785,1942240000.0,17913.359375,162000.0,6873.5,933.210022,672765400.0,198.3450010754927,155.17818738329663
2015-02-20,0.0220470429922251,0.0,0.46,85.2519957605134,24682.539063,1342650600.0,764028800.0,3281600000.0,-47.36769034358521,2110.300049,14.3,18140.439453,111390000.0,4443.049805,1761140000.0,18332.300781,146300.0,6915.200195,947.299988,591615200.0,224.44960215501544,168.21640788491743
2015-02-27,0.022047042992225103,0.0,0.46,85.2519957605134,24823.289063,1504213700.0,881579100.0,3547380000.0,-54.90268734570695,2104.5,13.34,18132.699219,101110000.0,4440.669922,1955590000.0,18797.939453,174700.0,6946.700195,973.01001,489745900.0,252.4671566991837,182.18700927202622
2015-03-06,0.0220470429922251,0.0,1.36,85.25199576051341,24164.0,1620647200.0,748637900.0,3853570000.0,-62.85761987614107,2071.26001,15.2,17856.779297,113350000.0,4399.22998,1918220000.0,18971.0,147100.0,6911.799805,980.690002,485686800.0,282.44955895917667,197.1155881190674
2015-03-13,0.0220470429922251,0.0,0.89,85.25199576051341,23823.210938,1538401000.0,710321200.0,3498560000.0,-71.2423716131392,2053.399902,16.0,17749.310547,113620000.0,4314.899902,1851410000.0,19254.25,227800.0,6740.600098000001,986.039978,451240400.0,314.44870318617336,213.02774100048555
2015-03-20,0.022047042992225103,0.0,0.46,85.25199576051341,24375.240234,2006074900.0,1419421400.0,5554120000.0,-80.06682623495294,2108.100098,13.02,18127.650391,333870000.0,4458.540039,2825670000.0,19560.220703,137500.0,7022.5,996.900024,962578600.0,348.51648363135223,229.94906449072482
2015-03-27,0.022047042992225103,0.0,0.0,85.2519957605134,24486.199219,1610426400.0,736697300.0,3008550000.0,-89.34086741983396,2061.02002,15.07,17712.660156,103220000.0,4332.8598630000015,1678650000.0,19285.630859,178300.0,6855.0,981.960022,427087100.0,384.7047945458911,247.90515516422897
2015-04-03,0.022047042992225103,0.0,0.0,85.2519957605134,24486.199219,1610426400.0,736697300.0,-14124828614.482021,-99.07437884603382,1675.7592053217004,33.79570249477882,14815.704148188248,-1512620374.604388,3214.789675071728,-5925633893.19256,19435.080078,104700.0,4887.925719610408,901.0395118109968,-3382671535.1348057,423.06553018096747,266.92160959544174
2015-04-10,0.0220470429922251,0.0,0.0,85.2519957605134,27272.390625,3341162700.0,801926500.0,3156200000.0,-109.27724419180413,2102.060059,12.58,18057.650391,116410000.0,4422.02002,244120000.0,19907.630859,136200.0,7089.799805,1023.98999,365709700.0,463.65058478775836,287.02402435880674
2015-04-17,0.022047042992225103,0.0,0.0,85.2519957605134,27653.119141000006,3105824800.0,776519900.0,3627600000.0,-119.95934713539631,2081.179932,13.89,17826.300781,138860000.0,4351.799805,1985190000.0,19652.880859,188200.0,6994.600098000001,1001.580017,732890300.0,506.5118526174406,308.2379960287675
2015-04-24,0.022047042992225103,0.0,0.0,85.2519957605134,28060.980469,2414041400.0,796682000.0,3375780000.0,-131.1305713550616,2117.689941,12.29,18080.140625,119130000.0,4536.779785,1895150000.0,20020.039063,139700.0,7070.700195,1013.619995,431666300.0,551.7012279211899,330.5891211797674
2015-05-01,0.0220470429922251,0.0,0.45,86.28045586252674,28060.980469,2414041400.0,838058900.0,3379390000.0,-142.80080052905106,2108.290039,12.7,18024.060547,91700000.0,4479.060059,1854400000.0,19531.630859,154100.0,6986.0,1432.0891750409398,7647297643.286703,599.2706049501812,354.1029963862495
2015-05-08,0.022047042992225103,0.0,0.92,85.25328133564093,27577.339844,1817614400.0,1385914100.0,3399440000.0,-154.97991833561576,2116.100098,12.86,18191.109375,94960000.0,4458.649902,1978760000.0,19379.189453,181600.0,7046.799805,989.409973,411582400.0,649.2718779555892,378.8052182226561
2015-05-15,0.0220470429922251,0.0,0.46,85.25328133564092,27822.279297000005,1754137700.0,703827400.0,3092080000.0,-167.6778084530066,2122.72998,12.38,18272.560547,108220000.0,4494.290039,1667260000.0,19732.919922,178400.0,6960.5,979.849976,333386700.0,701.7569411885881,404.72138326342815
2015-05-22,0.0220470429922251,0.0,0.46,85.25328133564092,27992.830077999995,1899363800.0,621811200.0,2571860000.0,-180.90435455947443,2126.060059,12.13,18232.019531,78890000.0,4527.160156,1544920000.0,20264.410156,141500.0,7031.700195,1006.22998,251918300.0,756.7776889003517,431.87708808300624
2015-05-29,0.022047042992225103,0.0,2.34,85.25328133564092,27424.189452999995,3050185700.0,1177305700.0,3927390000.0,-194.66944033327013,2107.389893,13.84,18010.679688,139810000.0,4508.25,2024170000.0,20563.150391,241100.0,6984.399901999999,983.52002,596367400.0,814.3860153420528,460.29792925583
2015-06-05,0.0220470429922251,0.0,0.0,85.25328133564092,27260.160156,2228885200.0,754508500.0,3243690000.0,-208.98294945264456,2092.830078,14.21,17849.460938,89140000.0,4477.189941,1842890000.0,20460.900391,165800.0,6804.600098000001,961.289978,424837300.0,874.633814764863,490.00950335633866
2015-06-12,0.0220470429922251,0.0,0.0,85.25328133564093,27280.539063,1734157900.0,592427400.0,2719400000.0,-223.85476559584873,2094.110107,13.78,17898.839844,83760000.0,4453.790039,1428900000.0,20407.080078,189900.0,6784.899901999999,958.409973,338535300.0,937.5729814199512,521.0374069589709
2015-06-19,0.0220470429922251,0.0,0.0,85.25328133564092,26760.529297,2497578900.0,1273130400.0,4449810000.0,-239.29477244113355,2109.98999,13.96,18015.949219,258300000.0,4513.419922,2468310000.0,20174.240234,160900.0,6710.5,946.02002,756564800.0,1003.2554095584856,553.4072366381645
2015-06-26,0.022047042992225103,0.0,0.0,85.25328133564092,26663.869141,2473398200.0,597278600.0,5025470000.0,-255.31285366674956,2101.48999,14.02,17946.679688,158120000.0,4484.279785,3843810000.0,20706.150391,140100.0,6753.700195,989.299988,379173200.0,1071.732993431633,587.1445889683564
2015-07-03,0.022047042992225103,0.0,0.58,85.25328133564092,26064.109375,1888925900.0,448998200.0,-279796531.50613785,-271.9188929509471,2019.8910078223525,12.695479350423568,17424.569812837923,-818857506.433841,4123.481081893495,3636878160.2559605,20539.789063,145800.0,6585.799805,943.789978,312539800.0,1143.0576272905614,622.2750605239844
2015-07-10,0.0220470429922251,0.0,0.0,85.25328133564093,24901.279297,3230873300.0,699409100.0,3065070000.0,-289.122773971976,2076.6201170000004,16.83,17760.410156,85800000.0,4420.149902,1590230000.0,19779.830078,193000.0,6673.399902,962.419983,684863400.0,1217.2812053864373,658.8242478794866
2015-07-17,0.022047042992225103,0.0,0.5,85.25328133564092,25415.269531,1279509000.0,584213200.0,3362750000.0,-306.93438040808576,2126.639893,11.95,18086.449219,106510000.0,4661.600098,1854450000.0,20650.919922,118100.0,6775.100098000001,1004.289978,340521800.0,1294.4556219704245,696.8177476093006
2015-07-24,0.022047042992225103,0.0,0.0,85.25328133564092,25128.509766,1134624200.0,644793200.0,3870040000.0,-325.36359593752536,2079.649902,13.74,17568.529297,103470000.0,4557.370117,2004380000.0,20544.529297,110700.0,6579.799805,987.469971,343896300.0,1374.6327712936845,736.2811562878637
2015-07-31,0.0220470429922251,0.0,0.0,85.25328133564092,24636.279297,1363737600.0,958422600.0,3681340000.0,-344.42030423854317,2103.840088,12.12,17689.859375,106120000.0,4588.910156,1926360000.0,20585.240234,175400.0,6696.299805,987.830017,445751600.0,1457.864547607377,777.2400704896129
2015-08-07,0.022047042992225103,0.0,0.0,85.2532813356409,24552.470703,1106892000.0,595585900.0,3602320000.0,-364.1143889893872,2077.570068,13.39,17373.380859,81800000.0,4520.080078,2008360000.0,20724.560547,147000.0,6718.5,998.299988,475949900.0,1544.2028451626616,819.7200867889849
2015-08-14,0.0220470429922251,0.0,0.0,85.25328133564092,23991.029297,1198083100.0,577612000.0,2795590000.0,-384.4557338683046,2091.540039,12.83,17477.400391,82120000.0,4530.740234000001,1487630000.0,20519.449219,139400.0,6550.700195,960.299988,333299300.0,1633.6995582106952,863.746801760416
2015-08-21,0.0220470429922251,0.0,0.0,85.25328133564092,22409.619141,2490613900.0,807243600.0,5018240000.0,-405.4542225535413,1970.890015,28.030001,16459.75,225170000.0,4197.27002,2768540000.0,19435.830078,189900.0,6187.700195,896.2800289999999,486135800.0,1726.4065810026332,909.3458119783418
2015-08-28,0.0392156862745098,0.0,0.48,85.25328133564093,21612.390625,3009422400.0,868831700.0,3949080000.0,31.47818374633789,1988.869995,26.049999,16643.009766,131790000.0,4329.120117,1936540000.0,19136.320313,205200.0,6247.899902,904.330017,369135600.0,20.829575502112576,111.38439574580171
2015-09-04,0.022068057243488603,0.0,0.47,85.25328133564093,20840.609375,2120922200.0,743172100.0,3167090000.0,1507.81046679911,1921.219971,27.799999,16102.379883,127270000.0,4184.720215,1574720000.0,17792.160156,171100.0,6042.899902,874.580017,463950500.0,-5767.248654396002,-2601.72965749143
2015-09-11,0.022068057243488606,0.0,0.46,85.25328133564092,21504.369141,2371639300.0,584620900.0,3218590000.0,4605.0116083725525,1961.050049,23.200001,16433.089844,104630000.0,4323.22998,1686190000.0,18264.220703,201500.0,6117.799805,876.2199710000001,533398700.0,-17922.045304796848,-8301.588558287578
2015-09-18,0.022068057243488606,0.0,0.46,85.25328133564092,21920.830078,2054752700.0,1508172800.0,6021240000.0,9904.550590234443,1958.030029,22.280001,16384.580078,341690000.0,4323.8598630000015,3272150000.0,18070.210938,172000.0,6104.100098,875.909973,758938200.0,-38727.77757180556,-18059.784517196866
2015-09-25,0.022068057243488603,0.0,0.0,85.25328133564092,21186.320313,1728956700.0,837519200.0,3721870000.0,17987.89639415255,1931.339966,23.620001,16314.669922,130790000.0,4224.740234000001,2050530000.0,17880.509766,184800.0,6109.0,865.599976,398108200.0,-70468.66265152725,-32947.909744773504
2015-10-02,0.022068057243488606,0.0,0.0,85.2532813356409,21506.089844,2161215700.0,861807200.0,4378570000.0,29436.51800189464,1951.359985,20.940001,16472.369141,136870000.0,4267.450195,2183320000.0,17725.130859,125300.0,6130.0,859.7999880000001,1025210700.0,-115428.91774006705,-54037.55645157166
2015-10-09,0.022068057243488603,0.0,0.0,85.2532813356409,22458.800781,2403310800.0,745150000.0,3706900000.0,44831.884395228444,2014.890015,17.08,17084.490234,103730000.0,4370.009765999999,1804260000.0,18438.669922,185000.0,6416.200195,904.619995,758861100.0,-175892.76003353,-82400.31684814545
2015-10-16,0.022068057243488606,0.0,0.93,85.25328133564092,23067.369141,1922580500.0,592309300.0,3595430000.0,64755.464555921586,2033.109985,15.05,17215.970703,145880000.0,4438.620117,1855290000.0,18291.800781,129600.0,6378.0,908.179993,504763300.0,-254144.40672802104,-119107.78314504895
2015-10-23,0.022068057243488606,0.0,0.0,85.25328133564093,23151.939453,1495348200.0,749535500.0,4108460000.0,89788.72746574158,2075.149902,14.46,17646.699219,158090000.0,4624.089844,2178270000.0,18825.300781,147500.0,6444.100098,946.280029,616654100.0,-352468.0750196449,-165231.54755283624
2015-10-30,0.022068057243488603,0.0,0.45,85.25328133564093,22640.039063,1537138400.0,716340400.0,4256200000.0,120513.1421064559,2079.360107,15.07,17663.539063,149250000.0,4648.830078,2016390000.0,19083.099609,182000.0,6361.100098,941.710022,566442100.0,-473147.98210450634,-221843.20228206133
2015-11-06,0.022068057243488606,0.0,0.0,85.25328133564092,22867.330078,1394990300.0,711572600.0,4369020000.0,157510.1774598318,2099.199951,14.33,17910.330078,107450000.0,4707.22998,2066430000.0,19265.599609,121300.0,6353.799805,957.25,273562000.0,-618468.3451787101,-290014.33954327804
2015-11-13,0.022068057243488606,0.0,0.47,85.25328133564092,22396.140625,2002495500.0,681574100.0,4278750000.0,201361.30250763637,2023.040039,20.08,17245.240234,134640000.0,4502.1401369999985,2001050000.0,19596.910156,139100.0,6118.299805,928.169983,226101900.0,-790713.3814383605,-370816.55154703965
2015-11-20,0.022068057243488606,0.0,1.41,85.25328133564092,22754.720703,1230928400.0,808632500.0,3929600000.0,252647.9862316366,2089.169922,15.47,17823.810547,153140000.0,4686.3598630000015,1766630000.0,19879.810547,109700.0,6334.600098,952.099976,227657300.0,-992167.3080795633,-465321.43050389935
2015-11-27,0.022068057243488606,0.0,0.0,85.25328133564092,22068.320313,2107988400.0,471764000.0,1466840000.0,311951.69761359924,2090.110107,15.12,17813.390625,82540000.0,4680.470215,781730000.0,19883.939453,114600.0,6375.200195,959.880005,160239600.0,-1225114.3422984234,-574600.5686244102
2015-12-04,0.022068057243488603,0.0,0.0,85.2532813356409,22235.890625,1607921200.0,662790200.0,4214910000.0,379853.9056352908,2091.689941,14.81,17847.630859,137650000.0,4716.120117,1897490000.0,19504.480469,134100.0,6238.299805,919.26001,291476000.0,-1491838.7012910447,-699725.5581191252
2015-12-11,0.02206805724348861,0.0,0.0,85.2532813356409,21464.050781,1399114000.0,805984900.0,4301060000.0,456936.07927847723,2012.369995,24.389999,17265.210938,134510000.0,4537.560059,2084950000.0,19230.480469,165800.0,5952.799805,885.0399779999998,279463400.0,-1794624.602253531,-841767.9911985977
2015-12-18,0.02206805724348861,0.0,0.0,85.2532813356409,21755.560547,1774171000.0,1234966800.0,6683070000.0,543779.6875249237,2005.550049,20.700001,17128.550781,344560000.0,4514.830078,3765210000.0,18986.800781,199200.0,6052.399902,899.75,402068200.0,-2135756.2623819867,-1001799.4600733807
2015-12-25,0.022068057243488606,0.0,0.9,85.25328133564092,21755.560547,1774171000.0,1234966800.0,21034085277.399002,640966.1993563944,2306.2785380861887,-29.838035156581284,19128.328503209275,1195289626.7567446,5244.152481704239,11311537241.076302,18769.060547,122600.0,7224.262239011639,998.2432462476518,1152900609.8643851,-2517517.8988725124,-1180891.5569540262
2016-01-01,0.022068057243488606,0.0,1.58,142.4772198231344,21755.560547,1774171000.0,1234966800.0,57027251109.59599,749077.0837546526,3149.603897344751,-160.80215062632516,24955.22221983708,3114188507.0269785,7321.749577816956,29097198964.3052,18643.178896632242,-200956.4761267812,10155.548959046544,1215.372886990605,3025570839.4575405,-2942193.728921205,-1380115.8740510843
2016-01-08,0.022068057243488606,0.0,1.51,85.3218129985002,20453.710938,2078133200.0,809964200.0,4664940000.0,868693.8097014611,1922.030029,27.01,16346.450195,141850000.0,4270.779785,2288750000.0,17697.960938,184300.0,5912.399902,850.0200199999998,257106500.0,-3412067.969724156,-1600544.0035751043
2016-01-15,0.022068057243488606,0.0,0.0,85.32181299850018,19520.769531,1932607600.0,1084338100.0,5468460000.0,1000397.8461785819,1880.329956,27.02,15988.080078,239210000.0,4141.080078,2818630000.0,17147.109375,167800.0,5804.100098,827.530029,356096500.0,-3929424.838477457,-1843247.5377366329
2016-01-22,0.02206805724348861,0.0,1.0,85.32181299850018,19080.509766,2388446600.0,879968100.0,4901760000.0,1144770.662167776,1906.900024,22.34,16093.509766,145850000.0,4259.77002,2153340000.0,16958.529297,186800.0,5900.0,853.4699710000001,304518900.0,-4496548.552377192,-2109298.068746216
2016-01-29,0.02206805724348861,0.0,0.49,85.32181299850018,19683.109375,2350176600.0,988153400.0,5497570000.0,1302393.7266508024,1940.23999,20.200001,16466.300781,217940000.0,4279.169922,2607550000.0,17518.300781,294400.0,6083.799805,874.2999880000001,295182600.0,-5115723.328619441,-2399767.1888144007
2016-02-05,0.022068057243488606,0.0,0.49,85.32181299850019,19288.169922,1264808100.0,954158300.0,4929940000.0,1473848.5086094216,1880.050049,23.379999,16204.969727000003,139010000.0,4024.469971,2479280000.0,16819.589844,259900.0,5848.100098,830.869995,340022100.0,-5789233.384400282,-2715726.4901517294
2016-02-12,0.022068057243488606,0.0,0.0,85.32181299850019,18319.580078,2019813200.0,1083597100.0,4696920000.0,1659716.4770253943,1864.780029,25.4,15973.839844,132550000.0,4019.189941,1983190000.0,14952.610352000003,340500.0,5707.600098,789.72998,336887900.0,-6519362.9369157925,-3058247.5649687424
2016-02-19,0.022068057243488603,0.0,2.94,85.32181299850019,19285.5,1268689800.0,692901300.0,4142850000.0,1860579.1008804804,1917.780029,20.530001,16391.990234,134340000.0,4164.089844,1903770000.0,15967.169922,161700.0,5950.200195,829.48999,248256900.0,-7308396.20336204,-3428402.0054759784
2016-02-26,0.02206805724348861,0.0,0.0,85.32181299850019,19364.150391,1633549100.0,858937600.0,4348510000.0,2077017.8491564374,1948.050049,19.809999,16639.970703,98480000.0,4235.620117,1814920000.0,16188.410156,147400.0,6096.0,842.419983,255468400.0,-8158617.40093508,-3827261.403883978
2016-03-04,0.02206805724348861,0.0,0.36,85.3218129985002,20176.699219,1907805100.0,866051300.0,6049930000.0,2309614.1908350196,1999.98999,16.860001,17006.769531,106910000.0,4329.0,2171230000.0,17014.779297,183600.0,6199.399902,869.650024,247456100.0,-9072310.746830955,-4255897.352403274
2016-03-11,0.022068057243488606,0.0,0.38,85.32181299850019,20199.599609,1970725700.0,721703700.0,4078620000.0,2558949.594897978,2022.189941,16.5,17213.310547,123420000.0,4361.830078,1801790000.0,16938.869141,198000.0,6139.799805,874.659973,289613500.0,-10051760.45824571,-4715381.443244388
2016-03-18,0.022068057243488606,0.0,0.0,85.32181299850018,20671.630859,2091585400.0,1129194800.0,6503140000.0,2825605.5303270575,2049.580078,14.02,17602.300781,321230000.0,4410.830078,2829040000.0,16724.810547,155700.0,6189.600098,874.9400019999998,451530900.0,-11099250.752375383,-5206785.268617831
2016-03-25,0.022068057243488603,0.0,0.75,85.32181299850018,20671.630859,2091585400.0,1129194800.0,25338923956.66537,3110163.4661040017,2149.9753771760134,0.9463148810404931,18751.35919801837,939654577.3346624,4613.610313059933,8395631357.745749,17002.75,126500.0,6752.322745807873,911.802647015319,784425198.9239895,-12217065.846416,-5731180.420734115
2016-04-01,0.022068057243488606,0.0,0.72,84.74242408908384,20498.919922,1633594800.0,747479000.0,3749990000.0,3413204.8712105528,2072.780029,13.1,17792.75,104890000.0,4532.080078,1812250000.0,16164.160156,178400.0,6146.100098,854.070007,269830500.0,-13407489.957563587,-6289638.49180375
2016-04-08,0.02206805724348861,0.0,1.43,85.32112975686172,20370.400391,1435612200.0,622127800.0,3359530000.0,3735311.214628447,2047.599976,15.36,17576.960938,79990000.0,4474.930176,1588830000.0,15821.519531,176800.0,6204.399902,848.909973,208758500.0,-14672807.303014152,-6883231.074037245
2016-04-15,0.022068057243488606,0.0,1.05,85.32112975686172,21316.470703,1413648900.0,780841700.0,3701450000.0,4077063.965339415,2080.72998,13.62,17897.460938,118160000.0,4543.160156,1684790000.0,16848.029297,133300.0,6343.799805,883.590027,234238100.0,-16015302.099963702,-7513029.759645106
2016-04-22,0.022068057243488606,0.0,2.88,85.32112975686172,21467.039063,1282700700.0,675930800.0,3790580000.0,4439044.5923251845,2091.580078,13.22,18003.75,134120000.0,4474.189941,2018930000.0,17572.490234,228300.0,6310.399902,894.320007,204476200.0,-17437258.56560822,-8180106.140837833
2016-04-29,0.022068057243488603,0.0,0.34,85.32112975686172,21067.050781,1603138400.0,865553800.0,4704720000.0,4821834.564567486,2065.300049,15.7,17773.640625,136670000.0,4341.299805,2376460000.0,15767.006184178637,673201.1612533353,6241.899902,869.8900150000002,259534500.0,-18940960.917143658,-8885531.809825912
2016-05-06,0.022068057243488606,0.0,1.11,85.32112975686172,20109.869141,1725801800.0,698735000.0,3796350000.0,5226015.351048045,2057.139893,14.72,17740.630859,80020000.0,4330.169922,1860800000.0,16106.719727000003,148100.0,6125.700195,850.409973,213741600.0,-20528693.371765926,-9630378.358819835
2016-05-13,0.02206805724348861,0.0,0.71,85.32112975686171,19719.289063,1758498600.0,646363000.0,3579880000.0,5652168.420748578,2046.609985,15.04,17535.320313,86640000.0,4326.529785,1698030000.0,16412.210938,171600.0,6138.5,854.2299800000002,209178400.0,-22202740.146670923,-10415717.380030084
2016-05-20,0.022068057243488606,0.0,0.0,85.32112975686171,19852.199219,1247729300.0,780582600.0,3507650000.0,6100875.242650794,2052.320068,15.2,17500.939453,111990000.0,4362.899902,1970520000.0,16736.349609,126300.0,6156.299805,857.3900150000002,209993200.0,-23965385.45905453,-11242620.465667129
2016-05-27,0.022068057243488606,0.0,0.37,85.32112975686171,20576.769531,1611353900.0,559788200.0,3079150000.0,6572717.285736391,2099.060059,13.12,17873.220703,73190000.0,4512.540039,1505020000.0,16834.839844,108400.0,6270.799805,886.5,178398500.0,-25818913.5261126,-12112159.207941428
2016-06-03,0.022068057243488606,0.0,0.0,85.32112975686172,20947.240234,1869294300.0,640902800.0,3627780000.0,7068276.018987063,2099.129883,13.47,17807.060547,82270000.0,4509.790039,1697840000.0,16642.230469,107300.0,6209.600098,872.6099849999998,200998300.0,-27765608.56504096,-13025405.199063435
2016-06-10,0.022068057243488606,0.0,0.39,85.32112975686172,21042.640625,1640607200.0,725887400.0,3515010000.0,7588132.911384493,2096.070068,17.030001000000002,17865.339844,90540000.0,4461.049805,1822200000.0,16601.359375,155000.0,6115.799805,852.099976,226796400.0,-29807754.79303544,-13983430.031243581
2016-06-17,0.022068057243488606,0.0,0.4,85.32112975686172,20169.980469,2193634100.0,1274460400.0,4952630000.0,8132869.431910358,2071.219971,19.41,17675.160156,248680000.0,4374.379883,2638220000.0,15599.660156,167200.0,6021.100098,829.880005,414017000.0,-31947636.427291885,-14987305.29669227
2016-06-24,0.02206805724348861,0.0,0.0,85.32112975686172,20259.130859,3953268600.0,3761301300.0,7597450000.0,8703067.049546324,2037.410034,25.76,17400.75,239000000.0,4285.700195,4411040000.0,14952.019531,263000.0,6138.700195,819.98999,775605600.0,-34187537.68500611,-16038102.587619886
2016-07-01,0.022068057243488606,0.0,1.25,128.4129957184677,20259.130859,3953268600.0,1066211600.0,3458890000.0,9299307.233274043,2102.949951,14.77,17949.369141,82160000.0,4437.450195,1745130000.0,15682.480469,119900.0,6577.799805,853.159973,240767300.0,-36529742.78337391,-17136893.496236794
2016-07-08,0.022068057243488606,0.0,0.43,85.37117838167194,20564.169922,1194770200.0,909700100.0,3607500000.0,9922171.452075161,2129.899902,13.2,18146.740234,93460000.0,4528.3598630000015,1947260000.0,15106.980469,129500.0,6590.600098,838.75,234699700.0,-38976535.93959102,-18284749.61475335
2016-07-15,0.022068057243488606,0.0,0.41,85.37117838167194,21659.25,1784843200.0,814067900.0,3122600000.0,10572241.174931303,2161.73999,12.67,18516.550781,123690000.0,4589.830078,1610300000.0,16497.849609,171900.0,6669.200195,864.820007,193178400.0,-41530201.37085311,-19482742.535379887
2016-07-22,0.022068057243488606,0.0,0.0,85.37117838167195,21964.269531,1120997900.0,694731500.0,3023280000.0,11250097.87082408,2175.030029,12.02,18570.849609,87710000.0,4666.069824,1639000000.0,16627.25,100800.0,6730.5,869.3099980000002,159614900.0,-44193023.29435572,-20731943.850326702
