,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2000-01-07,1466.163517163837,967715286.5374932,21.311722304117993,,10840.136558384242,193089132.93323433,3891.117692361867,1673145410.780874,17972.345389067214,6587.4834977653945,6563.839598482314,950628261.8671495,16451.147523376854,-22165801.866981566,1064.7955299595603,347872.51494158554,18.063840650984535,0.5662854444392429,55.99743534902575,49.75805668466581,68.62320345694988,0.01812391330427907
2000-01-14,1464.8810310984784,970807147.5647304,21.339320097914193,,10838.20090169048,193781925.2806594,3876.287840687722,1676673942.9688652,17916.121736418318,6460.470008663945,6558.614439934682,951315565.4102235,16438.29545552778,-21630792.05791925,1064.4459270123518,456247.5838285699,18.15375961395033,0.5654052620154556,56.41358078807551,50.07324992433612,68.75321734142489,0.018261045494698154
2000-01-21,1463.5638872041159,973890504.5751947,21.368266605778114,,10836.193403622914,194486479.1216382,3861.201366714494,1680291129.0786192,17859.338712681525,6332.212753003521,6553.33237435343,952020450.341879,16425.1028934468,-21100594.562465627,1064.0715845225548,558201.2515091782,18.243588317723116,0.564640152442477,56.82450737571032,50.3882210373642,68.8836527134106,0.01839694715905285
2000-01-28,1462.2107491901154,976972735.1222372,21.398605754340053,,10834.111069652661,195203568.20474946,3845.849060266285,1684002706.3145401,17801.988577575466,6203.010538550477,6547.989910378551,952748510.2617004,16411.55339533329,-20572836.13262657,1063.671445013463,654367.600528792,18.333335818495048,0.5639910562093277,57.231445020290536,50.703080132056826,69.01470285947528,0.018531659018834464
2000-02-04,1460.8203493349777,980061689.2569119,21.430378577361772,,10831.950877568952,195933935.52419564,3830.2225205505338,1687813894.5951827,17744.06758987355,6073.194515889326,6542.58375405371,953505650.4052287,16397.62959165649,-20045451.142766908,1063.244478169651,745528.1228351346,18.423018078984175,0.5634584516132796,57.63578887923339,51.01796573120896,69.14661243521111,0.01866524190791737
2000-02-11,1459.391512969396,983164501.6665674,21.463622116316763,,10829.710105236263,196678171.56708643,3814.314161534549,1691728872.824395,17685.575420254278,5943.065341959266,6537.110895222607,954297664.0605062,16383.31377398781,-19517224.154622734,1062.7897057157065,832441.191931305,18.512655574595726,0.5630428202660541,58.03889038058011,51.33301997591115,69.27966253771856,0.018797764479362718
2000-02-18,1457.9231890211802,986287002.1555707,21.49836589647492,,10827.386527465771,197436652.5039093,3798.1172762072433,1695750744.4252462,17626.515489825106,5812.908612502189,6531.568701727426,955129808.9040772,16368.588620372624,-18987781.60109486,1062.3062264543119,915759.6266642032,18.60227033832927,0.562743584095766,58.44192966295859,51.64836822416533,69.41415404179952,0.018929293883805685
2000-02-25,1456.4144610670555,989434057.8716774,21.534631686848297,,10824.978391889028,198209642.43710747,3781.6261106831416,1699881815.352561,17566.89498056227,5683.002857698211,6525.9548872262485,956006888.4265579,16353.437551449571,-18457220.624479435,1061.793218203497,996087.090434972,18.691882695248808,0.5625587900463004,58.845852868528205,51.96410268917931,69.55039022628142,0.019059888981902806
2000-03-03,1454.864563430536,992609967.4011185,21.57243320786024,,10822.484474266208,198997349.1356499,3764.8359213322983,1704123700.0868742,17506.724774184815,5553.594956136972,6520.267485509628,956933364.0308189,16337.84485555049,-17925942.04099858,1061.2499449011173,1073982.807082006,18.7815079196482,0.5624864409860909,59.25135908660648,52.280269800821,69.68865964453516,0.01918959569254188
2000-03-10,1453.2728902594977,995819076.8741643,21.61177568967002,,10819.904088805193,199799923.6723132,3747.7430023104057,1708477500.0545926,17446.01936267126,5424.885228636899,6514.504829270465,957913589.0028237,16321.79613879346,-17394280.859667715,1060.6757665954726,1149965.5001096576,18.87115302703755,0.562524694555216,59.6589229496729,52.5968609941103,69.82922010960239,0.01931844410825192
2000-03-17,1451.6389881144542,999066245.8761653,21.65265645841991,,10817.2370448197,200617425.48221716,3730.344670217396,1712943838.827118,17384.79644187233,5297.049462465662,6508.665480266682,958951741.203583,16305.27841998483,-16861989.78141811,1060.0701398425788,1224547.536826221,18.960813901229894,0.5626718084398311,60.06883997185989,52.913806667252885,69.97228461504741,0.019446447042828517
2000-03-24,1449.9625685846693,1002356346.6872647,21.695063689445178,,10814.483763445272,201449770.78969303,3712.639281666792,1717522622.0387986,17323.076421335016,5170.231056093585,6502.748224237529,960051541.9542637,16288.280435977067,-16328473.287320305,1059.4326231152843,1298183.3420057285,19.050472939265187,0.562926252849216,60.48128262674652,53.230973066875144,70.11800994508874,0.019573599697743638
2000-03-31,1448.2435535944335,1005693819.2203448,21.738973252236296,,10811.64564880774,202296708.7780907,3694.626297657834,1722212940.8658948,17260.882569768844,5044.540302987094,6496.752209877107,961216210.325503,16270.793576195125,-15793329.00419327,1058.762903356582,1371261.5446892045,19.14009739425688,0.5632864599533993,60.896355908693,53.54816190669325,70.26648871786894,0.019699880163362368
2000-04-07,1446.482075945434,1009082042.3454407,21.784348820782863,,10808.725099835165,203157787.81834912,3676.306283806073,1727013149.5855663,17198.24069456248,4920.063243735733,6490.677035226702,962448339.9247701,16252.812565359882,-15256217.457152883,1058.060802359333,1444110.7494649678,19.229638590571977,0.5637505957853121,61.31414157759001,53.86511255491948,70.41774559132304,0.019825250487212877
2000-04-14,1444.678465255992,1012523046.119318,21.83114352938203,,10805.72536108964,204032343.08646706,3657.6809209345624,1731920948.0732222,17135.17870523909,4796.844179670643,6484.5227664962085,963749656.1695447,16234.336096118739,-14716934.068278616,1057.326271437683,1516994.7067211266,19.319032188760723,0.5643164214709634,61.734721025321804,54.18150667890013,70.57173836549953,0.019949658080868446
2000-04-21,1442.8332301645648,1016018163.016975,21.8793012471498,,10802.650328954605,204919586.42237133,3638.7530010698556,1736933530.119939,17071.726100924683,4674.92098953533,6478.289872017357,965121400.2167343,16215.367018987352,-14175627.14801502,1056.5593754969714,1590179.8762722395,19.408199593598543,0.5649810098989426,62.15817120037877,54.4969751270801,70.7283642640402,0.02007303736520671
2000-04-28,1440.947037270054,1019568603.525014,21.928758974754384,,10799.504320100343,205818654.2506292,3619.5263917002226,1742047692.8970547,17007.913368708625,4554.3097338894595,6471.979078313001,966564425.9947393,16195.911752161966,-13632852.368439395,1055.7602698472886,1663940.1704250409,19.49705040932784,0.5657411781769244,62.58453829689191,54.81110655055549,70.88747063370224,0.020195311843383256
2000-05-05,1439.0206972811766,1023175320.7824758,21.979449433861156,,10796.291929085706,206728595.77275252,3600.0060149917194,1747259731.1882799,16943.771478839513,4434.990544431625,6465.591254844717,968079276.6502461,16175.979450585186,-13089460.257306626,1054.9291880297953,1738551.105950295,19.58548578536089,0.5665936362417723,63.01379814090628,55.123457183672926,71.04886892626708,0.02031639694239693
