,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2074.6755,3637981700.0,17.731909,0.0,18083.545,93111656.0,4130.3257,1953105900.0,15995.203,152427.44,6567.3535,852623740.0,22501.72,2092457500.0,806.851,377389540.0,3.992033,0.7357394,22.653282,11.516923,24.087095,-1.0493639
2015-01-09,2086.7986,3634895400.0,17.940613,0.0,18193.709,94494030.0,4162.8857,1934895700.0,16214.008,145329.05,6572.8384,822045060.0,22503.861,2141468900.0,811.3478,358973400.0,3.9968176,1.051408,23.24078,11.58434,24.158508,-1.0948023
2015-01-16,2096.6663,3621371400.0,18.169857,0.0,18290.379,94922190.0,4177.8086,1916593000.0,16410.246,139528.95,6572.869,789946200.0,22499.018,2161102000.0,814.40216,346011940.0,3.9992032,1.1832107,24.570631,11.636367,24.333311,-0.7910122
2015-01-23,2103.2075,3611421200.0,19.011042,0.0,18365.793,95157256.0,4173.391,1904186100.0,16567.22,137548.27,6567.991,775336960.0,22518.277,2150974700.0,816.42346,346722780.0,3.9942665,1.1416883,26.04137,11.658784,24.541225,-0.39238736
2015-01-30,2106.6243,3612788000.0,19.347126,0.0,18417.861,95701990.0,4154.338,1898021000.0,16678.51,138094.89,6563.856,780335940.0,22579.754,2124902000.0,819.13104,366781500.0,3.976026,1.0782142,26.94891,11.630703,24.525576,-0.19562706
2015-02-06,2107.0774,3627833900.0,19.170343,0.0,18443.555,97133624.0,4125.6714,1900145900.0,16749.057,140222.69,6566.831,796401700.0,22698.201,2085466500.0,824.4168,395297950.0,3.9533882,0.9686045,27.833843,11.608008,24.695759,-1.0046139
2015-02-13,2105.5989,3656822800.0,18.6528,0.0,18448.07,98817080.0,4094.0503,1910366300.0,16786.65,144456.02,6580.967,817395140.0,22863.646,2039866500.0,833.15497,416037020.0,3.945277,0.8775353,28.65624,11.613643,24.87641,-1.1396036
2015-02-20,2103.7803,3690052900.0,17.851696,0.0,18441.727,99936904.0,4067.763,1923925800.0,16802.62,149312.48,6606.1953,835578430.0,23046.541,1986059300.0,845.015,421766050.0,3.9550543,0.82306516,29.086376,11.6491585,25.049072,-0.9191735
2015-02-27,2103.3867,3716011000.0,16.833126,0.0,18436.47,100197750.0,4055.779,1934731400.0,16811.742,153929.73,6640.912,842238460.0,23226.746,1917252100.0,859.24506,419573500.0,3.9733238,0.782722,28.738476,11.692122,25.16996,-0.56296223
2015-03-06,2105.612,3725348600.0,15.699929,0.0,18442.758,99459750.0,4063.731,1941559000.0,16830.984,157487.08,6682.8833,844803600.0,23388.656,1841297300.0,875.24445,411409920.0,3.9939995,0.80727035,28.262291,11.71036,24.94558,-1.112348
2015-03-13,2110.4404,3720637400.0,14.850928,0.0,18464.719,98059800.0,4091.5957,1945657700.0,16875.928,158708.55,6728.5674,848448960.0,23508.354,1773232300.0,892.1796,402532700.0,4.0180054,0.87201816,27.768219,11.743632,25.117325,-1.1455033
2015-03-20,2116.2432,3706705200.0,14.853826,0.0,18496.19,96899960.0,4130.9717,1947279100.0,16953.105,158522.3,6770.7275,854783200.0,23550.434,1720484200.0,908.9902,391118560.0,4.039861,0.8609435,27.142332,11.75487,25.284426,-0.84064066
