,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2090.5618,3794233000.0,15.001698,0.0006356817,17885.105,122980540.0,4319.7837,1801393800.0,17061.121,168345.78,6502.2954,833837000.0,23122.346,2212506600.0,822.02905,413760700.0,0.86757624,0.61619014,6.3946395,2.4809759,4.6060863,-0.94284695
2015-01-09,2100.6116,3811505000.0,15.860452,0.0006605814,17963.07,124642790.0,4361.744,1795535500.0,17026.217,159110.36,6508.1187,832190700.0,23088.412,2260281600.0,822.4926,413009020.0,0.8337409,0.6275592,6.5938735,2.4504628,4.597435,-0.94912446
2015-01-16,2110.5454,3815771400.0,16.463125,0.000682822,18041.27,126092104.0,4394.3105,1787829200.0,16742.13,148154.31,6507.435,820912800.0,23056.781,2284437200.0,821.743,408139070.0,0.82108444,0.6324551,6.7842975,2.4141474,4.669523,-0.9529299
2015-01-23,2119.7937,3811703300.0,17.128672,0.00070180057,18116.332,127322456.0,4412.824,1778961900.0,16323.003,140112.66,6502.1333,805720400.0,23043.602,2286591000.0,821.67236,405166100.0,0.82692486,0.63295346,6.969591,2.3775764,4.801608,-0.95483214
2015-01-30,2127.918,3805447700.0,17.527641,0.00071732554,18184.73,128225390.0,4418.106,1769323300.0,15896.313,136329.36,6500.0005,793282400.0,23068.008,2278774500.0,824.9916,411857630.0,0.8472366,0.6306919,7.1520004,2.345437,4.9698267,-0.9554079
2015-02-06,2133.7632,3807403800.0,17.898928,0.0007537087,18239.648,129094600.0,4414.1743,1761711900.0,15562.891,137608.0,6505.331,786194900.0,23134.71,2258116600.0,832.5886,421933950.0,0.87786365,0.62659556,7.3323503,2.320897,5.1525264,-0.95513904
2015-02-13,2138.7136,3819404500.0,18.016546,0.0007537087,18286.535,129812040.0,4395.876,1756224300.0,15381.548,142339.64,6522.1826,780100200.0,23242.559,2222862800.0,844.2889,429348400.0,0.9151849,0.62063354,7.5103827,2.305504,5.3328953,-0.9543795
2015-02-20,2142.5945,3836155400.0,17.581745,0.0007537087,18324.848,130112490.0,4374.882,1752906500.0,15374.725,149089.56,6550.869,773932900.0,23381.758,2173580800.0,859.1121,436174880.0,0.9563655,0.61275053,7.6851807,2.2994218,5.4995923,-0.95336187
2015-02-27,2146.0852,3851873000.0,16.66801,0.0007537087,18357.516,129983970.0,4359.083,1751330300.0,15538.657,155803.75,6590.387,768797630.0,23212.479,2094471600.0,875.8657,441538200.0,0.9993572,0.60277724,7.8555326,2.3018186,5.6462007,-0.9522221
2015-03-06,2149.5906,3861501700.0,15.505807,0.0007537087,18387.26,129421460.0,4354.7144,1751020200.0,15853.278,162016.17,6638.5967,769115100.0,22805.809,2000185900.0,893.84247,442604480.0,1.0427786,0.59265685,8.949086,2.3112636,5.7701626,-0.9510273
2015-03-13,2153.4272,3868999200.0,14.549323,0.0007537087,18416.543,128549064.0,4362.344,1751897900.0,16285.165,166559.02,6691.121,773106200.0,22298.535,1909381500.0,912.1533,439339970.0,1.0857583,0.5818525,9.023581,2.326065,5.871617,-0.9498009
2015-03-20,2157.4094,3872407800.0,14.106749,0.0007537087,18444.963,127510540.0,4378.104,1753344500.0,16795.72,171798.7,6739.7144,776868160.0,21816.17,1833119100.0,929.76373,432236900.0,1.1277831,0.57095605,9.095449,2.344524,5.9523625,-0.94854236
2015-03-27,2161.645,3886841900.0,13.93413,0.0007537087,18473.836,127851490.0,4400.766,1757565000.0,17347.805,175730.67,6783.0693,798598140.0,21457.115,1782492300.0,945.94293,435273440.0,1.1685755,0.559598,9.163344,2.365096,6.0150547,-0.94724023
2015-04-03,2165.8098,3904242700.0,13.985921,0.0007537087,18501.258,129477360.0,4426.032,1763534500.0,17899.94,178187.7,6818.652,828142800.0,21277.79,1755298700.0,959.44147,439115140.0,1.2080028,0.55066544,9.226652,2.3864822,6.062634,-0.9458807
2015-04-10,2154.6907,3894210300.0,12.911248,0.0010041952,18437.42,131115320.0,4362.407,1765390700.0,18417.9,176895.31,6722.617,831682050.0,20978.996,1722465700.0,937.97034,428480800.0,1.2460133,0.5442984,9.285244,2.4076636,6.0979652,-0.9444521
2015-04-17,2129.1353,3857694000.0,11.540171,0.0015467232,18279.885,132283560.0,4224.7104,1758294700.0,18884.193,172205.67,6522.3926,814249000.0,20640.426,1712562300.0,899.2749,409007800.0,1.2825978,0.53946805,9.339276,2.4278922,6.123629,-0.94294673
2015-04-24,2094.2817,3805409300.0,10.740729,0.0021025585,18054.762,133072220.0,4050.5608,1743394300.0,19284.078,167475.67,6283.1377,788701060.0,20402.65,1743967500.0,861.64233,396426880.0,1.3177671,0.5343085,9.389051,2.4466672,6.1418343,-0.9413613
2015-05-01,2056.4126,3751899000.0,10.672876,0.0024435513,17797.918,133540250.0,3885.6519,1725114900.0,19615.773,163483.22,6071.3096,766131300.0,20389.965,1810903900.0,837.6271,390319800.0,1.3515387,0.53010666,9.434924,2.4636905,6.1543984,-0.9396964
2015-05-08,2021.3943,3700721400.0,11.148302,0.0024889132,17545.873,133522856.0,3765.5957,1705877000.0,19873.227,160700.55,5931.9595,753654900.0,20304.64,1862645400.0,802.9138,377290080.0,1.3843263,0.52528167,9.376584,2.478832,6.1627746,-0.93750364
2015-05-15,1993.4552,3655733000.0,11.853691,0.0022790588,17328.281,132967520.0,3712.936,1688277100.0,20052.15,160172.22,5886.551,769167360.0,20204.729,1893709300.0,767.9389,362448160.0,1.4157114,0.5172757,9.204751,2.4920728,6.1680956,-0.9352346
2015-05-22,1975.4108,3617870800.0,12.4656925,0.0019157047,17167.38,131962290.0,3734.2935,1674045700.0,20160.86,162120.03,5932.144,798905600.0,20209.582,1906763600.0,744.8265,348808480.0,1.4457191,0.4993359,8.954439,2.5034876,6.1712294,-0.9328977
2015-05-29,1968.5822,3583352600.0,12.79417,0.0015096276,17075.826,130436300.0,3822.7695,1662955500.0,20220.98,164686.42,6051.328,824092100.0,20419.436,1911628800.0,741.7484,335949700.0,1.4743768,0.4897715,8.672797,2.5132043,6.172827,-0.9305017
2015-06-05,1972.3503,3554057500.0,12.965514,0.001148921,17054.945,128733810.0,3964.493,1655205800.0,20257.996,169668.19,6217.995,849989300.0,20873.34,1930241900.0,759.81287,332741440.0,1.5022801,0.48254308,8.401149,2.5213861,6.173374,-0.92746234
2015-06-12,1984.9783,3532786700.0,13.12255,0.0008867555,17096.723,126909624.0,4138.6924,1651320300.0,20289.295,175585.23,6401.9634,870277300.0,21553.395,1965101300.0,793.9085,337605600.0,1.5288292,0.4761366,8.168103,2.5282042,6.173225,-0.92438805
