,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2088.5293,3696814300.0,16.373528,-0.0040904293,17559.812,111609370.0,4377.606,1902852600.0,16460.912,166533.55,6378.1655,862603900.0,22786.854,1994577300.0,838.65027,453504200.0,-0.19735093,0.5021192,3.4355824,4.4071283,9.284535,-0.9123145
2015-01-09,2098.7837,3716796000.0,17.137695,-0.004072606,17639.56,113300080.0,4419.9414,1895927200.0,16420.955,157503.25,6378.241,865648500.0,22784.373,2042370300.0,837.38916,449046600.0,-0.2504312,0.50125784,3.628936,4.3899584,9.2771015,-0.9210341
2015-01-16,2108.6584,3724812800.0,17.603146,-0.0040571457,17719.197,114768940.0,4453.166,1887071100.0,16130.451,146464.45,6372.828,858487400.0,22776.832,2071507600.0,834.9305,439478980.0,-0.28381646,0.4992871,3.823732,4.366143,9.343623,-0.9275021
2015-01-23,2117.4912,3721900800.0,18.173813,-0.0040437607,17795.338,115864680.0,4472.463,1877516300.0,15703.614,137501.02,6364.479,846111740.0,22781.604,2082385200.0,833.75116,433876220.0,-0.30180827,0.49695945,4.0215416,4.3397408,9.464689,-0.9320798
2015-01-30,2124.8962,3716956000.0,18.467539,-0.0040321345,17864.4,116756100.0,4478.603,1867671700.0,15270.242,132161.61,6360.4893,834384800.0,22819.693,2082930700.0,836.87854,443796830.0,-0.3088255,0.49470693,4.2223516,4.3146315,9.618042,-0.93519384
2015-02-06,2129.8,3720433000.0,18.771643,-0.0039728447,17919.018,117622070.0,4475.695,1859316400.0,14930.89,131515.73,6364.6904,825973800.0,22899.326,2071562600.0,845.22845,459377280.0,-0.30853608,0.49265808,4.4251704,4.293737,9.783655,-0.9372381
2015-02-13,2133.5542,3734969600.0,18.818527,-0.0039728447,17965.816,118411270.0,4458.145,1853476700.0,14746.843,134521.4,6380.26,817112200.0,23024.648,2047134000.0,858.3921,470509730.0,-0.3035831,0.49057892,4.628565,4.278749,9.946241,-0.9385303
2015-02-20,2136.2354,3753177300.0,18.28839,-0.0039728447,18004.227,118722260.0,4437.7056,1850369800.0,14740.502,140088.19,6407.237,807565060.0,23185.678,2009791100.0,875.11194,479703680.0,-0.29565054,0.48833013,4.8310266,4.2702203,10.095779,-0.9393031
2015-02-27,2138.7136,3771108900.0,17.30194,-0.0039728447,18037.371,118648200.0,4422.319,1849159300.0,14907.993,146411.6,6444.372,799128260.0,23042.332,1948733000.0,893.89386,485914270.0,-0.28567362,0.4861194,5.031176,4.267829,10.226927,-0.9397123
2015-03-06,2141.5283,3781394200.0,16.129686,-0.0039728447,18067.988,118114480.0,4418.3955,1849482400.0,15229.233,152882.38,6489.475,796518700.0,22628.25,1872657200.0,913.8063,485403680.0,-0.27408105,0.48392838,7.447832,4.270698,10.33793,-0.9398543
