,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2087.4785,3801213700.0,15.187881,0.010540247,15886.318,151525440.0,4422.5234,1872008200.0,15593.577,157744.83,6459.7075,886793800.0,22320.59,1803584300.0,809.14886,389422900.0,-0.21585181,0.6559413,1.3352451,0.6523495,1.2484503,-0.9758005
2015-01-09,2097.9536,3826267600.0,15.771808,0.010737181,15972.741,153086220.0,4444.024,1869048300.0,15611.154,151085.92,6352.4595,847343600.0,22056.969,1826698000.0,802.37506,389983650.0,-0.21400687,0.6833275,1.4955952,0.6284182,1.2290107,-0.9771402
2015-01-16,2108.0361,3841601300.0,16.233864,0.010909438,16056.536,154572640.0,4462.0454,1864334200.0,15494.937,142870.9,6230.806,802772900.0,21751.994,1837043600.0,793.4956,387999520.0,-0.19821279,0.6993608,1.6506273,0.60299176,1.2418978,-0.9769277
2015-01-23,2117.3403,3845840600.0,16.883156,0.011060238,16134.778,156358420.0,4474.1104,1858474900.0,15298.336,136312.02,6122.2817,769418750.0,21468.549,1838099200.0,784.2716,387127000.0,-0.17518531,0.7064338,1.8000044,0.5785836,1.2772367,-0.9759057
2015-01-30,2125.7888,3846230300.0,17.31271,0.011193275,16206.686,157490990.0,4481.055,1851893900.0,15085.794,132485.36,6046.726,753833860.0,21254.086,1836169100.0,776.433,391337300.0,-0.1504614,0.7067721,1.943528,0.55712175,1.3253855,-0.9746305
2015-02-06,2136.2844,3858078500.0,17.758375,0.012087345,16302.074,158097710.0,4483.5444,1846104700.0,14911.249,132030.39,6011.626,755392200.0,21130.783,1830564600.0,771.19916,398552100.0,-0.12778877,0.7018897,2.0811079,0.539853,1.3784729,-0.9734453
2015-02-13,2141.3318,3867859500.0,17.947607,0.012087345,16345.262,158712800.0,4481.8276,1841096100.0,14807.429,133984.62,6015.9717,765003400.0,21101.85,1819740400.0,769.2562,405922750.0,-0.10916148,0.69198996,2.212734,0.5273853,1.4308902,-0.9725138
2015-02-20,2145.8132,3880819700.0,17.591854,0.012087345,16383.39,159122750.0,4478.394,1837583100.0,14789.053,137627.88,6053.133,777195600.0,21156.48,1802521000.0,770.84125,413495680.0,-0.09517918,0.6772496,2.3384585,0.5198034,1.4791659,-0.97187245
2015-02-27,2150.0928,3895201500.0,16.80813,0.012087345,16419.408,158985680.0,4477.5806,1835362700.0,14857.471,141652.02,6114.0522,790127800.0,21128.613,1770823000.0,775.83466,420484700.0,-0.085505456,0.6591319,2.4583752,0.5168106,1.5215486,-0.97148263
2015-03-06,2154.5305,3904780800.0,15.822089,0.012087345,16455.826,158477300.0,4482.116,1834241900.0,15005.546,145807.61,6189.525,806270100.0,21029.135,1728621700.0,783.9349,425414750.0,-0.07929151,0.6380297,4.7142296,0.5178612,1.5575137,-0.97127086
2015-03-13,2159.024,3914364700.0,15.041278,0.012087345,16491.53,157621440.0,4492.267,1834117900.0,15218.931,149273.97,6271.032,822378500.0,20904.61,1683157800.0,794.67725,427795200.0,-0.07550775,0.61479187,4.7142296,0.52227736,1.5873172,-0.9711566
2015-03-20,2163.4128,3920670200.0,14.692317,0.012087345,16525.754,156625490.0,4505.627,1834619400.0,15481.316,153630.58,6350.322,834429100.0,20798.57,1639955700.0,807.48517,427543500.0,-0.07316586,0.59059817,4.7142296,0.5293354,1.6116327,-0.97106844
2015-03-27,2167.7512,3933804500.0,14.487405,0.012087345,16558.494,156556580.0,4521.8965,1837113600.0,15775.675,157313.39,6424.2754,861832200.0,20743.357,1605315200.0,821.7628,430137760.0,-0.07144545,0.5680354,4.7142296,0.5383332,1.6313028,-0.970952
2015-04-03,2171.9607,3949426000.0,14.431502,0.012087345,16589.447,157682160.0,4538.58,1841075600.0,16082.208,160110.58,6490.0933,893267840.0,20754.695,1580428800.0,836.82275,432847740.0,-0.069744155,0.54770964,4.7142296,0.54862875,1.647176,-0.9707707
2015-04-10,2167.4043,3948181800.0,13.265802,0.011987686,16554.396,158995000.0,4488.0366,1842645400.0,16383.989,160429.73,6483.535,896003140.0,20685.469,1554039600.0,847.13043,429619740.0,-0.067678906,0.53022736,4.7142296,0.55966544,1.6600176,-0.9705053
2015-04-17,2154.2222,3927075600.0,11.986137,0.011553526,16454.018,160087340.0,4390.3066,1838252900.0,16671.135,158246.72,6424.825,879259970.0,20571.908,1537889300.0,852.79974,421518940.0,-0.06505622,0.51583374,4.7142296,0.5709819,1.6704706,-0.9701495
2015-04-24,2134.8218,3888608800.0,11.338715,0.010789394,16306.402,161718380.0,4273.2544,1828357400.0,16934.809,155733.56,6347.4414,858037100.0,20484.258,1542026400.0,855.3342,414617340.0,-0.061829496,0.50473803,4.7142296,0.5822115,1.6790502,-0.96970695
2015-05-01,2112.7205,3847136500.0,11.317002,0.009814739,16138.36,162214780.0,4165.403,1815317100.0,17171.492,153356.5,6280.0845,839482750.0,20482.586,1565966500.0,856.5513,409470600.0,-0.05805344,0.49504292,4.7142296,0.5930762,1.6861551,-0.96918744
2015-05-08,2091.0383,3802030000.0,11.686969,0.008769631,15973.114,162311870.0,4086.3594,1800891000.0,17375.783,151380.66,6239.043,830647400.0,20427.137,1589937000.0,853.05896,401050600.0,-0.05384474,0.48556525,4.527544,0.60337806,1.6920848,-0.968604
2015-05-15,2072.3494,3757106400.0,12.193174,0.0077753067,15829.993,162037440.0,4046.1287,1787103700.0,17543.15,150566.8,6230.0747,848257660.0,20350.387,1608701300.0,846.13324,391022080.0,-0.04934755,0.47627267,4.1887155,0.61298424,1.6970645,-0.9679709
