,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2135.4458,3916800000.0,15.338065,-0.024442613,15161.596,150665920.0,4150.2314,2074657200.0,16677.79,152582.44,6120.9785,912996350.0,23021.104,2066017700.0,812.29846,377255500.0,-0.047289006,0.6156859,-1.8823563,1.5341085,-0.39174664,-0.9729223
2015-01-09,2145.8953,3941324000.0,15.833886,-0.02421105,15238.126,152302770.0,4168.542,2071709200.0,16685.24,147163.3,6008.8525,876665300.0,22776.348,2096425100.0,805.8654,373499260.0,-0.04861003,0.6381935,-1.7342781,1.5035791,-0.4199621,-0.9752951
2015-01-16,2155.891,3954684400.0,16.237581,-0.024010837,15311.935,153785710.0,4184.9463,2066586100.0,16552.484,140099.9,5880.453,835398000.0,22495.791,2113987000.0,797.35394,368298940.0,-0.036680564,0.6530716,-1.5873952,1.4673098,-0.40478557,-0.976015
2015-01-23,2165.0366,3958147800.0,16.82303,-0.023837328,15380.592,155202300.0,4196.069,2059883400.0,16340.795,133886.95,5765.7793,804416400.0,22234.691,2121586300.0,788.4184,366443870.0,-0.017477376,0.66194427,-1.4421005,1.430692,-0.35905272,-0.97566605
2015-01-30,2173.242,3957705700.0,17.21666,-0.023685277,15443.384,156183780.0,4201.915,2052170800.0,16118.909,129472.89,5687.161,789325900.0,22035.025,2125209100.0,780.7195,372801860.0,0.0042724484,0.66628104,-1.2987202,1.3978832,-0.29537922,-0.97472966
2015-02-06,2182.7812,3966288400.0,17.633165,-0.022619724,15520.688,156948240.0,4219.4585,2045221000.0,15941.828,127575.06,5653.3325,789878850.0,21916.686,2123949800.0,775.42365,382916830.0,0.025421139,0.66703975,-1.1575174,1.3715212,-0.22417276,-0.9735456
2015-02-13,2187.6355,3976112400.0,17.826576,-0.022619724,15558.922,157581420.0,4212.732,2038758700.0,15841.1,127682.38,5663.398,798083400.0,21883.568,2116210800.0,773.23584,392136600.0,0.04424026,0.6644207,-1.0187057,1.3528252,-0.1529861,-0.9723227
2015-02-20,2191.9148,3989659100.0,17.539494,-0.022619724,15592.68,157885660.0,4202.816,2033819000.0,15829.924,129415.86,5709.6523,808848700.0,21927.27,2100910100.0,774.387,400925800.0,0.060068756,0.6585569,-0.88244224,1.3418902,-0.086639754,-0.97116846
2015-02-27,2196.031,4003763000.0,16.878162,-0.022619724,15624.46,157745280.0,4194.9043,2030372600.0,15908.386,131879.3,5781.5156,820475970.0,21891.27,2069262100.0,778.7925,408357660.0,0.072935596,0.6483201,-0.74883413,1.3380392,-0.027717222,-0.9701213
2015-03-06,2200.3467,4013358600.0,16.036993,-0.022619724,15656.343,157209970.0,4193.2114,2028258800.0,16068.503,134895.08,5868.2466,835150660.0,21793.727,2025459600.0,786.2001,412473820.0,0.08324471,0.63791937,3.7488494,1.3401451,0.022830438,-0.9691795
