,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2039.9962,3575733500.0,15.378836,-0.0015701056,16922.78,148266800.0,3885.152,1903712000.0,16351.102,145062.03,6155.9863,928710900.0,22265.732,1875630800.0,836.4535,380753380.0,-0.5321176,0.54826826,-0.31707403,1.8626114,0.99495643,-0.97398144
2015-01-09,2050.625,3594482000.0,15.933357,-0.0013785362,17011.02,149348600.0,3903.0762,1901201200.0,16384.822,139665.89,6055.566,891425000.0,22033.354,1898457300.0,829.56104,381992200.0,-0.5120005,0.5561773,-0.13850102,1.8463477,0.99598897,-0.9731874
2015-01-16,2060.8394,3601232600.0,16.394688,-0.001208961,17097.168,150436850.0,3918.692,1896619100.0,16279.386,132667.1,5938.8403,847393340.0,21756.428,1907701200.0,820.5325,381010180.0,-0.47685328,0.558452,0.03492033,1.8278029,1.0314994,-0.97104543
2015-01-23,2070.2498,3599414000.0,17.018066,-0.0010585189,17178.186,152215840.0,3929.3462,1890637700.0,16087.076,126662.97,5831.7744,810383700.0,21488.287,1907124100.0,811.1566,380881020.0,-0.43623194,0.5565968,0.20212589,1.8100978,1.0875201,-0.968341
2015-01-30,2078.7625,3594834000.0,17.460766,-0.00092417,17253.498,153075760.0,3935.0903,1883735800.0,15871.722,122682.98,5754.272,787463000.0,21272.307,1903604700.0,803.1881,384996670.0,-0.39724445,0.5518279,0.362372,1.7954952,1.1519707,-0.965653
2015-02-06,2088.815,3600121000.0,17.911688,-2.7298927e-05,17369.193,153081800.0,3940.4656,1877530500.0,15688.832,121386.125,5714.9634,780402100.0,21132.07,1896255400.0,797.85645,391587040.0,-0.36419085,0.5449024,0.51517814,1.7852726,1.2160251,-0.9633268
2015-02-13,2093.859,3610089500.0,18.138952,-2.7298927e-05,17414.096,153328900.0,3936.6238,1871806600.0,15572.435,122139.74,5714.3457,783222900.0,21075.193,1883415800.0,795.85925,398270340.0,-0.3389378,0.5359585,0.66026896,1.7798254,1.2741933,-0.961509
2015-02-20,2098.3264,3624749300.0,17.882675,-2.7298927e-05,17453.861,153581440.0,3930.2954,1867475300.0,15540.256,124470.57,5746.916,791440600.0,21096.387,1863890800.0,797.4297,405168220.0,-0.32157904,0.52520275,0.79753876,1.778876,1.3237638,-0.9602053
2015-02-27,2102.6064,3639200800.0,17.219875,-2.7298927e-05,17491.389,153255090.0,3925.5974,1864406500.0,15596.783,127350.12,5804.366,802908600.0,21057.863,1828901500.0,802.4474,411613400.0,-0.3111141,0.51366854,0.9270088,1.7817122,1.3640311,-0.9593386
2015-03-06,2107.0618,3648540000.0,16.334816,-2.7298927e-05,17529.332,152694500.0,3925.617,1862479100.0,15737.54,130569.97,5877.794,818906900.0,20962.871,1783027600.0,810.6116,416290370.0,-0.30601835,0.50115275,2.6492069,1.7874054,1.3955561,-0.9587958
