,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2042.8785,3721856300.0,17.291464,0.00020498213,16789.309,132275580.0,4315.525,1925974700.0,16080.792,174466.38,6424.8945,871667900.0,22370.596,2108888000.0,814.6584,440507460.0,0.62204427,0.65505195,-0.7175189,4.4019823,10.76189,-0.9234775
2015-01-09,2052.7896,3739082800.0,18.079382,0.00020757425,16862.637,133643704.0,4355.7905,1919297000.0,16087.043,165132.7,6432.7173,864412000.0,22386.244,2157870000.0,815.9501,435107170.0,0.6788721,0.6651563,-0.40105647,4.370492,10.765811,-0.92967576
2015-01-16,2062.4785,3743938800.0,18.557507,0.00020981331,16936.32,134928560.0,4387.4473,1910450700.0,15849.433,153786.08,6436.42,848385400.0,22396.354,2185302500.0,816.05585,425870820.0,0.7717311,0.67072266,-0.08803114,4.3303246,10.817195,-0.9332952
2015-01-23,2071.314,3739248600.0,19.180489,0.00021174115,17006.742,135993870.0,4405.6465,1900361300.0,15455.085,145050.69,6436.258,829681660.0,22418.719,2192084000.0,816.5245,421777860.0,0.8804087,0.67294794,0.2232644,4.2890368,10.90574,-0.93484837
2015-01-30,2078.854,3732843800.0,19.501892,0.00021341813,17071.426,136875300.0,4411.0264,1889488000.0,15021.797,140502.4,6438.103,814756700.0,22473.695,2187750700.0,819.81647,433277470.0,0.9851919,0.67265254,0.5337166,4.253175,11.017294,-0.93490094
2015-02-06,2084.122,3735371800.0,19.848846,0.00022533815,17125.727,137710350.0,4409.6016,1880432600.0,14651.984,141212.78,6444.952,805945000.0,22567.232,2170572800.0,826.8791,448307170.0,1.0708884,0.6702366,0.8435123,4.227091,11.137829,-0.9339527
2015-02-13,2088.1643,3748939800.0,19.909138,0.00022533815,17170.588,138421340.0,4391.2295,1873690100.0,14418.498,145778.45,6460.42,798754240.0,22702.588,2139320600.0,837.7501,457404600.0,1.1286545,0.66570604,1.1523613,4.212695,11.255855,-0.932389
2015-02-20,2091.0466,3766739500.0,19.32708,0.00022533815,17208.484,138753600.0,4369.8223,1869474300.0,14357.191,152674.36,6485.0137,792016830.0,22867.016,2094191700.0,851.6906,464833730.0,1.1560001,0.65922326,1.4597099,4.2098045,11.36338,-0.930475
2015-02-27,2093.5396,3783770000.0,18.249868,0.00022533815,17242.809,138739520.0,4353.2544,1867273100.0,14475.721,159806.6,6518.4546,786659800.0,22686.172,2022859600.0,867.71704,469717860.0,1.1555907,0.65059775,1.7649015,4.2167797,11.45588,-0.9283735
2015-03-06,2096.139,3793564000.0,16.9775,0.00022533815,17276.4,138327440.0,4347.896,1866670300.0,14761.789,166497.7,6559.6353,786896000.0,22218.324,1935644300.0,885.2184,468365440.0,1.1334808,0.64181775,9.37191,4.2311883,11.531706,-0.92617095
2015-03-13,2099.1633,3801926000.0,16.04184,0.00022533815,17309.953,137621940.0,4354.168,1867482600.0,15186.99,171499.78,6605.336,790909100.0,21611.729,1847452300.0,903.3669,461533980.0,1.0972955,0.6324187,9.471235,4.250378,11.591295,-0.92390245
2015-03-20,2102.3982,3806018300.0,15.743134,0.00022533815,17342.602,136725540.0,4368.0815,1869069700.0,15707.382,176852.17,6648.6045,794933100.0,21013.3,1768926600.0,921.1538,450644350.0,1.054692,0.6229843,9.542646,4.271878,11.636381,-0.9215734
2015-03-27,2105.9338,3821498600.0,15.690606,0.00022533815,17375.033,136884320.0,4388.6294,1873854200.0,16281.887,180874.02,6688.5884,817003000.0,20554.266,1711251500.0,937.80835,457005920.0,1.0122695,0.6128449,9.584498,4.2936406,11.669349,-0.9191748
2015-04-03,2109.4414,3839784700.0,15.827164,0.00022533815,17405.793,138099860.0,4411.735,1880698400.0,16864.578,183395.95,6722.9097,847170240.0,20319.727,1675282200.0,952.0866,463581200.0,0.9749571,0.6046587,9.600919,4.3141484,11.692737,-0.91669315
2015-04-10,2096.814,3830296800.0,14.479801,0.0001857921,17344.244,139471260.0,4345.5186,1883018500.0,17413.52,182221.69,6644.306,852579000.0,20002.781,1638805000.0,934.9425,447821540.0,0.94581974,0.59830797,9.598495,4.3324122,11.708931,-0.91411734
2015-04-17,2068.8125,3794449200.0,12.897425,4.703715e-05,17193.732,140559920.0,4205.1084,1875386100.0,17903.807,177643.84,6478.009,838075500.0,19666.29,1622970500.0,900.7129,421020700.0,0.92617494,0.5927004,9.58403,4.347906,11.719988,-0.91144025
2015-04-24,2031.2886,3741954000.0,12.13793,-0.00019575903,16983.322,141222930.0,4028.6465,1859198200.0,18316.107,172762.78,6276.7764,815208000.0,19446.186,1644693900.0,865.6717,407539040.0,0.9159099,0.5860795,9.56343,4.3604827,11.727556,-0.90866053
2015-05-01,1991.3026,3690450700.0,12.266345,-0.00051759393,16750.215,141771500.0,3862.495,1838737000.0,18646.629,168470.94,6094.457,794170400.0,19483.08,1700275100.0,841.6978,404652930.0,0.91388714,0.58013606,9.541282,4.3702583,11.732883,-0.9057815
2015-05-08,1955.2609,3641003800.0,12.954391,-0.00088010594,16527.896,141883330.0,3742.211,1816919700.0,18890.736,165418.38,5967.8364,781643460.0,19467.617,1750805900.0,807.5221,391098370.0,0.9183616,0.5736394,9.233256,4.377523,11.736858,-0.9025202
2015-05-15,1927.6764,3597024300.0,13.792766,-0.0012431232,16342.089,141489440.0,3689.9707,1796772200.0,19045.281,164724.58,5915.8164,795540540.0,19434.87,1786827800.0,772.5284,375397900.0,0.9273478,0.56436265,8.669665,4.3826594,11.740072,-0.8991804
2015-05-22,1911.3623,3560272100.0,14.418885,-0.0015720284,16209.322,140678140.0,3711.5645,1780051800.0,19120.357,166617.03,5938.164,823019460.0,19504.777,1808705800.0,747.9354,362055500.0,0.9389094,0.54498315,7.964252,4.3860793,11.7428875,-0.89577335
2015-05-29,1907.3977,3528036000.0,14.669707,-0.0018416295,16136.928,139424910.0,3799.2703,1766654200.0,19134.02,169282.78,6023.428,846805500.0,19792.309,1821735800.0,741.60864,350030880.0,0.9513585,0.5355912,7.227275,4.3881774,11.7455,-0.8923102
2015-06-05,1914.8184,3499603200.0,14.770617,-0.0020373042,16123.565,137947660.0,3939.5056,1757128600.0,19113.514,174536.89,6152.6455,872634560.0,20353.812,1844151000.0,755.13416,351932900.0,0.9633688,0.5298603,6.5382695,4.38931,11.747997,-0.8883045
2015-06-12,1931.485,3479370500.0,14.909285,-0.0021542213,16161.483,136354750.0,4112.371,1751979300.0,19083.523,180695.98,6302.475,894203840.0,21184.768,1878348200.0,784.47107,363601000.0,0.9740137,0.5253995,5.9438887,4.389775,11.750397,-0.88426757
2015-06-19,1954.8499,3462112800.0,15.071644,-0.002195464,16240.088,134594480.0,4294.3193,1749638900.0,19057.943,186675.38,6451.2183,901678100.0,22210.205,1915226000.0,822.7084,375005250.0,0.98275095,0.5228655,5.4645147,4.389811,11.752681,-0.88020563
2015-06-26,1982.4545,3453039600.0,15.222877,-0.0021696822,16348.551,133469096.0,4466.686,1751295500.0,19042.713,190654.95,6581.6953,910641660.0,23321.26,1954841600.0,862.31036,396916350.0,0.9893692,0.5216487,5.102534,4.3895974,11.754814,-0.87612015
2015-07-03,2011.878,3467545900.0,15.340712,-0.0020887982,16476.186,133424470.0,4614.0654,1762699500.0,19043.506,191035.05,6684.4053,913681500.0,24386.275,1997563600.0,898.81665,415290600.0,0.9900829,0.5215009,4.8495355,4.388556,11.760293,-0.8346146
2015-07-10,2024.9,3471263200.0,13.937831,-0.00204445,16523.389,133706340.0,4633.559,1777029000.0,19059.602,187862.77,6752.9707,899810560.0,25291.748,2036151000.0,928.2016,420536540.0,0.9910044,0.5218505,4.6916876,4.388429,11.76131,-0.8322619
2015-07-17,2020.3043,3459964700.0,12.742088,-0.0021125104,16483.678,133820800.0,4540.2227,1790782100.0,19079.717,183868.17,6788.8545,872512640.0,25943.023,2079778400.0,949.1878,426655040.0,0.99152166,0.52159584,4.61335,4.3882947,11.762187,-0.8303793
2015-07-24,2003.5361,3435482600.0,12.268279,-0.002296408,16381.378,133539304.0,4380.9463,1802265300.0,19099.482,178801.44,6796.462,835562750.0,26298.94,2113803300.0,963.3852,426604600.0,0.99172103,0.52044654,4.5992765,4.388171,11.762923,-0.82891273
2015-07-31,1980.8407,3423064000.0,12.60991,-0.00256297,16247.72,133107480.0,4207.992,1812567800.0,19118.479,172211.45,6781.155,795333800.0,26369.428,2124724900.0,972.3347,418747100.0,0.99168664,0.5166628,4.635782,4.388071,11.763533,-0.8277422
2015-08-07,1958.1804,3415036700.0,13.304487,-0.0028657657,16112.149,132348860.0,4065.0022,1821110000.0,19198.498,166436.12,6750.1636,766364500.0,26178.814,2109681200.0,977.28125,409004900.0,0.99168664,0.5157623,4.6690927,4.388071,11.763533,-0.8277422
