,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1980.304,3538758700.0,17.603704,-0.04333055,16190.7,144059500.0,3830.6367,1893383700.0,15727.097,164568.89,5965.304,1001375740.0,23312.576,1680156000.0,858.32263,340287700.0,-0.32697168,0.63162994,-2.4182487,1.65754,2.8312109,-0.95124805
2015-01-09,1989.8455,3561403100.0,18.125854,-0.042989433,16276.538,145434670.0,3851.7334,1891671200.0,15741.204,158753.34,5865.3794,967680960.0,23079.312,1703270900.0,851.2914,336874800.0,-0.33235648,0.6452868,-2.315822,1.6271216,2.7917402,-0.9551834
2015-01-16,1998.9714,3572391700.0,18.56693,-0.042691767,16359.874,146742020.0,3869.6362,1888030800.0,15603.995,151247.8,5747.731,928998000.0,22797.26,1714458100.0,841.9221,332214430.0,-0.32258394,0.6538736,-2.211587,1.5927606,2.8016958,-0.9575152
2015-01-23,2007.33,3573280000.0,19.198605,-0.042432964,16437.832,148213740.0,3882.1565,1883070700.0,15380.036,144767.92,5638.0186,898435500.0,22519.268,1716604500.0,832.0487,330792000.0,-0.3047122,0.6584933,-2.1063473,1.5593636,2.8458402,-0.95896035
2015-01-30,2014.8448,3570593000.0,19.619905,-0.042207837,16509.773,149176540.0,3889.6626,1877278100.0,15142.381,140263.02,5556.4023,882130200.0,22289.28,1715299700.0,823.5144,336926270.0,-0.2844588,0.65996957,-2.0007327,1.5305054,2.9101055,-0.9600379
2015-02-06,2023.3881,3578287900.0,20.061108,-0.040999115,16612.326,149768500.0,3891.3281,1871283800.0,14950.445,138453.75,5512.313,880014340.0,22132.623,1710122900.0,817.6644,346161860.0,-0.26563278,0.6587555,-1.8952361,1.5083218,2.9833934,-0.9610498
2015-02-13,2027.8875,3588203800.0,20.252659,-0.040999115,16655.115,150331860.0,3890.251,1865537000.0,14838.113,138715.12,5506.9697,885008500.0,22058.979,1699850000.0,815.27515,354289860.0,-0.25022873,0.6550141,-1.7902439,1.4936879,3.057935,-0.96212214
2015-02-20,2031.8639,3602478300.0,19.940052,-0.040999115,16693.006,150676220.0,3887.3909,1860844300.0,14820.344,140626.11,5535.5513,893028000.0,22065.078,1683500000.0,816.6467,361997570.0,-0.23882817,0.64899886,-1.6860554,1.4865153,3.1289055,-0.9632639
2015-02-27,2035.6829,3617316600.0,19.239428,-0.040999115,16728.826,150561890.0,3886.514,1857231200.0,14898.153,143212.38,5590.092,902593860.0,22018.594,1653945200.0,821.6809,368520300.0,-0.23108374,0.6401022,-1.5829152,1.4860593,3.193753,-0.96442133
2015-03-06,2039.666,3627199500.0,18.349628,-0.040999115,16765.031,150105900.0,3890.1567,1854737000.0,15063.851,146329.36,5661.7607,915667600.0,21917.627,1614583200.0,830.06335,372130460.0,-0.2261539,0.6311778,5.7746634,1.4911952,3.2515044,-0.9655189
2015-03-13,2043.737,3635885300.0,17.64031,-0.040999115,16800.377,149345800.0,3898.884,1853321600.0,15301.826,149261.14,5741.939,929485600.0,21794.76,1571808100.0,841.30597,372703580.0,-0.22303599,0.62141275,5.7746634,1.500636,3.302168,-0.9664855
2015-03-20,2047.7294,3640873000.0,17.310522,-0.040999115,16834.172,148450270.0,3910.9438,1852741600.0,15595.896,153320.48,5822.113,940573060.0,21684.533,1530700800.0,854.801,370492600.0,-0.22078505,0.61143047,5.7746634,1.5130923,3.3462892,-0.9672676
2015-03-27,2051.6938,3654308600.0,17.090963,-0.040999115,16866.312,148428910.0,3925.7937,1854008200.0,15927.834,157095.42,5898.3325,964661060.0,21615.475,1497109100.0,869.9121,373423260.0,-0.21863498,0.59981006,5.7746634,1.5273777,3.3846424,-0.9678337
2015-04-03,2055.5308,3670663200.0,17.00855,-0.040999115,16896.7,149475940.0,3941.3293,1856804600.0,16275.716,160340.42,5967.288,992523460.0,21604.188,1472449000.0,885.9126,376373760.0,-0.21604382,0.59040266,5.7746634,1.5424707,3.4180386,-0.9681735
2015-04-10,2050.4412,3665696800.0,15.898654,-0.041273832,16865.791,150689260.0,3905.4146,1858241200.0,16621.047,161557.69,5971.161,997187650.0,21533.86,1446955800.0,897.18414,370939260.0,-0.21269105,0.58305013,5.7746634,1.5575433,3.4472284,-0.96829355
2015-04-17,2036.8782,3637460700.0,14.726329,-0.042019486,16772.6,151690850.0,3827.7573,1855331200.0,16952.852,160614.1,5923.9233,985652540.0,21425.562,1430830100.0,903.58765,360048540.0,-0.20844454,0.5762679,5.7746634,1.5719632,3.47285,-0.96821225
2015-04-24,2017.5546,3592095500.0,14.151556,-0.043190062,16633.168,152974200.0,3730.0918,1848075400.0,17260.662,159244.3,5854.214,969079500.0,21334.38,1433245200.0,906.5459,352680640.0,-0.20331468,0.5676172,5.7746634,1.5852857,3.4954255,-0.96795505
2015-05-01,1996.0585,3543291100.0,14.131037,-0.04463911,16472.537,153421310.0,3636.7222,1837524200.0,17539.652,157743.69,5788.849,954303360.0,21312.51,1454075000.0,907.91736,348436960.0,-0.19741006,0.5599516,5.7746634,1.5972269,3.5153713,-0.9675508
2015-05-08,1975.4712,3493306000.0,14.449915,-0.04619336,16312.635,153498430.0,3565.8308,1824866700.0,17782.445,156335.2,5744.872,946583700.0,21252.238,1476191900.0,904.3513,339722100.0,-0.19089356,0.55168873,5.511413,1.6076392,3.533017,-0.967028
2015-05-15,1958.1846,3446393000.0,14.888998,-0.047694683,16172.21,153207380.0,3527.5374,1811855000.0,17983.086,155714.56,5730.0083,960134600.0,21173.602,1494341400.0,897.065,329578530.0,-0.18395136,0.5395613,5.020092,1.6164843,3.5486233,-0.96641356
