,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2075.11,3383646000.0,17.053318,-0.006294208,18045.434,110971620.0,4077.722,2080848500.0,17134.846,163512.97,6732.686,965302300.0,22331.861,2090147100.0,825.6604,387387940.0,1.0077081,0.6566882,1.0546584,3.0373266,5.3261147,-0.9320942
2015-01-09,2085.1523,3400499200.0,17.769697,-0.0062696496,18125.26,112537430.0,4115.348,2073029400.0,17105.986,153673.69,6733.6157,960646700.0,22383.857,2143032300.0,827.20044,381509950.0,0.97066027,0.6620939,1.5669124,3.0166805,5.3309636,-0.9363926
2015-01-16,2094.8503,3405931500.0,18.210903,-0.0062482934,18204.19,113883950.0,4142.915,2062959900.0,16815.918,142087.77,6727.951,946574600.0,22444.025,2174835700.0,827.5814,371736350.0,0.94392306,0.66352594,2.0815551,2.9900038,5.3837013,-0.93962365
2015-01-23,2103.6418,3403180000.0,18.884834,-0.006229692,18278.316,114986990.0,4156.4624,2051994400.0,16376.541,133380.64,6718.498,929668860.0,22511.88,2185222700.0,828.2402,366306720.0,0.92803305,0.66206443,2.5965867,2.9613595,5.470539,-0.94187677
2015-01-30,2111.1147,3397610000.0,19.220118,-0.006213343,18345.033,115738950.0,4157.56,2040728600.0,15918.942,128813.39,6713.402,915957100.0,22595.332,2182840800.0,831.5294,375465180.0,0.9224364,0.6586048,3.110479,2.9346766,5.5763235,-0.9432946
2015-02-06,2115.4453,3397881300.0,19.597467,-0.006113855,18398.723,116442100.0,4149.777,2030191400.0,15548.349,129215.21,6717.01,907937300.0,22694.404,2166364200.0,838.4183,390106240.0,0.9259996,0.65371513,3.6217716,2.913001,5.6878366,-0.9440308
2015-02-13,2119.5918,3407214300.0,19.636627,-0.006113855,18442.22,116997990.0,4130.1987,2022022000.0,15332.821,133080.12,6733.0625,901285060.0,22808.812,2135168900.0,849.02966,400823650.0,0.9373616,0.6475994,4.1289387,2.8981934,5.7952747,-0.9442276
2015-02-20,2122.7268,3421365500.0,18.96053,-0.006113855,18477.96,117165816.0,4109.5674,2016871600.0,15301.538,139131.67,6761.6265,894746200.0,22931.764,2090077600.0,862.74756,409662180.0,0.9551451,0.64043987,4.630377,2.8909588,5.8924394,-0.9440053
2015-02-27,2125.6287,3435595000.0,17.782215,-0.006113855,18510.055,116938970.0,4095.559,2014041700.0,15455.863,145474.62,6801.3604,889315840.0,22715.79,2019835600.0,878.67786,415594370.0,0.9780609,0.63255554,5.1244535,2.8910615,5.976216,-0.9434608
2015-03-06,2128.6765,3445145000.0,16.44527,-0.006113855,18541.898,116323250.0,4093.671,2013308500.0,15778.812,151713.03,6849.818,889217600.0,22216.027,1934463600.0,896.2449,415282530.0,1.004953,0.6244183,11.378297,2.897603,6.0457892,-0.9426691
