,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,2049.7322,3586832400.0,18.025219,0.00017109522,17516.984,107151470.0,4223.1914,1866553200.0,16246.375,148528.02,6452.6294,866040400.0,23054.465,2001258000.0,807.65454,403698530.0,0.7289127,0.54072577,-2.608971,4.4719944,8.064958,-0.93830925
2015-01-09,2059.383,3605358800.0,18.847328,0.00018619525,17594.916,108751310.0,4269.101,1859503400.0,16186.73,139339.78,6459.6763,864462660.0,23035.996,2048316700.0,806.4381,400706020.0,0.6732854,0.56536394,-2.3291726,4.4409585,8.065917,-0.9425003
2015-01-16,2068.9487,3612620300.0,19.27561,0.00019940171,17672.285,110182060.0,4305.6123,1850433400.0,15868.622,128395.984,6462.65,852746050.0,23010.32,2072021600.0,804.14,393604770.0,0.6328672,0.58118016,-2.0411148,4.401419,8.128354,-0.9448162
2015-01-23,2077.9038,3610554600.0,19.812113,0.00021091488,17745.074,111275820.0,4326.727,1840961300.0,15411.027,120249.93,6462.0117,837314000.0,22997.729,2073818500.0,803.25146,390205950.0,0.6062869,0.5899414,-1.7427682,4.3603067,8.232497,-0.94560695
2015-01-30,2085.779,3605806600.0,20.057892,0.00022097144,17810.084,112146500.0,4332.707,1831636400.0,14951.78,116294.03,6463.209,824628860.0,23021.094,2065035000.0,806.8552,400292600.0,0.5913744,0.59338605,-1.4331539,4.3237505,8.358351,-0.9452496
2015-02-06,2091.112,3607919400.0,20.344458,0.00029543377,17862.936,112981350.0,4332.49,1822482300.0,14598.783,117338.16,6469.445,817271360.0,23089.324,2043416300.0,815.70337,414408500.0,0.58595496,0.5927384,-1.1123012,4.2959538,8.489472,-0.9440771
2015-02-13,2096.014,3618728700.0,20.371538,0.00029543377,17903.838,113694100.0,4309.375,1815489000.0,14418.411,121839.47,6483.8975,810702900.0,23205.744,2007521300.0,829.23474,423934400.0,0.58822024,0.5882311,-0.7809806,4.2789464,8.614341,-0.94235134
2015-02-20,2099.7869,3633583400.0,19.769325,0.00029543377,17936.45,113967110.0,4282.177,1811393500.0,14432.686,128378.87,6507.432,803905600.0,23359.854,1957983900.0,846.07306,431692500.0,0.5968149,0.5799543,-0.4404318,4.272895,8.726197,-0.9402632
2015-02-27,2103.059,3648544500.0,18.668344,0.00029543377,17964.928,113868650.0,4259.8887,1809261000.0,14633.077,134981.14,6539.7354,798192100.0,23216.969,1880137900.0,864.6984,436883400.0,0.6107807,0.5681901,-0.09213182,4.276641,8.822105,-0.937943
2015-03-06,2106.215,3657965300.0,17.376951,0.00029543377,17992.729,113337640.0,4250.5054,1809026800.0,14992.209,141168.89,6579.5127,798204500.0,22813.531,1787453400.0,884.27216,436323870.0,0.62944484,0.5545505,10.68156,4.28827,8.901805,-0.93547577
