,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2015-01-02,1931.0361,3546049000.0,17.287086,-0.002001965,17227.598,122826510.0,4297.371,1845893600.0,17253.887,139206.19,6346.947,891065000.0,22627.428,2017693600.0,826.9904,428230620.0,0.67186135,0.4419536,-2.1800508,2.617395,5.702106,-0.96867216
2015-01-09,1939.815,3565338000.0,18.12606,-0.001991907,17306.545,124501300.0,4336.4346,1839350000.0,17233.951,131217.67,6341.1978,885641500.0,22646.236,2065428500.0,830.1076,422195260.0,0.64487654,0.44368887,-1.8438283,2.5814264,5.705654,-0.97364026
2015-01-16,1948.4049,3573255000.0,18.684862,-0.0019830787,17383.83,126063460.0,4366.6445,1830934500.0,16950.451,121512.74,6327.918,872469060.0,22675.1,2095892400.0,832.1593,411525150.0,0.6534315,0.44217885,-1.5031083,2.535438,5.7340813,-0.97543484
2015-01-23,1956.2513,3571551200.0,19.395971,-0.0019753382,17455.51,127410100.0,4384.0015,1821823000.0,16512.164,113818.85,6311.8,856075100.0,22718.467,2108923500.0,834.07135,407387900.0,0.6862262,0.43873966,-1.1598885,2.4861264,5.7803507,-0.97508585
2015-01-30,1963.003,3566961200.0,19.827261,-0.0019685207,17518.668,128472210.0,4389.6553,1812516600.0,16050.612,109382.805,6302.0073,842396400.0,22786.39,2111571700.0,837.8875,422516130.0,0.7321441,0.4344213,-0.81525606,2.439856,5.83662,-0.9735121
2015-02-06,1967.8889,3568935400.0,20.270426,-0.0019207662,17565.885,129467880.0,4385.1826,1803409700.0,15671.8125,109119.33,6303.472,833921800.0,22880.236,2102406100.0,844.53094,440850270.0,0.7824395,0.42982158,-0.46956,2.4015162,5.895969,-0.9714061
2015-02-13,1971.6599,3579777500.0,20.41639,-0.0019207662,17604.482,130298210.0,4370.612,1796102000.0,15445.984,112005.45,6319.952,827014300.0,23000.543,2080392600.0,854.2986,450667170.0,0.8314098,0.42494094,-0.12257121,2.374087,5.9532046,-0.96921784
2015-02-20,1974.4832,3594908200.0,19.897764,-0.0019207662,17635.275,130688440.0,4354.0503,1791359900.0,15403.564,116979.266,6351.121,820598700.0,23139.35,2045917600.0,866.8024,458309760.0,0.8761364,0.41969246,0.22638582,2.3587055,6.004987,-0.9671908
2015-02-27,1977.0345,3610337500.0,18.83366,-0.0019207662,17662.676,130638580.0,4342.6543,1788625000.0,15547.266,122469.14,6395.0273,815412740.0,22981.42,1988634400.0,881.4052,462949020.0,0.9158006,0.41432694,0.5783717,2.355021,6.049589,-0.9654163
2015-03-06,1979.76,3620258000.0,17.516903,-0.0019207662,17690.098,130113710.0,4341.6606,1787797500.0,15861.706,127990.016,6448.5645,815253200.0,22559.152,1917225600.0,897.7288,460121630.0,0.9509181,0.40891933,7.750761,2.3616436,6.086508,-0.9638881
2015-03-13,1982.8789,3629011500.0,16.48867,-0.0019207662,17718.852,129235260.0,4351.2856,1788320500.0,16316.93,132490.84,6506.673,818797500.0,21995.992,1844121900.0,915.09186,450928860.0,0.98267955,0.4035875,7.8376184,2.3765857,6.116062,-0.9625469
2015-03-20,1986.1793,3633955000.0,16.079592,-0.0019207662,17747.516,128140740.0,4367.616,1789800600.0,16867.38,137557.36,6560.9756,822681100.0,21422.746,1777910700.0,932.56305,437602140.0,1.0124665,0.39855486,7.9001637,2.3976333,6.139044,-0.9613134
2015-03-27,1989.7212,3648068000.0,15.938446,-0.0019207662,17777.047,128339256.0,4389.487,1793840300.0,17471.914,141647.53,6609.585,842697100.0,20956.42,1727588400.0,949.36224,447249300.0,1.0415471,0.3943757,7.9369235,2.4226139,6.156462,-0.9601093
2015-04-03,1993.2166,3665080600.0,16.008608,-0.0019207662,17804.98,129844600.0,4412.9336,1799961500.0,18083.707,144529.14,6649.7485,870983230.0,20675.414,1693902000.0,964.22424,456484740.0,1.0709207,0.39118037,7.950049,2.4495819,6.169363,-0.9588682
2015-04-10,1982.4512,3659356200.0,14.663261,-0.0019885937,17711.674,131517340.0,4347.7734,1802838300.0,18659.86,144317.88,6572.087,877976100.0,20316.285,1659673700.0,950.07935,437040700.0,1.1012677,0.38906494,7.94361,2.4769154,6.178722,-0.9575412
2015-04-17,1958.0111,3629663500.0,13.028608,-0.00221929,17510.201,132825304.0,4211.8994,1797333400.0,19175.697,141173.14,6399.752,865781570.0,19933.832,1642366800.0,918.9868,405352740.0,1.1329694,0.38791293,7.922269,2.5033534,6.185384,-0.9560967
